Hospital_Name,Provider_ID,State,Fiscal_Year,Domain_1_Score,Domain_1_Score_Footnote,Domain_1_Start_Date,Domain_1_End_Date,AHRQ_PSI_90_Score,AHRQ_PSI_90_Score_Footnote,Domain_2_Score,Domain_2_Score_Footnote,CLABSI_Score,CLABSI_Score_Footnote,CAUTI_Score,CAUTI_Score_Footnote,SSI_Score,SSI_Score_Footnote,MRSA_Score,MRSA_Footnote,CDI_Score,CDI_Footnote,Domain_2_Start_Date,Domain_2_End_Date,Total_HAC_Score,Total_HAC_Score_Footnote,Payment_Reduction,Payment_Reduction_Footnote
"LONG BEACH MEMORIAL MEDICAL CENTER","050485","CA","2017","9.0000","","01-JUL-13","30-JUN-15","9.0000","","8.0000","","9","","8","","7","","6","","10","","01-JAN-14","31-DEC-15","8.1500","","Yes",""
"EDEN MEDICAL CENTER","050488","CA","2017","7.0000","","01-JUL-13","30-JUN-15","7.0000","","8.4000","","9","","9","","4","","10","","10","","01-JAN-14","31-DEC-15","8.1900","","Yes",""
"CLOVIS COMMUNITY MEDICAL CENTER","050492","CA","2017","9.0000","","01-JUL-13","30-JUN-15","9.0000","","6.4000","","5","","10","","5","","5","","7","","01-JAN-14","31-DEC-15","6.7900","","Yes",""
"JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS","050496","CA","2017","5.0000","","01-JUL-13","30-JUN-15","5.0000","","9.4000","","8","","10","","10","","9","","10","","01-JAN-14","31-DEC-15","8.7400","","Yes",""
"SUTTER AUBURN FAITH HOSPITAL","050498","CA","2017","5.0000","","01-JUL-13","30-JUN-15","5.0000","","4.8000","","1","","1","","9","","4","","9","","01-JAN-14","31-DEC-15","4.8300","","No",""
"SAINT VINCENT MEDICAL CENTER","050502","CA","2017","1.0000","","01-JUL-13","30-JUN-15","1.0000","","7.4000","","7","","8","","7","","6","","9","","01-JAN-14","31-DEC-15","6.4400","","No",""
"SCRIPPS MEMORIAL HOSPITAL - ENCINITAS","050503","CA","2017","3.0000","","01-JUL-13","30-JUN-15","3.0000","","8.4000","","10","","6","","10","","8","","8","","01-JAN-14","31-DEC-15","7.5900","","Yes",""
"SIERRA VISTA REGIONAL MEDICAL CENTER","050506","CA","2017","2.0000","","01-JUL-13","30-JUN-15","2.0000","","4.8000","","7","","1","","6","","4","","6","","01-JAN-14","31-DEC-15","4.3800","","No",""
"KAISER FOUNDATION HOSPITAL","050510","CA","2017","7.0000","","01-JUL-13","30-JUN-15","7.0000","","5.8000","","4","","10","","4","","4","","7","","01-JAN-14","31-DEC-15","5.9800","","No",""
"KAISER FOUNDATION HOSPITAL - FREMONT","050512","CA","2017","9.0000","","01-JUL-13","30-JUN-15","9.0000","","6.6000","","1","","10","","9","","3","","10","","01-JAN-14","31-DEC-15","6.9600","","Yes",""
"KAISER FOUNDATION HOSPITAL - SAN DIEGO","050515","CA","2017","8.0000","","01-JUL-13","30-JUN-15","8.0000","","6.4000","","5","","6","","9","","3","","9","","01-JAN-14","31-DEC-15","6.6400","","Yes",""
"MERCY SAN JUAN MEDICAL CENTER","050516","CA","2017","10.0000","","01-JUL-13","30-JUN-15","10.0000","","5.0000","","2","","5","","7","","3","","8","","01-JAN-14","31-DEC-15","5.7500","","No",""
"VICTOR VALLEY GLOBAL MEDICAL CENTER","050517","CA","2017","3.0000","","01-JUL-13","30-JUN-15","3.0000","","3.2000","","1","","1","","1","","3","","10","","01-JAN-14","31-DEC-15","3.1700","","No",""
"SUTTER DELTA MEDICAL CENTER","050523","CA","2017","8.0000","","01-JUL-13","30-JUN-15","8.0000","","6.0000","","6","","7","","5","","5","","7","","01-JAN-14","31-DEC-15","6.3000","","No",""
"HUNTINGTON BEACH HOSPITAL","050526","CA","2017","2.0000","","01-JUL-13","30-JUN-15","2.0000","","7.7500","","10","","3","","N/A","5","10","","8","","01-JAN-14","31-DEC-15","6.8875","","Yes",""
"MEMORIAL HOSPITAL LOS BANOS","050528","CA","2017","5.0000","","01-JUL-13","30-JUN-15","5.0000","","2.0000","","N/A","5","N/A","5","N/A","5","N/A","5","2","","01-JAN-14","31-DEC-15","2.4500","","No",""
"JOHN F KENNEDY MEMORIAL HOSPITAL","050534","CA","2017","2.0000","","01-JUL-13","30-JUN-15","2.0000","","4.6000","","5","","7","","5","","3","","3","","01-JAN-14","31-DEC-15","4.2100","","No",""
"SUTTER DAVIS HOSPITAL","050537","CA","2017","8.0000","","01-JUL-13","30-JUN-15","8.0000","","1.8000","","1","","1","","1","","1","","5","","01-JAN-14","31-DEC-15","2.7300","","No",""
"KAISER FOUNDATION HOSPITAL - REDWOOD CITY","050541","CA","2017","9.0000","","01-JUL-13","30-JUN-15","9.0000","","6.0000","","6","","10","","3","","1","","10","","01-JAN-14","31-DEC-15","6.4500","","No",""
"COLLEGE HOSPITAL COSTA MESA","050543","CA","2017","5.0000","","01-JUL-13","30-JUN-15","5.0000","","2.0000","","N/A","5","N/A","5","N/A","5","3","","1","","01-JAN-14","31-DEC-15","2.4500","","No",""
"PORTERVILLE DEVELOPMENTAL CENTER","050546","CA","2017","7.0000","","01-JUL-13","30-JUN-15","7.0000","","10.0000","5","N/A","5","N/A","5","10","18","N/A","5","N/A","5","01-JAN-14","31-DEC-15","9.5500","","Yes",""
"FAIRVIEW DEVELOPMENTAL CENTER","050548","CA","2017","7.0000","","01-JUL-13","30-JUN-15","7.0000","","10.0000","5","N/A","5","N/A","5","10","18","N/A","5","N/A","5","01-JAN-14","31-DEC-15","9.5500","","Yes",""
"LOS ROBLES HOSPITAL & MEDICAL CENTER","050549","CA","2017","5.0000","","01-JUL-13","30-JUN-15","5.0000","","6.2000","","3","","5","","7","","7","","9","","01-JAN-14","31-DEC-15","6.0200","","No",""
"LOS ALAMITOS MEDICAL CENTER","050551","CA","2017","6.0000","","01-JUL-13","30-JUN-15","6.0000","","7.2000","","4","","7","","9","","6","","10","","01-JAN-14","31-DEC-15","7.0200","","Yes",""
"MOTION PICTURE & TELEVISION HOSPITAL","050552","CA","2017","N/A","4","01-JUL-13","30-JUN-15","7.0000","4","N/A","4","N/A","5","N/A","5","N/A","5","N/A","5","N/A","5","01-JAN-14","31-DEC-15","N/A","4","No","4"
"MEMORIAL MEDICAL CENTER","050557","CA","2017","9.0000","","01-JUL-13","30-JUN-15","9.0000","","8.2000","","8","","10","","10","","4","","9","","01-JAN-14","31-DEC-15","8.3200","","Yes",""
"KAISER FOUNDATION HOSPITAL - WEST LA","050561","CA","2017","7.0000","","01-JUL-13","30-JUN-15","7.0000","","4.6000","","6","","3","","2","","2","","10","","01-JAN-14","31-DEC-15","4.9600","","No",""
"MADERA COMMUNITY HOSPITAL","050568","CA","2017","3.0000","","01-JUL-13","30-JUN-15","3.0000","","1.5000","","N/A","5","1","","2","","1","","2","","01-JAN-14","31-DEC-15","1.7250","","No",""
"FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER","050570","CA","2017","2.0000","","01-JUL-13","30-JUN-15","2.0000","","4.0000","","4","","5","","3","","5","","3","","01-JAN-14","31-DEC-15","3.7000","","No",""
"EISENHOWER MEDICAL CENTER","050573","CA","2017","3.0000","","01-JUL-13","30-JUN-15","3.0000","","5.2000","","3","","4","","7","","6","","6","","01-JAN-14","31-DEC-15","4.8700","","No",""
"GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER","050575","CA","2017","6.0000","","01-JUL-13","30-JUN-15","6.0000","","3.5000","","10","","1","","N/A","5","1","","2","","01-JAN-14","31-DEC-15","3.8750","","No",""
"LA PALMA INTERCOMMUNITY HOSPITAL","050580","CA","2017","1.0000","","01-JUL-13","30-JUN-15","1.0000","","7.0000","","1","","9","","5","","10","","10","","01-JAN-14","31-DEC-15","6.1000","","No",""
"LAKEWOOD REGIONAL MEDICAL CENTER","050581","CA","2017","1.0000","","01-JUL-13","30-JUN-15","1.0000","","5.2000","","5","","2","","3","","9","","7","","01-JAN-14","31-DEC-15","4.5700","","No",""
"CHINO VALLEY MEDICAL CENTER","050586","CA","2017","1.0000","","01-JUL-13","30-JUN-15","1.0000","","2.6000","","1","","3","","3","","1","","5","","01-JAN-14","31-DEC-15","2.3600","","No",""
"SAN DIMAS COMMUNITY HOSPITAL","050588","CA","2017","7.0000","","01-JUL-13","30-JUN-15","7.0000","","4.8000","","1","","3","","7","","4","","9","","01-JAN-14","31-DEC-15","5.1300","","No",""
"PLACENTIA LINDA HOSPITAL","050589","CA","2017","4.0000","","01-JUL-13","30-JUN-15","4.0000","","5.2000","","1","","4","","10","","8","","3","","01-JAN-14","31-DEC-15","5.0200","","No",""
"METHODIST HOSPITAL OF SACRAMENTO","050590","CA","2017","9.0000","","01-JUL-13","30-JUN-15","9.0000","","4.2000","","3","","2","","2","","6","","8","","01-JAN-14","31-DEC-15","4.9200","","No",""
"FOOTHILL PRESBYTERIAN HOSPITAL","050597","CA","2017","6.0000","","01-JUL-13","30-JUN-15","6.0000","","6.6000","","4","","7","","10","","3","","9","","01-JAN-14","31-DEC-15","6.5100","","No",""
"UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER","050599","CA","2017","9.0000","","01-JUL-13","30-JUN-15","9.0000","","7.0000","","6","","5","","8","","9","","7","","01-JAN-14","31-DEC-15","7.3000","","Yes",""
"SADDLEBACK MEMORIAL MEDICAL CENTER","050603","CA","2017","6.0000","","01-JUL-13","30-JUN-15","6.0000","","7.0000","","7","","9","","8","","2","","9","","01-JAN-14","31-DEC-15","6.8500","","Yes",""
"KAISER FOUNDATION HOSPITAL-SAN JOSE","050604","CA","2017","8.0000","","01-JUL-13","30-JUN-15","8.0000","","8.4000","","10","","8","","9","","5","","10","","01-JAN-14","31-DEC-15","8.3400","","Yes",""
"DELANO REGIONAL MEDICAL CENTER","050608","CA","2017","7.0000","","01-JUL-13","30-JUN-15","7.0000","","2.5000","","N/A","5","N/A","5","N/A","5","1","","4","","01-JAN-14","31-DEC-15","3.1750","","No",""
"KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHE","050609","CA","2017","4.0000","","01-JUL-13","30-JUN-15","4.0000","","4.2000","","3","","4","","4","","3","","7","","01-JAN-14","31-DEC-15","4.1700","","No",""
"ST JOHNS PLEASANT VALLEY HOSPITAL","050616","CA","2017","2.0000","","01-JUL-13","30-JUN-15","2.0000","","3.4000","","1","","1","","4","","1","","10","","01-JAN-14","31-DEC-15","3.1900","","No",""
"HENRY MAYO NEWHALL  HOSPITAL","050624","CA","2017","5.0000","","01-JUL-13","30-JUN-15","5.0000","","5.4000","","10","","4","","4","","3","","6","","01-JAN-14","31-DEC-15","5.3400","","No",""
"CEDARS-SINAI MEDICAL CENTER","050625","CA","2017","10.0000","","01-JUL-13","30-JUN-15","10.0000","","7.0000","","4","","8","","9","","5","","9","","01-JAN-14","31-DEC-15","7.4500","","Yes",""
"TWIN CITIES COMMUNITY HOSPITAL","050633","CA","2017","7.0000","","01-JUL-13","30-JUN-15","7.0000","","5.4000","","8","","1","","7","","4","","7","","01-JAN-14","31-DEC-15","5.6400","","No",""
"POMERADO HOSPITAL","050636","CA","2017","4.0000","","01-JUL-13","30-JUN-15","4.0000","","7.2000","","3","","8","","9","","6","","10","","01-JAN-14","31-DEC-15","6.7200","","Yes",""
"EAST LOS ANGELES DOCTORS HOSPITAL","050641","CA","2017","3.0000","","01-JUL-13","30-JUN-15","3.0000","","4.5000","","4","","3","","N/A","5","8","","3","","01-JAN-14","31-DEC-15","4.2750","","No",""
"LOS ANGELES COMMUNITY HOSPITAL","050663","CA","2017","1.0000","","01-JUL-13","30-JUN-15","1.0000","","6.0000","","10","","1","","N/A","5","10","","3","","01-JAN-14","31-DEC-15","5.2500","","No",""
"LAGUNA HONDA HOSPITAL & REHABILITATION CENTER","050668","CA","2017","N/A","4","01-JUL-13","30-JUN-15","7.0000","4","N/A","4","N/A","5","N/A","5","N/A","5","N/A","5","N/A","5","01-JAN-14","31-DEC-15","N/A","4","No","4"
"KAISER FOUNDATION HOSP SO SACRAMENTO","050674","CA","2017","8.0000","","01-JUL-13","30-JUN-15","8.0000","","7.4000","","3","","10","","9","","6","","9","","01-JAN-14","31-DEC-15","7.4900","","Yes",""
"KAISER FOUNDATION HOSPITAL - WOODLAND HILLS","050677","CA","2017","4.0000","","01-JUL-13","30-JUN-15","4.0000","","7.0000","","7","","10","","2","","7","","9","","01-JAN-14","31-DEC-15","6.5500","","No",""
"ORANGE COAST MEMORIAL MEDICAL CENTER","050678","CA","2017","5.0000","","01-JUL-13","30-JUN-15","5.0000","","3.2000","","3","","2","","2","","4","","5","","01-JAN-14","31-DEC-15","3.4700","","No",""
"MENIFEE VALLEY MEDICAL CENTER","050684","CA","2017","6.0000","","01-JUL-13","30-JUN-15","6.0000","","6.4000","","10","","1","","8","","3","","10","","01-JAN-14","31-DEC-15","6.3400","","No",""
"KAISER FOUNDATION HOSPITAL, RIVERSIDE","050686","CA","2017","9.0000","","01-JUL-13","30-JUN-15","9.0000","","5.8000","","4","","3","","3","","9","","10","","01-JAN-14","31-DEC-15","6.2800","","No",""
"SAINT LOUISE REGIONAL HOSPITAL","050688","CA","2017","4.0000","","01-JUL-13","30-JUN-15","4.0000","","4.8000","","1","","3","","7","","4","","9","","01-JAN-14","31-DEC-15","4.6800","","No",""
"SAN RAMON REGIONAL MEDICAL CTR","050689","CA","2017","8.0000","","01-JUL-13","30-JUN-15","8.0000","","6.8000","","5","","10","","8","","1","","10","","01-JAN-14","31-DEC-15","6.9800","","Yes",""
"KAISER FOUNDATION HOSPITAL-SANTA ROSA","050690","CA","2017","7.0000","","01-JUL-13","30-JUN-15","7.0000","","6.0000","","7","","6","","6","","1","","10","","01-JAN-14","31-DEC-15","6.1500","","No",""
"KECK HOSPITAL OF USC","050696","CA","2017","7.0000","","01-JUL-13","30-JUN-15","7.0000","","7.2000","","7","","9","","7","","5","","8","","01-JAN-14","31-DEC-15","7.1700","","Yes",""
"PATIENTS' HOSPITAL OF REDDING","050697","CA","2017","7.0000","","01-JUL-13","30-JUN-15","7.0000","","N/A","5","N/A","5","N/A","5","N/A","5","N/A","5","N/A","5","01-JAN-14","31-DEC-15","7.0000","","Yes",""
"SOUTHWEST HEALTHCARE SYSTEM","050701","CA","2017","5.0000","","01-JUL-13","30-JUN-15","5.0000","","3.4000","","1","","1","","3","","3","","9","","01-JAN-14","31-DEC-15","3.6400","","No",""
"MISSION COMMUNITY HOSPITAL","050704","CA","2017","4.0000","","01-JUL-13","30-JUN-15","4.0000","","6.5000","","10","","1","","N/A","5","6","","9","","01-JAN-14","31-DEC-15","6.1250","","No",""
"FRESNO SURGICAL HOSPITAL","050708","CA","2017","1.0000","","01-JUL-13","30-JUN-15","1.0000","","1.0000","","N/A","5","N/A","5","N/A","5","N/A","5","1","","01-JAN-14","31-DEC-15","1.0000","","No",""
"DESERT VALLEY HOSPITAL","050709","CA","2017","2.0000","","01-JUL-13","30-JUN-15","2.0000","","5.8000","","9","","3","","3","","7","","7","","01-JAN-14","31-DEC-15","5.2300","","No",""
"KAISER FOUNDATION HOSPITAL - FRESNO","050710","CA","2017","8.0000","","01-JUL-13","30-JUN-15","8.0000","","6.4000","","1","","8","","3","","10","","10","","01-JAN-14","31-DEC-15","6.6400","","Yes",""
"SUTTER MATERNITY & SURGERY CENTER OF SANTA CRUZ","050714","CA","2017","2.0000","","01-JUL-13","30-JUN-15","2.0000","","4.5000","","N/A","5","N/A","5","8","","N/A","5","1","","01-JAN-14","31-DEC-15","4.1250","","No",""
"LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR","050717","CA","2017","6.0000","","01-JUL-13","30-JUN-15","6.0000","","4.6000","","7","","10","","1","","3","","2","","01-JAN-14","31-DEC-15","4.8100","","No",""
"KAISER FOUNDATION HOSPITAL - BALDWIN PARK","050723","CA","2017","5.0000","","01-JUL-13","30-JUN-15","5.0000","","5.8000","","5","","8","","2","","4","","10","","01-JAN-14","31-DEC-15","5.6800","","No",""
"BAKERSFIELD HEART HOSPITAL","050724","CA","2017","9.0000","","01-JUL-13","30-JUN-15","9.0000","","7.8000","","9","","10","","8","","5","","7","","01-JAN-14","31-DEC-15","7.9800","","Yes",""
"STANISLAUS SURGICAL HOSPITAL","050726","CA","2017","4.0000","","01-JUL-13","30-JUN-15","4.0000","","1.0000","","N/A","5","N/A","5","N/A","5","N/A","5","1","","01-JAN-14","31-DEC-15","1.4500","","No",""
"COMMUNITY HOSPITAL OF LONG BEACH","050727","CA","2017","6.0000","","01-JUL-13","30-JUN-15","6.0000","","6.5000","","10","","5","","N/A","5","2","","9","","01-JAN-14","31-DEC-15","6.4250","","No",""
"WHITTIER HOSPITAL MEDICAL CENTER","050735","CA","2017","8.0000","","01-JUL-13","30-JUN-15","8.0000","","5.0000","","4","","2","","4","","7","","8","","01-JAN-14","31-DEC-15","5.4500","","No",""
"MONTEREY PARK HOSPITAL","050736","CA","2017","7.0000","","01-JUL-13","30-JUN-15","7.0000","","7.0000","","10","","1","","10","","8","","6","","01-JAN-14","31-DEC-15","7.0000","","Yes",""
"GARFIELD MEDICAL CENTER","050737","CA","2017","7.0000","","01-JUL-13","30-JUN-15","7.0000","","6.6000","","5","","8","","3","","7","","10","","01-JAN-14","31-DEC-15","6.6600","","Yes",""
"GREATER EL MONTE COMMUNITY HOSPITAL","050738","CA","2017","4.0000","","01-JUL-13","30-JUN-15","4.0000","","4.0000","","6","","1","","N/A","5","6","","3","","01-JAN-14","31-DEC-15","4.0000","","No",""
"CENTINELA HOSPITAL MEDICAL CENTER","050739","CA","2017","1.0000","","01-JUL-13","30-JUN-15","1.0000","","4.8000","","8","","6","","1","","4","","5","","01-JAN-14","31-DEC-15","4.2300","","No",""
"MARINA DEL REY HOSPITAL","050740","CA","2017","3.0000","","01-JUL-13","30-JUN-15","3.0000","","6.6000","","9","","3","","1","","10","","10","","01-JAN-14","31-DEC-15","6.0600","","No",""
"OLYMPIA MEDICAL CENTER","050742","CA","2017","6.0000","","01-JUL-13","30-JUN-15","6.0000","","8.0000","","9","","10","","4","","7","","10","","01-JAN-14","31-DEC-15","7.7000","","Yes",""
"ANAHEIM GLOBAL MEDICAL CENTER","050744","CA","2017","5.0000","","01-JUL-13","30-JUN-15","5.0000","","6.2000","","10","","10","","8","","1","","2","","01-JAN-14","31-DEC-15","6.0200","","No",""
"CHAPMAN GLOBAL MEDICAL CENTER","050745","CA","2017","5.0000","","01-JUL-13","30-JUN-15","5.0000","","6.5000","","N/A","5","9","","N/A","5","N/A","5","4","","01-JAN-14","31-DEC-15","6.2750","","No",""
"ORANGE COUNTY GLOBAL MEDICAL CENTER","050746","CA","2017","10.0000","","01-JUL-13","30-JUN-15","10.0000","","8.0000","","7","","10","","6","","9","","8","","01-JAN-14","31-DEC-15","8.3000","","Yes",""
"SOUTH COAST GLOBAL MEDICAL CENTER","050747","CA","2017","4.0000","","01-JUL-13","30-JUN-15","4.0000","","3.2000","","10","","1","","1","","1","","3","","01-JAN-14","31-DEC-15","3.3200","","No",""
"KAISER FOUNDATION HOSPITAL MANTECA","050748","CA","2017","6.0000","","01-JUL-13","30-JUN-15","6.0000","","8.4000","","8","","10","","5","","9","","10","","01-JAN-14","31-DEC-15","8.0400","","Yes",""
"MIRACLE MILE MEDICAL CENTER","050751","CA","2017","6.0000","","01-JUL-13","30-JUN-15","6.0000","","N/A","5","N/A","5","N/A","5","N/A","5","N/A","5","N/A","5","01-JAN-14","31-DEC-15","6.0000","","No",""
"MENLO PARK SURGICAL HOSPITAL","050754","CA","2017","8.0000","","01-JUL-13","30-JUN-15","8.0000","","N/A","5","N/A","5","N/A","5","N/A","5","N/A","5","N/A","5","01-JAN-14","31-DEC-15","8.0000","","Yes",""
"SHERMAN OAKS HOSPITAL","050755","CA","2017","1.0000","","01-JUL-13","30-JUN-15","1.0000","","6.2500","","9","","1","","N/A","5","5","","10","","01-JAN-14","31-DEC-15","5.4625","","No",""
"ALVARADO HOSPITAL MEDICAL CENTER","050757","CA","2017","1.0000","","01-JUL-13","30-JUN-15","1.0000","","6.6000","","7","","6","","1","","10","","9","","01-JAN-14","31-DEC-15","5.7600","","No",""
"MONTCLAIR HOSPITAL MEDICAL CENTER","050758","CA","2017","2.0000","","01-JUL-13","30-JUN-15","2.0000","","6.7500","","8","","8","","N/A","5","1","","10","","01-JAN-14","31-DEC-15","6.0375","","No",""
"KAISER FOUNDATION HOSPITAL - ANTIOCH","050760","CA","2017","5.0000","","01-JUL-13","30-JUN-15","5.0000","","6.0000","","5","","8","","6","","3","","8","","01-JAN-14","31-DEC-15","5.8500","","No",""
"PROVIDENCE TARZANA MEDICAL CENTER","050761","CA","2017","10.0000","","01-JUL-13","30-JUN-15","10.0000","","6.4000","","6","","5","","2","","10","","9","","01-JAN-14","31-DEC-15","6.9400","","Yes",""
"SILVER LAKE MEDICAL CENTER","050763","CA","2017","1.0000","","01-JUL-13","30-JUN-15","1.0000","","2.2500","","1","","1","","N/A","5","1","","6","","01-JAN-14","31-DEC-15","2.0625","","No",""
"SHASTA REGIONAL MEDICAL CENTER","050764","CA","2017","1.0000","","01-JUL-13","30-JUN-15","1.0000","","7.8000","","10","","8","","4","","7","","10","","01-JAN-14","31-DEC-15","6.7800","","Yes",""
"KAISER FOUNDATION HOSPITAL-MORENO VALLEY","050765","CA","2017","7.0000","","01-JUL-13","30-JUN-15","7.0000","","5.4000","","6","","3","","3","","5","","10","","01-JAN-14","31-DEC-15","5.6400","","No",""
"KAISER FOUNDATION HOSPITAL - VACAVILLE","050767","CA","2017","6.0000","","01-JUL-13","30-JUN-15","6.0000","","6.8000","","4","","10","","9","","1","","10","","01-JAN-14","31-DEC-15","6.6800","","Yes",""
"HOAG ORTHOPEDIC INSTITUTE","050769","CA","2017","2.0000","","01-JUL-13","30-JUN-15","2.0000","","1.0000","","N/A","5","N/A","5","N/A","5","N/A","5","1","","01-JAN-14","31-DEC-15","1.1500","","No",""
"LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA","050770","CA","2017","1.0000","","01-JUL-13","30-JUN-15","1.0000","","7.2000","","10","","9","","8","","4","","5","","01-JAN-14","31-DEC-15","6.2700","","No",""
"COAST PLAZA HOSPITAL","050771","CA","2017","7.0000","","01-JUL-13","30-JUN-15","7.0000","","2.3333","","4","","1","","N/A","5","N/A","5","2","","01-JAN-14","31-DEC-15","3.0333","","No",""
"KAISER FOUNDATION HOSPITAL - ROSEVILLE","050772","CA","2017","2.0000","","01-JUL-13","30-JUN-15","2.0000","","5.2000","","3","","9","","7","","2","","5","","01-JAN-14","31-DEC-15","4.7200","","No",""
"SAN LEANDRO HOSPITAL","050773","CA","2017","8.0000","","01-JUL-13","30-JUN-15","8.0000","","6.2500","","9","","3","","N/A","5","4","","9","","01-JAN-14","31-DEC-15","6.5125","","No",""
"TEMECULA VALLEY HOSPITAL","050775","CA","2017","2.0000","","01-JUL-13","30-JUN-15","2.0000","","3.4000","","1","","1","","3","","4","","8","","01-JAN-14","31-DEC-15","3.1900","","No",""
"COLLEGE MEDICAL CENTER","050776","CA","2017","4.0000","","01-JUL-13","30-JUN-15","4.0000","","4.2500","","8","","5","","N/A","5","2","","2","","01-JAN-14","31-DEC-15","4.2125","","No",""
"KAISER FOUNDATION HOSPITAL - SAN LEANDRO","050777","CA","2017","N/A","5","01-JUL-13","30-JUN-15","N/A","5","7.4000","","8","","7","","10","","4","","8","","01-JAN-14","31-DEC-15","7.4000","","Yes",""
"LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL","050778","CA","2017","N/A","5","01-JUL-13","30-JUN-15","N/A","5","3.5000","","6","","2","","N/A","5","3","","3","","01-JAN-14","31-DEC-15","3.5000","","No",""
"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL","050779","CA","2017","N/A","5","01-JUL-13","30-JUN-15","N/A","5","N/A","5","N/A","5","N/A","5","N/A","5","N/A","5","N/A","5","01-JAN-14","31-DEC-15","N/A","5","No",""
"FOOTHILL REGIONAL MEDICAL CENTER","050780","CA","2017","N/A","5","01-JUL-13","30-JUN-15","N/A","5","10.0000","5","N/A","5","N/A","5","10","18","N/A","5","N/A","5","01-JAN-14","31-DEC-15","10.0000","5","Yes",""
"SONOMA WEST MEDICAL CENTER","050781","CA","2017","N/A","5","01-JUL-13","30-JUN-15","N/A","5","N/A","5","N/A","5","N/A","5","N/A","5","N/A","5","N/A","5","01-JAN-14","31-DEC-15","N/A","5","No",""
"NORTH COLORADO MEDICAL CENTER","060001","CO","2017","6.0000","","01-JUL-13","30-JUN-15","6.0000","","6.8000","","9","","4","","9","","6","","6","","01-JAN-14","31-DEC-15","6.6800","","Yes",""
"LONGMONT UNITED HOSPITAL","060003","CO","2017","8.0000","","01-JUL-13","30-JUN-15","8.0000","","3.8000","","3","","4","","4","","3","","5","","01-JAN-14","31-DEC-15","4.4300","","No",""
"PLATTE VALLEY MEDICAL CENTER","060004","CO","2017","6.0000","","01-JUL-13","30-JUN-15","6.0000","","4.7500","","1","","2","","10","","N/A","5","6","","01-JAN-14","31-DEC-15","4.9375","","No",""
"MONTROSE MEMORIAL HOSPITAL","060006","CO","2017","3.0000","","01-JUL-13","30-JUN-15","3.0000","","6.0000","","9","","4","","5","","N/A","5","6","","01-JAN-14","31-DEC-15","5.5500","","No",""
"SAN LUIS VALLEY HEALTH","060008","CO","2017","4.0000","","01-JUL-13","30-JUN-15","4.0000","","3.3333","","N/A","5","1","","1","","N/A","5","8","","01-JAN-14","31-DEC-15","3.4333","","No",""
"LUTHERAN MEDICAL CENTER","060009","CO","2017","10.0000","","01-JUL-13","30-JUN-15","10.0000","","6.0000","","3","","6","","5","","7","","9","","01-JAN-14","31-DEC-15","6.6000","","Yes",""
"POUDRE VALLEY HOSPITAL","060010","CO","2017","1.0000","","01-JUL-13","30-JUN-15","1.0000","","4.0000","","1","","4","","4","","2","","9","","01-JAN-14","31-DEC-15","3.5500","","No",""
"DENVER HEALTH MEDICAL CENTER","060011","CO","2017","10.0000","","01-JUL-13","30-JUN-15","10.0000","","7.2000","","9","","7","","10","","3","","7","","01-JAN-14","31-DEC-15","7.6200","","Yes",""
"CENTURA HEALTH-ST MARY CORWIN MEDICAL CENTER","060012","CO","2017","4.0000","","01-JUL-13","30-JUN-15","4.0000","","7.0000","","9","","7","","6","","3","","10","","01-JAN-14","31-DEC-15","6.5500","","No",""
"MERCY REGIONAL MEDICAL CENTER","060013","CO","2017","2.0000","","01-JUL-13","30-JUN-15","2.0000","","6.8000","","4","","7","","3","","10","","10","","01-JAN-14","31-DEC-15","6.0800","","No",""
"PRESBYTERIAN ST LUKES MEDICAL CENTER","060014","CO","2017","9.0000","","01-JUL-13","30-JUN-15","9.0000","","5.6000","","7","","3","","3","","5","","10","","01-JAN-14","31-DEC-15","6.1100","","No",""
"CENTURA HEALTH-ST ANTHONY HOSPITAL","060015","CO","2017","9.0000","","01-JUL-13","30-JUN-15","9.0000","","5.6000","","6","","7","","3","","3","","9","","01-JAN-14","31-DEC-15","6.1100","","No",""
"CENTURA HEALTH-ST THOMAS MORE HOSPITAL","060016","CO","2017","2.0000","","01-JUL-13","30-JUN-15","2.0000","","5.0000","","N/A","5","N/A","5","4","","N/A","5","6","","01-JAN-14","31-DEC-15","4.5500","","No",""
"PARKVIEW MEDICAL CENTER INC","060020","CO","2017","10.0000","","01-JUL-13","30-JUN-15","10.0000","","4.2000","","5","","2","","8","","3","","3","","01-JAN-14","31-DEC-15","5.0700","","No",""
"UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL","060022","CO","2017","9.0000","","01-JUL-13","30-JUN-15","9.0000","","5.6000","","4","","6","","6","","7","","5","","01-JAN-14","31-DEC-15","6.1100","","No",""
