Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,Communication with Nurses Floor,Communication with Nurses Achievement Threshold,Communication with Nurses Benchmark,Communication with Nurses Baseline Rate,Communication with Nurses Performance Rate,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Floor,Communication with Doctors Achievement Threshold,Communication with Doctors Benchmark,Communication with Doctors Baseline Rate,Communication with Doctors Performance Rate,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Floor,Responsiveness of Hospital Staff Achievement Threshold,Responsiveness of Hospital Staff Benchmark,Responsiveness of Hospital Staff Baseline Rate,Responsiveness of Hospital Staff Performance Rate,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Pain Management Floor,Pain Management Achievement Threshold,Pain Management Benchmark,Pain Management Baseline Rate,Pain Management Performance Rate,Pain Management Achievement Points,Pain Management Improvement Points,Pain Management Dimension Score,Communication about Medicines Floor,Communication about Medicines Achievement Threshold,Communication about Medicines Benchmark,Communication about Medicines Baseline Rate,Communication about Medicines Performance Rate,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Floor,Cleanliness and Quietness of Hospital Environment Achievement Threshold,Cleanliness and Quietness of Hospital Environment Benchmark,Cleanliness and Quietness of Hospital Environment Baseline Rate,Cleanliness and Quietness of Hospital Environment Performance Rate,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Floor,Discharge Information Achievement Threshold,Discharge Information Benchmark,Discharge Information Baseline Rate,Discharge Information Performance Rate,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall Rating of Hospital Floor,Overall Rating of Hospital Achievement Threshold,Overall Rating of Hospital Benchmark,Overall Rating of Hospital Baseline Rate,Overall Rating of Hospital Performance Rate,Overall Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score
"350002","ST ALEXIUS MEDICAL CENTER","900 E BROADWAY","Bismarck","ND","58501","BURLEIGH","58.14","78.19","86.61","78.93","74.11","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","78.83","76.63","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","66.45","59.99","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","69.84","65.25","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","62.80","62.71","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","65.27","61.28","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","86.65","88.89","6 out of 10","4 out of 9","6 out of 10","35.99","70.02","84.60","74.13","70.10","1 out of 10","0 out of 9","1 out of 10","7","15"
"190044","ACADIA GENERAL HOSPITAL","1305 CROWLEY RAYNE HIGHWAY","Crowley","LA","70526","ACADIA","58.14","78.19","86.61","74.62","82.64","5 out of 10","6 out of 9","6 out of 10","63.58","80.51","88.80","85.74","89.38","10 out of 10","9 out of 9","10 out of 10","37.29","65.05","80.01","54.30","61.83","0 out of 10","2 out of 9","2 out of 10","49.53","70.28","78.33","62.89","76.49","7 out of 10","8 out of 9","8 out of 10","41.42","62.88","73.36","61.38","66.93","4 out of 10","4 out of 9","4 out of 10","44.32","65.30","79.39","64.50","74.36","6 out of 10","6 out of 9","6 out of 10","64.09","85.91","91.23","77.12","87.20","3 out of 10","7 out of 9","7 out of 10","35.99","70.02","84.60","53.91","69.48","0 out of 10","5 out of 9","5 out of 10","48","17"
"420083","MARY BLACK HEALTH SYSTEM SPARTANBURG","1700 SKYLYN DR PO BOX 3217","Spartanburg","SC","29307","SPARTANBURG","58.14","78.19","86.61","81.07","79.44","2 out of 10","0 out of 9","2 out of 10","63.58","80.51","88.80","85.23","82.57","3 out of 10","0 out of 9","3 out of 10","37.29","65.05","80.01","69.51","64.81","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","73.69","70.74","1 out of 10","0 out of 9","1 out of 10","41.42","62.88","73.36","69.28","62.02","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","72.41","69.16","3 out of 10","0 out of 9","3 out of 10","64.09","85.91","91.23","87.85","88.51","5 out of 10","1 out of 9","5 out of 10","35.99","70.02","84.60","77.53","73.18","2 out of 10","0 out of 9","2 out of 10","16","19"
"100047","BAYFRONT HEALTH PUNTA GORDA","809 E MARION AVE","Punta Gorda","FL","33950","CHARLOTTE","58.14","78.19","86.61","71.83","62.23","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","74.48","66.13","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","62.02","42.59","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","64.46","54.84","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","58.01","42.73","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","58.27","47.97","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","82.32","81.90","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","58.95","47.19","0 out of 10","0 out of 9","0 out of 10","0","1"
"360148","POMERENE HOSPITAL","981 WOOSTER ROAD","Millersburg","OH","44654","HOLMES","58.14","78.19","86.61","84.74","84.77","8 out of 10","0 out of 9","8 out of 10","63.58","80.51","88.80","83.91","84.83","5 out of 10","1 out of 9","5 out of 10","37.29","65.05","80.01","71.09","73.35","5 out of 10","2 out of 9","5 out of 10","49.53","70.28","78.33","65.72","68.89","0 out of 10","2 out of 9","2 out of 10","41.42","62.88","73.36","66.02","66.40","4 out of 10","0 out of 9","4 out of 10","44.32","65.30","79.39","73.68","71.41","4 out of 10","0 out of 9","4 out of 10","64.09","85.91","91.23","88.87","89.47","7 out of 10","2 out of 9","7 out of 10","35.99","70.02","84.60","73.44","80.75","7 out of 10","6 out of 9","7 out of 10","42","18"
"070012","ROCKVILLE GENERAL HOSPITAL","31 UNION ST","Rockville","CT","06066","TOLLAND","58.14","78.19","86.61","72.10","76.73","0 out of 10","3 out of 9","3 out of 10","63.58","80.51","88.80","71.23","74.82","0 out of 10","2 out of 9","2 out of 10","37.29","65.05","80.01","58.23","60.04","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","63.18","73.27","4 out of 10","6 out of 9","6 out of 10","41.42","62.88","73.36","59.42","62.34","0 out of 10","2 out of 9","2 out of 10","44.32","65.30","79.39","56.91","52.59","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","82.93","85.10","0 out of 10","2 out of 9","2 out of 10","35.99","70.02","84.60","57.66","60.85","0 out of 10","1 out of 9","1 out of 10","16","7"
"420030","COLLETON MEDICAL CENTER","501 ROBERTSON BOULEVARD","Walterboro","SC","29488","COLLETON","58.14","78.19","86.61","77.60","80.44","3 out of 10","3 out of 9","3 out of 10","63.58","80.51","88.80","81.75","84.10","4 out of 10","3 out of 9","4 out of 10","37.29","65.05","80.01","63.24","64.84","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","70.29","72.25","3 out of 10","2 out of 9","3 out of 10","41.42","62.88","73.36","62.66","64.48","2 out of 10","1 out of 9","2 out of 10","44.32","65.30","79.39","72.39","70.28","4 out of 10","0 out of 9","4 out of 10","64.09","85.91","91.23","83.53","87.40","3 out of 10","5 out of 9","5 out of 10","35.99","70.02","84.60","67.06","68.14","0 out of 10","0 out of 9","0 out of 10","21","18"
"450462","TEXAS HEALTH PRESBYTERIAN HOSPITAL  DALLAS","8200 WALNUT HILL LANE","Dallas","TX","75231","DALLAS","58.14","78.19","86.61","77.22","78.38","1 out of 10","1 out of 9","1 out of 10","63.58","80.51","88.80","80.28","81.62","2 out of 10","1 out of 9","2 out of 10","37.29","65.05","80.01","62.49","62.18","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","71.03","71.61","2 out of 10","0 out of 9","2 out of 10","41.42","62.88","73.36","61.02","63.05","1 out of 10","1 out of 9","1 out of 10","44.32","65.30","79.39","67.17","68.22","2 out of 10","0 out of 9","2 out of 10","64.09","85.91","91.23","84.68","86.49","1 out of 10","2 out of 9","2 out of 10","35.99","70.02","84.60","74.77","77.22","5 out of 10","2 out of 9","5 out of 10","15","17"
"320016","GILA REGIONAL MEDICAL CENTER","1313 E 32ND ST","Silver City","NM","88061","GRANT","58.14","78.19","86.61","79.76","81.45","4 out of 10","2 out of 9","4 out of 10","63.58","80.51","88.80","80.91","82.14","2 out of 10","1 out of 9","2 out of 10","37.29","65.05","80.01","71.45","76.58","7 out of 10","5 out of 9","7 out of 10","49.53","70.28","78.33","68.72","70.74","1 out of 10","2 out of 9","2 out of 10","41.42","62.88","73.36","63.27","66.91","4 out of 10","3 out of 9","4 out of 10","44.32","65.30","79.39","65.32","72.04","5 out of 10","4 out of 9","5 out of 10","64.09","85.91","91.23","86.91","89.75","7 out of 10","6 out of 9","7 out of 10","35.99","70.02","84.60","66.60","68.86","0 out of 10","1 out of 9","1 out of 10","32","19"
"100043","MEASE DUNEDIN HOSPITAL","601 MAIN ST","Dunedin","FL","34698","PINELLAS","58.14","78.19","86.61","78.02","84.32","7 out of 10","7 out of 9","7 out of 10","63.58","80.51","88.80","73.79","79.09","0 out of 10","3 out of 9","3 out of 10","37.29","65.05","80.01","64.84","73.87","6 out of 10","5 out of 9","6 out of 10","49.53","70.28","78.33","69.00","76.72","8 out of 10","8 out of 9","8 out of 10","41.42","62.88","73.36","60.81","69.83","6 out of 10","7 out of 9","7 out of 10","44.32","65.30","79.39","66.53","73.22","6 out of 10","5 out of 9","6 out of 10","64.09","85.91","91.23","86.55","90.09","8 out of 10","7 out of 9","8 out of 10","35.99","70.02","84.60","76.52","78.05","5 out of 10","1 out of 9","5 out of 10","50","18"
"320001","UNM HOSPITAL","2211 LOMAS BOULEVARD NE","Albuquerque","NM","87106","BERNALILLO","58.14","78.19","86.61","74.50","73.88","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","74.78","76.24","0 out of 10","1 out of 9","1 out of 10","37.29","65.05","80.01","63.15","58.40","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","66.16","65.49","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","60.41","62.04","0 out of 10","1 out of 9","1 out of 10","44.32","65.30","79.39","56.42","57.09","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","86.70","86.94","2 out of 10","0 out of 9","2 out of 10","35.99","70.02","84.60","67.32","68.02","0 out of 10","0 out of 9","0 out of 10","4","12"
"370166","WAGONER COMMUNITY HOSPITAL","1200 WEST CHEROKEE STREET","Wagoner","OK","74467","WAGONER","58.14","78.19","86.61","75.79","77.60","0 out of 10","1 out of 9","1 out of 10","63.58","80.51","88.80","81.44","82.42","3 out of 10","1 out of 9","3 out of 10","37.29","65.05","80.01","65.76","67.40","2 out of 10","1 out of 9","2 out of 10","49.53","70.28","78.33","62.84","70.79","1 out of 10","5 out of 9","5 out of 10","41.42","62.88","73.36","58.75","53.88","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","62.67","66.84","1 out of 10","2 out of 9","2 out of 10","64.09","85.91","91.23","79.39","86.45","1 out of 10","5 out of 9","5 out of 10","35.99","70.02","84.60","57.72","63.79","0 out of 10","2 out of 9","2 out of 10","20","11"
"380071","WILLAMETTE VALLEY MEDICAL CENTER","2700 SE STRATUS AVE.","Mcminnville","OR","97128","YAMHILL","58.14","78.19","86.61","82.12","81.31","4 out of 10","0 out of 9","4 out of 10","63.58","80.51","88.80","83.06","83.38","4 out of 10","0 out of 9","4 out of 10","37.29","65.05","80.01","69.57","68.24","2 out of 10","0 out of 9","2 out of 10","49.53","70.28","78.33","75.70","73.14","4 out of 10","0 out of 9","4 out of 10","41.42","62.88","73.36","65.11","69.11","6 out of 10","4 out of 9","6 out of 10","44.32","65.30","79.39","64.33","65.26","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","89.90","89.10","6 out of 10","0 out of 9","6 out of 10","35.99","70.02","84.60","75.22","72.83","2 out of 10","0 out of 9","2 out of 10","28","19"
"390065","GETTYSBURG HOSPITAL","147 GETTYS STREET","Gettysburg","PA","17325","ADAMS","58.14","78.19","86.61","78.15","80.51","3 out of 10","2 out of 9","3 out of 10","63.58","80.51","88.80","80.10","78.07","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","66.31","76.11","7 out of 10","7 out of 9","7 out of 10","49.53","70.28","78.33","69.41","71.18","2 out of 10","1 out of 9","2 out of 10","41.42","62.88","73.36","60.60","64.48","2 out of 10","3 out of 9","3 out of 10","44.32","65.30","79.39","62.20","65.55","1 out of 10","1 out of 9","1 out of 10","64.09","85.91","91.23","83.29","86.97","2 out of 10","4 out of 9","4 out of 10","35.99","70.02","84.60","72.22","71.39","1 out of 10","0 out of 9","1 out of 10","21","17"
"310002","NEWARK BETH ISRAEL MEDICAL CENTER","201 LYONS AVE","Newark","NJ","07112","ESSEX","58.14","78.19","86.61","74.63","79.07","1 out of 10","3 out of 9","3 out of 10","63.58","80.51","88.80","77.30","79.81","0 out of 10","2 out of 9","2 out of 10","37.29","65.05","80.01","53.28","58.13","0 out of 10","1 out of 9","1 out of 10","49.53","70.28","78.33","67.06","69.07","0 out of 10","1 out of 9","1 out of 10","41.42","62.88","73.36","58.22","63.53","1 out of 10","3 out of 9","3 out of 10","44.32","65.30","79.39","60.96","63.55","0 out of 10","1 out of 9","1 out of 10","64.09","85.91","91.23","78.95","83.40","0 out of 10","3 out of 9","3 out of 10","35.99","70.02","84.60","61.38","66.34","0 out of 10","2 out of 9","2 out of 10","16","15"
"230080","MCLAREN CENTRAL MICHIGAN","1221 SOUTH DRIVE","Mount Pleasant","MI","48858","ISABELLA","58.14","78.19","86.61","77.76","79.81","2 out of 10","2 out of 9","2 out of 10","63.58","80.51","88.80","79.65","77.85","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","69.40","69.56","3 out of 10","0 out of 9","3 out of 10","49.53","70.28","78.33","70.76","71.33","2 out of 10","0 out of 9","2 out of 10","41.42","62.88","73.36","56.77","63.71","1 out of 10","4 out of 9","4 out of 10","44.32","65.30","79.39","65.55","68.24","2 out of 10","1 out of 9","2 out of 10","64.09","85.91","91.23","87.92","86.48","1 out of 10","0 out of 9","1 out of 10","35.99","70.02","84.60","67.31","64.22","0 out of 10","0 out of 9","0 out of 10","14","16"
"240053","PARK NICOLLET METHODIST HOSPITAL","6500 EXCELSIOR BLVD","Saint Louis Park","MN","55426","HENNEPIN","58.14","78.19","86.61","75.48","77.45","0 out of 10","1 out of 9","1 out of 10","63.58","80.51","88.80","80.82","83.76","4 out of 10","3 out of 9","4 out of 10","37.29","65.05","80.01","66.16","66.89","2 out of 10","0 out of 9","2 out of 10","49.53","70.28","78.33","67.06","70.18","0 out of 10","2 out of 9","2 out of 10","41.42","62.88","73.36","59.16","66.32","3 out of 10","5 out of 9","5 out of 10","44.32","65.30","79.39","57.68","67.60","2 out of 10","4 out of 9","4 out of 10","64.09","85.91","91.23","85.00","88.72","5 out of 10","5 out of 9","5 out of 10","35.99","70.02","84.60","69.62","76.32","4 out of 10","4 out of 9","4 out of 10","27","19"
"150133","KOSCIUSKO COMMUNITY HOSPITAL","2101 E DUBOIS DR","Warsaw","IN","46580","KOSCIUSKO","58.14","78.19","86.61","76.01","78.32","1 out of 10","2 out of 9","2 out of 10","63.58","80.51","88.80","81.14","78.67","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","62.82","65.10","1 out of 10","1 out of 9","1 out of 10","49.53","70.28","78.33","71.12","71.95","2 out of 10","1 out of 9","2 out of 10","41.42","62.88","73.36","63.88","64.91","2 out of 10","1 out of 9","2 out of 10","44.32","65.30","79.39","69.57","65.04","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","88.30","87.91","4 out of 10","0 out of 9","4 out of 10","35.99","70.02","84.60","66.53","69.24","0 out of 10","1 out of 9","1 out of 10","12","17"
"190019","CHRISTUS ST FRANCES CABRINI HOSPITAL","3330 MASONIC DRIVE","Alexandria","LA","71301","RAPIDES","58.14","78.19","86.61","78.59","78.44","1 out of 10","0 out of 9","1 out of 10","63.58","80.51","88.80","81.32","80.59","1 out of 10","0 out of 9","1 out of 10","37.29","65.05","80.01","60.02","57.94","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","70.70","68.36","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","59.58","61.14","0 out of 10","1 out of 9","1 out of 10","44.32","65.30","79.39","65.97","63.37","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","80.10","81.45","0 out of 10","1 out of 9","1 out of 10","35.99","70.02","84.60","69.06","70.15","1 out of 10","0 out of 9","1 out of 10","5","14"
"380020","MCKENZIE-WILLAMETTE MEDICAL CENTER","1460 G STREET","Springfield","OR","97477","LANE","58.14","78.19","86.61","78.16","76.23","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","79.80","79.04","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","62.96","64.28","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","69.79","68.69","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","68.58","63.58","1 out of 10","0 out of 9","1 out of 10","44.32","65.30","79.39","60.86","57.53","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","88.33","89.14","6 out of 10","2 out of 9","6 out of 10","35.99","70.02","84.60","72.14","69.54","0 out of 10","0 out of 9","0 out of 10","7","12"
"050350","BEVERLY HOSPITAL","309 W BEVERLY BLVD","Montebello","CA","90640","LOS ANGELES","58.14","78.19","86.61","66.18","72.98","0 out of 10","3 out of 9","3 out of 10","63.58","80.51","88.80","69.61","73.01","0 out of 10","1 out of 9","1 out of 10","37.29","65.05","80.01","49.02","58.22","0 out of 10","2 out of 9","2 out of 10","49.53","70.28","78.33","59.89","64.49","0 out of 10","2 out of 9","2 out of 10","41.42","62.88","73.36","50.61","59.16","0 out of 10","3 out of 9","3 out of 10","44.32","65.30","79.39","55.12","58.06","0 out of 10","1 out of 9","1 out of 10","64.09","85.91","91.23","79.10","84.28","0 out of 10","4 out of 9","4 out of 10","35.99","70.02","84.60","58.37","58.60","0 out of 10","0 out of 9","0 out of 10","16","11"
"050411","KAISER FOUNDATION HOSPITAL - SOUTH BAY","25825 SOUTH VERMONT AVENUE","Harbor City","CA","90710","LOS ANGELES","58.14","78.19","86.61","76.31","76.67","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","82.41","82.15","2 out of 10","0 out of 9","2 out of 10","37.29","65.05","80.01","65.84","65.15","1 out of 10","0 out of 9","1 out of 10","49.53","70.28","78.33","72.93","72.71","3 out of 10","0 out of 9","3 out of 10","41.42","62.88","73.36","63.53","62.17","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","62.26","65.80","1 out of 10","2 out of 9","2 out of 10","64.09","85.91","91.23","86.29","85.73","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","75.57","75.69","4 out of 10","0 out of 9","4 out of 10","12","18"
"330231","QUEENS HOSPITAL CENTER","82-68 164TH STREET","Jamaica","NY","11432","QUEENS","58.14","78.19","86.61","66.81","73.94","0 out of 10","3 out of 9","3 out of 10","63.58","80.51","88.80","76.69","78.66","0 out of 10","1 out of 9","1 out of 10","37.29","65.05","80.01","48.55","58.00","0 out of 10","3 out of 9","3 out of 10","49.53","70.28","78.33","57.30","64.92","0 out of 10","3 out of 9","3 out of 10","41.42","62.88","73.36","56.43","60.90","0 out of 10","2 out of 9","2 out of 10","44.32","65.30","79.39","61.18","67.68","2 out of 10","3 out of 9","3 out of 10","64.09","85.91","91.23","79.04","82.98","0 out of 10","3 out of 9","3 out of 10","35.99","70.02","84.60","59.31","66.50","0 out of 10","2 out of 9","2 out of 10","20","14"
"110226","DEKALB MEDICAL CENTER AT HILLANDALE","2801 DEKALB MEDICAL PARKWAY","Lithonia","GA","30058","DE KALB","58.14","78.19","86.61","75.18","69.52","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","77.74","70.86","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","59.10","50.88","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","68.52","58.99","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","60.00","51.16","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","73.10","71.35","4 out of 10","0 out of 9","4 out of 10","64.09","85.91","91.23","79.64","74.37","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","69.58","58.15","0 out of 10","0 out of 9","0 out of 10","4","8"
"490040","INOVA ALEXANDRIA HOSPITAL","4320 SEMINARY RD","Alexandria","VA","22304","ALEXANDRIA CITY","58.14","78.19","86.61","73.01","77.61","0 out of 10","3 out of 9","3 out of 10","63.58","80.51","88.80","75.17","76.79","0 out of 10","1 out of 9","1 out of 10","37.29","65.05","80.01","59.10","61.91","0 out of 10","1 out of 9","1 out of 10","49.53","70.28","78.33","67.66","71.61","2 out of 10","3 out of 9","3 out of 10","41.42","62.88","73.36","59.33","58.56","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","58.94","61.01","0 out of 10","1 out of 9","1 out of 10","64.09","85.91","91.23","79.90","82.99","0 out of 10","2 out of 9","2 out of 10","35.99","70.02","84.60","61.52","66.68","0 out of 10","2 out of 9","2 out of 10","13","15"
"140054","MACNEAL  HOSPITAL","3249 SOUTH OAK PARK AVENUE","Berwyn","IL","60402","COOK","58.14","78.19","86.61","76.18","74.16","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","79.94","78.76","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","63.83","62.16","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","69.20","66.04","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","58.04","60.03","0 out of 10","1 out of 9","1 out of 10","44.32","65.30","79.39","57.23","56.90","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","85.22","85.57","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","68.12","64.11","0 out of 10","0 out of 9","0 out of 10","1","11"
"100242","GULF COAST REGIONAL MEDICAL CENTER","449 W 23RD ST","Panama City","FL","32405","BAY","58.14","78.19","86.61","75.35","76.38","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","76.52","78.33","0 out of 10","1 out of 9","1 out of 10","37.29","65.05","80.01","58.69","59.86","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","68.33","69.12","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","55.62","61.24","0 out of 10","3 out of 9","3 out of 10","44.32","65.30","79.39","58.47","60.22","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","86.65","86.05","1 out of 10","0 out of 9","1 out of 10","35.99","70.02","84.60","65.82","69.04","0 out of 10","1 out of 9","1 out of 10","6","15"
"450152","METROPLEX HOSPITAL","2201 S CLEAR CREEK ROAD","Killeen","TX","76549","BELL","58.14","78.19","86.61","78.49","81.88","4 out of 10","4 out of 9","4 out of 10","63.58","80.51","88.80","81.46","81.17","1 out of 10","0 out of 9","1 out of 10","37.29","65.05","80.01","63.98","70.27","4 out of 10","3 out of 9","4 out of 10","49.53","70.28","78.33","70.67","73.13","4 out of 10","3 out of 9","4 out of 10","41.42","62.88","73.36","66.12","67.28","4 out of 10","1 out of 9","4 out of 10","44.32","65.30","79.39","72.27","74.83","7 out of 10","3 out of 9","7 out of 10","64.09","85.91","91.23","87.80","88.82","5 out of 10","2 out of 9","5 out of 10","35.99","70.02","84.60","68.33","71.65","2 out of 10","2 out of 9","2 out of 10","31","20"
"050616","ST JOHNS PLEASANT VALLEY HOSPITAL","2309 ANTONIO AVE","Camarillo","CA","93010","VENTURA","58.14","78.19","86.61","76.03","71.75","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","77.15","74.35","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","56.26","54.19","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","70.05","63.18","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","60.86","65.16","2 out of 10","3 out of 9","3 out of 10","44.32","65.30","79.39","56.19","52.83","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","87.03","84.26","0 out of 10","0 out of 9","0 out of 10","35.99","70.02","84.60","66.42","60.43","0 out of 10","0 out of 9","0 out of 10","3","8"
"180013","THE MEDICAL CENTER AT BOWLING GREEN","250 PARK STREET","Bowling Green","KY","42101","WARREN","58.14","78.19","86.61","77.03","73.88","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","80.46","76.97","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","62.29","59.97","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","70.11","64.84","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","64.86","60.02","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","67.15","62.51","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","87.46","86.70","2 out of 10","0 out of 9","2 out of 10","35.99","70.02","84.60","70.65","68.77","0 out of 10","0 out of 9","0 out of 10","2","14"
"360192","UH GEAUGA MEDICAL CENTER","13207 RAVENNA RD","Chardon","OH","44024","GEAUGA","58.14","78.19","86.61","81.17","81.85","4 out of 10","1 out of 9","4 out of 10","63.58","80.51","88.80","80.84","80.83","1 out of 10","0 out of 9","1 out of 10","37.29","65.05","80.01","68.25","68.22","2 out of 10","0 out of 9","2 out of 10","49.53","70.28","78.33","70.68","70.72","1 out of 10","0 out of 9","1 out of 10","41.42","62.88","73.36","63.00","65.14","2 out of 10","2 out of 9","2 out of 10","44.32","65.30","79.39","59.30","60.70","0 out of 10","0 out of 9","0 out of 10","64.09","85.91","91.23","89.64","88.90","6 out of 10","0 out of 9","6 out of 10","35.99","70.02","84.60","71.43","71.97","2 out of 10","0 out of 9","2 out of 10","18","15"
"040010","MERCY HOSPITAL NORTHWEST ARKANSAS","2710 SOUTH RIFE MEDICAL LANE","Rogers","AR","72758","BENTON","58.14","78.19","86.61","78.60","76.13","0 out of 10","0 out of 9","0 out of 10","63.58","80.51","88.80","82.37","78.67","0 out of 10","0 out of 9","0 out of 10","37.29","65.05","80.01","63.37","60.10","0 out of 10","0 out of 9","0 out of 10","49.53","70.28","78.33","71.59","66.40","0 out of 10","0 out of 9","0 out of 10","41.42","62.88","73.36","59.25","58.91","0 out of 10","0 out of 9","0 out of 10","44.32","65.30","79.39","65.78","67.69","2 out of 10","1 out of 9","2 out of 10","64.09","85.91","91.23","87.19","87.03","2 out of 10","0 out of 9","2 out of 10","35.99","70.02","84.60","76.14","73.28","3 out of 10","0 out of 9","3 out of 10","7","16"
