ASC_Name,Provider_ID,NPI,City,State,Zip_Code,Year,ASC_1_Measure_Rate,ASC_1_Footnote,ASC_2_Measure_Rate,ASC_2_Footnote,ASC_3_Measure_Rate,ASC_3_Footnote,ASC_4_Measure_Rate,ASC_4_Footnote,ASC_5_Measure_Rate,ASC_5_Footnote,ASC_1_5_Encounter_Start_Date,ASC_1_5_Encounter_End_Date,ASC6_SSChecklist,ASC_6_Footnote,ASC_7_Volume,ASC_7_Gastrointestinal,ASC_7_Eye,ASC_7_Skin,ASC_7_Genitourinary,ASC_7_Musculoskeletal,ASC_7_Multi_System,ASC_7_Nervous_System,ASC_7_Respiratory,ASC_7_Footnote,ASC_6_7_Encounter_Start_Date,ASC_6_7_Encounter_End_Date,ASC_8_rate,ASC_8_Footnote,ASC_8_Encounter_Date,ASC_9_rate,ASC_9_Footnote,ASC_10_rate,ASC_10_Footnote,ASC_9_10_Encounter_Start_Date,ASC_9_10_Encounter_End_Date,ASC_11_rate,ASC_11_Footnote,ASC_11_Encounter_Start_Date,ASC_11_Encounter_End_Date
Plastic Surgery Associates of Orange County,55C0001076,1053492736,Orange,CA,92868,2015,,N/A (1),,N/A (1),,N/A (1),,N/A (1),,N/A (1),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
East Bay Endoscopy Center,05C0001641,1053496240,Oakland,CA,94612,2015,0.000,,0.458,,0.000,,0.458,,,N/A (1),01/01/2015,12/31/2015,Yes,,8314,8314,0,0,0,0,0,0,0,,01/01/2015,12/31/2015,88.24,,2015/2016,100.0,,100.0,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
South Coast Outpatient Surgery Center,05C0001929,1053545905,Corona Del Mar,CA,92625,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Vip Surgicare,05C0002031,1053612853,Los Gatos,CA,95032,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,323,0,0,8,0,300,0,15,0,,01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
San Antonio Ambulatory Surgical Center Inc.,05C0001489,1063422962,Upland,CA,91786,2015,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2015,12/31/2015,Yes,,6774,4400,0,36,41,1378,1,880,38,,01/01/2015,12/31/2015,85.91,,2015/2016,71.88,,72.92,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Campus Surgery Center,05C0001189,1063427557,Daly City,CA,94015,2015,0.000,,0.000,,0.000,,0.988,,997.36,,01/01/2015,12/31/2015,Yes,,3644,7,289,18,0,1847,0,1366,117,,01/01/2015,12/31/2015,75.27,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Templeton Surgery Center,05C0001785,1063453561,Templeton,CA,93465,2015,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2015,12/31/2015,Yes,,842,17,333,2,9,432,0,47,2,,01/01/2015,12/31/2015,88.64,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Advanced Surgery Institute,05C0001918,1063646594,Santa Rosa,CA,95404,2015,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Loma Linda Ambulatory Surgical Center,55C0001035,1063692283,Loma Linda,CA,92354,2015,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Eye Life Institute ASC,05C0001855,1073536215,Paradise,CA,95969,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,370,0,370,0,0,0,0,0,0,,01/01/2015,12/31/2015,,N/A (1),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,100.0,,01/01/2015,12/31/2015
San Luis Obispo Surgery Center,55C0001057,1073578126,San Luis Obispo,CA,93401,2015,0.000,,0.596,,0.596,,0.000,,1000.0,,01/01/2015,12/31/2015,Yes,,2542,5,2310,104,0,99,0,21,3,,01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"The Escondido CA Endoscopy ASC, LP",05C0001503,1073588646,Escondido,CA,92026,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,6156,6156,0,0,0,0,0,0,0,,01/01/2015,12/31/2015,91.18,,2015/2016,100.0,,97.94,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
North Bay Eye Associates,05C0001068,1073620415,Santa Rosa,CA,95401,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,1509,0,1509,0,0,0,0,0,0,,01/01/2015,12/31/2015,53.57,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,95.00,,01/01/2015,12/31/2015
Pacific Surgery Center,05C0001668,1073693123,Ventura,CA,93003,2015,0.000,,0.000,,0.000,,1.330,,1000.0,,01/01/2015,12/31/2015,Yes,,766,0,409,0,143,214,0,0,0,,01/01/2015,12/31/2015,33.33,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Advanced Eye Surgery Center,05C0001832,1073713004,Chico,CA,95926,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,3673,0,3439,234,0,0,0,0,0,,01/01/2015,12/31/2015,88.89,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Barranca Surgery Center,05C0001564,1073794855,Irvine,CA,92606,2015,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2015,12/31/2015,Yes,,1713,799,872,1,0,0,0,0,41,,01/01/2015,12/31/2015,100.0,,2015/2016,39.68,,20.63,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Glenwood Surgical Center LP,05C0001082,1083670970,Riverside,CA,92503,2015,0.000,,0.000,,0.000,,0.000,,988.64,,01/01/2015,12/31/2015,Yes,,7946,2503,1188,0,125,1443,1468,1219,0,,01/01/2015,12/31/2015,61.87,,2015/2016,36.73,,72.73,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Central Coast Facial Surgery Center,05C0001562,1083671358,Templeton,CA,93465,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,34,2,0,27,0,1,0,0,4,,01/01/2015,12/31/2015,40.00,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Paincare Medical Group,05C0001429,1083691331,Irvine,CA,92618,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,1505,0,0,0,0,0,0,1505,0,,01/01/2015,12/31/2015,,N/A (1),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Kings Eye Center,05C0001298,1083694319,Hanford,CA,93230,2015,0.000,,0.000,,0.000,,1.451,,,N/A (5),01/01/2015,12/31/2015,Yes,,1152,0,915,237,0,0,0,0,0,,01/01/2015,12/31/2015,66.67,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Natraj Surgery Center, Inc.",05C0001771,1083711568,Porterville,CA,93257,2015,0.000,,0.000,,0.000,,0.000,,970.59,,01/01/2015,12/31/2015,Yes,,298,139,0,82,5,24,1,47,0,,01/01/2015,12/31/2015,,N/A (5),2015/2016,61.54,,,N/A (1),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Hemet Uro-Endo Surgicenter, Inc",05C0001074,1083751143,Hemet,CA,92543,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Westside Multispecialty Surgery Center,05C0001853,1083776108,Los Angeles,CA,90024,2015,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2015,12/31/2015,Yes,,4,0,0,0,0,4,0,0,0,,01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Observatory Surgery Center, LLC",05C0001374,1083944375,Ukiah,CA,95482,2015,0.000,,0.000,,0.000,,0.000,,0.00,,01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Odyssey ASC Endoscopy Center,05C0001956,1093037020,Irvine,CA,92618,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Surgical Arts Surgical Center A Medical Co,05C0002084,1093136384,Santa Barbara,CA,93101,2015,,N/A (1),,N/A (1),,N/A (1),,N/A (1),,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Community Surgery Center of Glendale,05C0001805,1093156937,Glendale,CA,91202,2015,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2015,12/31/2015,Yes,,4190,2635,529,8,199,497,265,5,52,,01/01/2015,12/31/2015,58.42,,2015/2016,98.46,,98.44,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Madera Surgery Center,05C0001797,1093758898,Madera,CA,93637,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (1),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Lodi Outpatient Surgery Center,05C0001056,1093771073,Lodi,CA,95242,2015,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2015,12/31/2015,Yes,,2427,0,697,71,14,635,0,998,12,,01/01/2015,12/31/2015,78.33,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Endoscopy Center of Chula Vista,05C0001046,1093802225,Chula Vista,CA,91910,2015,0.000,,0.000,,0.000,,0.965,,,N/A (5),01/01/2015,12/31/2015,Yes,,3583,3583,0,0,0,0,0,0,0,,01/01/2015,12/31/2015,100.0,,2015/2016,39.71,,100.0,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Surgical Eye Care Center,05C0001040,1093847311,Carlsbad,CA,92008,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,827,0,827,0,0,0,0,0,0,,01/01/2015,12/31/2015,100.0,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,98.40,,01/01/2015,12/31/2015
"Rancho Mirage Pain Center, Inc.",05C0001795,1093885675,Rancho Mirage,CA,92270,2015,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2015,12/31/2015,Yes,,1160,0,0,0,0,52,0,1108,0,,01/01/2015,12/31/2015,,N/A (1),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Sunset Sugical Center,05C0001494,1093891004,West Covina,CA,91790,2015,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Pacific Endoscopy,05C0001803,1104006006,Fountain Valley,CA,92708,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,2555,2555,0,0,0,0,0,0,0,,01/01/2015,12/31/2015,95.65,,2015/2016,100.0,,100.0,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Surgecenter of Palo Alto,05C0001092,1104067115,Palo Alto,CA,94301,2015,1.208,,0.403,,0.000,,0.000,,994.46,,01/01/2015,12/31/2015,Yes,,9565,8352,225,43,23,205,0,191,526,,01/01/2015,12/31/2015,76.98,,2015/2016,100.0,,100.0,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Congress Medical Surgery Center, LLC",05C0001892,1104087089,Pasadena,CA,91105,2015,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2015,12/31/2015,Yes,,4251,0,0,0,0,1996,0,2255,0,,01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Encino Pl Pain Management and Surgery Center Inc,05C0001937,1104153931,Encino,CA,91436,2015,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Agmg Endoscopy Center,05C0001510,1104822808,Anaheim,CA,92801,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,4449,4449,0,0,0,0,0,0,0,,01/01/2015,12/31/2015,70.37,,2015/2016,27.03,,80.76,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Monterey Peninsula Surgery Center - Cass St,05C0001028,1104850312,Monterey,CA,93940,2015,0.000,,0.000,,0.000,,0.410,,995.44,,01/01/2015,12/31/2015,Yes,,5915,183,836,50,24,934,20,3688,180,,01/01/2015,12/31/2015,83.49,,2015/2016,75.76,,100.0,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Westside Medical Center Inc.,05C0001811,1104909068,Los Angeles,CA,90024,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Tehachapi Surgery Center,05C0001466,1104969179,Tehachapi,CA,93561,2015,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,31.58,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Azusa Surgery Center,05C0001792,1114043858,Azusa,CA,91702,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,2748,0,1084,0,0,1664,0,0,0,,01/01/2015,12/31/2015,64.71,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Rodeo Dr Plastic,05C0001629,1114078342,Beverly Hills,CA,90210,2015,,N/A (1),,N/A (1),,N/A (1),,N/A (1),,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Memorial Care Surgery Center at Orange Coast,05C0001923,1114168309,Fountain Valley,CA,92708,2015,0.000,,0.000,,0.000,,1.059,,1000.0,,01/01/2015,12/31/2015,Yes,,6811,3462,677,4,55,1024,639,950,0,,01/01/2015,12/31/2015,43.29,,2015/2016,83.33,,82.29,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Alvarado Eye Surgery,55C0001075,1114202892,Los Angeles,CA,90057,2015,0.000,,0.841,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,2746,0,2746,0,0,0,0,0,0,,01/01/2015,12/31/2015,41.18,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Precision Ambulatory Surgery Center,05C0002035,1114265519,Beverly Hills,CA,90210,2015,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2015,12/31/2015,Yes,,1283,0,248,2,63,151,0,796,23,,01/01/2015,12/31/2015,24.18,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Capitol City Surgery Center,05C0001635,1114921541,Sacramento,CA,95815,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,2600,0,2599,1,0,0,0,0,0,,01/01/2015,12/31/2015,84.13,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Redding Endoscopy Center,05C0001368,1114922192,Redding,CA,96001,2015,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2015,12/31/2015,Yes,,7917,7917,0,0,0,0,0,0,0,,01/01/2015,12/31/2015,100.0,,2015/2016,97.12,,96.19,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
San Francisco Endoscopy Center,05C0001627,1124031406,San Francisco,CA,94118,2015,0.000,,0.000,,0.000,,0.535,,,N/A (5),01/01/2015,12/31/2015,Yes,,8481,8481,0,0,0,0,0,0,0,,01/01/2015,12/31/2015,100.0,,2015/2016,81.25,,94.79,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Pacific Coast Plastic Surgery,05C0001142,1124107073,Santa Monica,CA,90404,2015,,N/A (1),,N/A (1),,N/A (1),,N/A (1),,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Risser Surgery Center,05C0002030,1124395876,Pasadena,CA,91107,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,840,0,0,0,0,840,0,0,0,,01/01/2015,12/31/2015,,N/A (1),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Laguna Sc,,1124441852,Fullerton,CA,92835,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Laguna Niguel Surgery Center,05C0001854,1134318983,Laguna Niguel,CA,92677,2015,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Md Surgical Solutions, LLC",05C0001845,1134327182,Sherman Oaks,CA,91403,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Vista Surgery Center,05C0002048,1134385701,San Francisco,CA,94108,2015,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Channel Islands Surgicenter,05C0001229,1144287665,Oxnard,CA,93030,2015,0.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2015,12/31/2015,Yes,,8905,4515,1400,38,0,602,0,2226,124,,01/01/2015,12/31/2015,64.81,,2015/2016,100.0,,93.75,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Third St Surgery, LP",05C0001330,1144370594,Los Angeles,CA,90013,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,2689,593,2070,0,1,17,8,0,0,,01/01/2015,12/31/2015,0.00,,2015/2016,0.00,,59.13,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Starpoint Surgicenter,05C0001395,1144390725,Studio City,CA,91607,2015,0.000,,0.000,,0.000,,0.000,,952.38,,01/01/2015,12/31/2015,Yes,,2863,258,4,61,0,992,0,1546,2,,01/01/2015,12/31/2015,,N/A (5),2015/2016,100.0,,100.0,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Zeiter Eye Medical Group, Inc.",,1144410705,Stockton,CA,95210,2015,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"California Skin Surgery Center, Inc.",05C0001878,1144497264,Roseville,CA,95661,2015,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2015,12/31/2015,Yes,,1871,0,0,1871,0,0,0,0,0,,01/01/2015,12/31/2015,,N/A (1),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Foothill Surgery Center, LLC",05C0001666,1144499633,Arcadia,CA,91006,2015,0.000,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,3386,0,3386,0,0,0,0,0,0,,01/01/2015,12/31/2015,17.14,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Moy Fincher Chips Surgery Center,05C0001961,1144552647,Beverly Hills,CA,90210,2015,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2015,12/31/2015,Yes,,510,0,0,510,0,0,0,0,0,,01/01/2015,12/31/2015,33.33,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Health Care Partners Ambulatory Surgery Center, Lb, LLC",05C0001198,1144590332,Long Beach,CA,90806,2015,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2015,12/31/2015,Yes,,158,85,44,1,0,1,0,27,0,,01/01/2015,12/31/2015,100.0,,2015/2016,22.28,,74.58,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Foothill Surgery Center at Sunsum Clinic,05C0002055,1144648015,Santa Barbara,CA,93110,2015,0.000,,0.000,,0.000,,0.000,,994.90,,01/01/2015,12/31/2015,Yes,,3096,17,652,0,243,1555,629,0,0,,01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (1),,N/A (1),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Los Palos Ambulatory Endoscopy Center,05C0001397,1154328243,Salinas,CA,93901,2015,0.493,,0.000,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,7745,7745,0,0,0,0,0,0,0,,01/01/2015,12/31/2015,83.33,,2015/2016,21.82,,1.16,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Sebastopol ASC, LP",55C0001098,1154440972,Sebastopol,CA,95472,2015,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2015,12/31/2015,Yes,,823,0,771,0,0,48,4,0,0,,01/01/2015,12/31/2015,76.92,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Cabrillo Surgery Center Inc.,05C0001949,1154554160,San Diego,CA,92123,2015,0.000,,8.333,,0.000,,0.000,,,N/A (5),01/01/2015,12/31/2015,Yes,,197,0,0,197,0,0,0,0,0,,01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Rancho Mirage Surgery Center, LLC",05C0001874,1154593481,Rancho Mirage,CA,92270,2015,2.478,,0.000,,0.000,,0.000,,1000.0,,01/01/2015,12/31/2015,Yes,,1925,84,0,37,64,859,48,503,330,,01/01/2015,12/31/2015,73.12,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Chico Surgery Center,05C0001453,1164421004,Chico,CA,95926,2015,0.000,,0.000,,0.000,,0.000,,988.30,,01/01/2015,12/31/2015,Yes,,8756,0,0,1,0,248,0,8472,35,,01/01/2015,12/31/2015,65.00,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Fort Sutter Surgery Center,05C0001001,1164484572,Sacramento,CA,95816,2015,0.000,,0.000,,0.000,,0.000,,996.89,,01/01/2015,12/31/2015,Yes,,10808,5540,642,8,5,272,2,4183,156,,01/01/2015,12/31/2015,82.96,,2015/2016,92.83,,57.48,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Mission Hills Surgicenter, Inc",05C0001767,1164534400,Mission Viejo,CA,92691,2015,0.000,,0.000,,0.000,,0.000,,,N/A (1),01/01/2015,12/31/2015,Yes,,0,0,0,0,0,0,0,0,0,,01/01/2015,12/31/2015,,N/A (1),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Rexford Operating Rooms, Inc.",05C0001589,1164547857,Beverly Hills,CA,90210,2015,,N/A (5),,N/A (5),,N/A (5),,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),,,,,,,,,,N/A (5),01/01/2015,12/31/2015,,N/A (5),2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
"Palo Alto Medical Foundation for Healthcare, Research & Education Surgery Center San",05C0002079,1164840088,San Carlos,CA,94070,2015,2.000,,0.000,,0.000,,0.000,,1000.0,,01/01/2015,12/31/2015,Yes,,3482,2684,0,0,2,748,0,48,0,,01/01/2015,12/31/2015,,N/A (5),2015/2016,100.0,,100.0,,01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
Specialty Surgical Center - Brighton Way,05C0001421,1174538748,Beverly Hills,CA,90210,2015,0.000,,0.000,,0.000,,0.000,,920.00,,01/01/2015,12/31/2015,Yes,,6452,0,6452,0,0,0,0,0,0,,01/01/2015,12/31/2015,29.11,,2015/2016,,N/A (5),,N/A (5),01/01/2015,12/31/2015,,N/A (5),01/01/2015,12/31/2015
