Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,PSI-90 Achievement Threshold,PSI-90 Benchmark,PSI-90 Baseline Rate,PSI-90 Performance Rate,PSI-90 Achievement Points,PSI-90 Improvement Points,PSI-90 Measure Score,HAI-1 Achievement Threshold,HAI-1 Benchmark,HAI-1 Baseline Rate,HAI-1 Performance Rate,HAI-1 Achievement Points,HAI-1 Improvement Points,HAI-1 Measure Score,HAI-2 Achievement Threshold,HAI-2 Benchmark,HAI-2 Baseline Rate,HAI-2 Performance Rate,HAI-2 Achievement Points,HAI-2 Improvement Points,HAI-2 Measure Score,Combined SSI Measure Score,HAI-3 Achievement Threshold,HAI-3 Benchmark,HAI-3 Baseline Rate,HAI-3 Performance Rate,HAI-3 Achievement Points,HAI-3 Improvement Points,HAI-3 Measure Score,HAI-4 Achievement Threshold,HAI-4 Benchmark,HAI-4 Baseline Rate,HAI-4 Performance Rate,HAI-4 Achievement Points,HAI-4 Improvement Points,HAI-4 Measure Score,HAI-5 Achievement Threshold,HAI-5 Benchmark,HAI-5 Baseline Rate,HAI-5 Performance Rate,HAI-5 Achievement Points,HAI-5 Improvement Points,HAI-5 Measure Score,HAI-6 Achievement Threshold,HAI-6 Benchmark,HAI-6 Baseline Rate,HAI-6 Performance Rate,HAI-6 Achievement Points,HAI-6 Improvement Points,HAI-6 Measure Score
"040007","CHI-ST VINCENT INFIRMARY","TWO ST VINCENT CIRCLE","Little Rock","AR","72205","PULASKI","0.777936","0.547889","0.681549","0.728039","2 out of 10","0 out of 9","2 out of 10","0.457","0.000","0.628","1.212","0 out of 10","0 out of 9","0 out of 10","0.845","0.000","0.615","0.758","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0.751","0.000","0.259","0.958","0 out of 10","0 out of 9","0 out of 10","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","0.725","1.291","0 out of 10","0 out of 9","0 out of 10","0.750","0.000","0.179","0.419","4 out of 10","0 out of 9","4 out of 10"
"040010","MERCY HOSPITAL NORTHWEST ARKANSAS","2710 SOUTH RIFE MEDICAL LANE","Rogers","AR","72758","BENTON","0.777936","0.547889","0.725387","0.442714","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","0.337","0.537","0 out of 10","0 out of 9","0 out of 10","0.845","0.000","0.000","0.545","4 out of 10","0 out of 9","4 out of 10","4 out of 10","0.751","0.000","0.622","0.743","1 out of 10","0 out of 9","1 out of 10","0.698","0.000","Not Available","0.000","10 out of 10","Not Available","10 out of 10","0.799","0.000","2.166","0.000","10 out of 10","9 out of 9","10 out of 10","0.750","0.000","0.668","0.791","0 out of 10","0 out of 9","0 out of 10"
"040011","CHAMBERS MEMORIAL HOSPITAL","719 DETROIT STREET","Danville","AR","72833","YELL","0.777936","0.547889","0.796696","0.532699","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.461","0.000","10 out of 10","9 out of 9","10 out of 10"
"040014","WHITE COUNTY MEDICAL CENTER","3214 EAST RACE AVENUE","Searcy","AR","72143","WHITE","0.777936","0.547889","0.842825","0.563595","9 out of 10","9 out of 9","9 out of 10","0.457","0.000","0.000","0.566","0 out of 10","0 out of 9","0 out of 10","0.845","0.000","0.464","0.000","10 out of 10","9 out of 9","10 out of 10","10 out of 10","0.751","0.000","0.870","0.000","10 out of 10","9 out of 9","10 out of 10","0.698","0.000","Not Available","0.000","10 out of 10","Not Available","10 out of 10","0.799","0.000","1.374","0.865","0 out of 10","3 out of 9","3 out of 10","0.750","0.000","0.412","0.553","3 out of 10","0 out of 9","3 out of 10"
"040015","MENA REGIONAL HEALTH SYSTEM","311 NORTH MORROW STREET","Mena","AR","71953","POLK","0.777936","0.547889","0.725003","0.503443","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.285","0.000","10 out of 10","9 out of 9","10 out of 10"
"040016","UAMS MEDICAL CENTER","4301 WEST MARKHAM STREET MAIL SLOT 612","Little Rock","AR","72205","PULASKI","0.777936","0.547889","0.877929","0.794608","0 out of 10","2 out of 9","2 out of 10","0.457","0.000","0.364","0.320","3 out of 10","1 out of 9","3 out of 10","0.845","0.000","1.036","0.707","2 out of 10","3 out of 9","3 out of 10","4 out of 10","0.751","0.000","0.751","0.577","3 out of 10","2 out of 9","3 out of 10","0.698","0.000","0.618","0.240","6 out of 10","6 out of 9","6 out of 10","0.799","0.000","1.170","0.614","3 out of 10","4 out of 9","4 out of 10","0.750","0.000","0.965","1.057","0 out of 10","0 out of 9","0 out of 10"
"040017","NORTH ARKANSAS REGIONAL MEDICAL CENTER","620 NORTH MAIN STREET","Harrison","AR","72601","BOONE","0.777936","0.547889","0.789071","0.483874","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.751","0.000","0.894","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.569","0.358","5 out of 10","3 out of 9","5 out of 10"
"040018","SPARKS MEDICAL CENTER - VAN BUREN","EAST MAIN AND SOUTH 20TH STREET","Van Buren","AR","72957","CRAWFORD","0.777936","0.547889","0.956705","0.686179","4 out of 10","6 out of 9","6 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","1.331","1.573","0 out of 10","0 out of 9","0 out of 10"
"040019","FORREST CITY MEDICAL CENTER","1601 NEWCASTLE ROAD","Forrest City ","AR","72335","ST. FRANCIS","0.777936","0.547889","0.692008","0.619504","7 out of 10","5 out of 9","7 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","10 out of 10","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","0.000","10 out of 10","Not Available","10 out of 10","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10"
"040020","ST BERNARDS MEDICAL CENTER","225 E JACKSON","Jonesboro","AR","72403","CRAIGHEAD","0.777936","0.547889","0.809198","0.738227","2 out of 10","2 out of 9","2 out of 10","0.457","0.000","1.102","1.230","0 out of 10","0 out of 9","0 out of 10","0.845","0.000","2.896","1.380","0 out of 10","5 out of 9","5 out of 10","0 out of 10","0.751","0.000","0.767","0.870","0 out of 10","0 out of 9","0 out of 10","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","3.913","2.599","0 out of 10","3 out of 9","3 out of 10","0.750","0.000","0.311","0.453","4 out of 10","0 out of 9","4 out of 10"
"040022","NORTHWEST MEDICAL CENTER-SPRINGDALE","609 WEST MAPLE AVENUE","Springdale","AR","72764","WASHINGTON","0.777936","0.547889","0.689777","0.447181","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","0.861","0.518","0 out of 10","3 out of 9","3 out of 10","0.845","0.000","0.353","0.369","6 out of 10","0 out of 9","6 out of 10","3 out of 10","0.751","0.000","0.574","1.151","0 out of 10","0 out of 9","0 out of 10","0.698","0.000","Not Available","0.209","7 out of 10","Not Available","7 out of 10","0.799","0.000","1.299","0.000","10 out of 10","9 out of 9","10 out of 10","0.750","0.000","0.324","0.436","4 out of 10","0 out of 9","4 out of 10"
"040026","CHI ST. VINCENT HOSPITAL HOT SPRINGS","300 WERNER STREET","Hot Springs","AR","71903","GARLAND","0.777936","0.547889","0.630400","0.492849","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","0.361","0.271","4 out of 10","2 out of 9","4 out of 10","0.845","0.000","1.457","1.301","0 out of 10","1 out of 9","1 out of 10","1 out of 10","0.751","0.000","0.275","0.726","1 out of 10","0 out of 9","1 out of 10","0.698","0.000","1.899","Not Available","Not Available","Not Available","Not Available","0.799","0.000","1.508","1.716","0 out of 10","0 out of 9","0 out of 10","0.750","0.000","0.947","1.021","0 out of 10","0 out of 9","0 out of 10"
"040027","BAXTER REGIONAL MEDICAL CENTER","624 HOSPITAL DRIVE","Mountain Home","AR","72653","BAXTER","0.777936","0.547889","0.526203","0.529851","10 out of 10","0 out of 9","10 out of 10","0.457","0.000","0.000","0.668","0 out of 10","0 out of 9","0 out of 10","0.845","0.000","1.080","1.163","0 out of 10","0 out of 9","0 out of 10","5 out of 10","0.751","0.000","0.501","0.406","5 out of 10","1 out of 9","5 out of 10","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","0.566","1.180","0 out of 10","0 out of 9","0 out of 10","0.750","0.000","1.022","0.980","0 out of 10","0 out of 9","0 out of 10"
"040029","CONWAY REGIONAL MEDICAL CENTER","2302 COLLEGE AVENUE","Conway","AR","72034","FAULKNER","0.777936","0.547889","0.446169","0.544345","10 out of 10","0 out of 9","10 out of 10","0.457","0.000","0.000","0.937","0 out of 10","0 out of 9","0 out of 10","0.845","0.000","0.875","0.000","10 out of 10","9 out of 9","10 out of 10","10 out of 10","0.751","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","0.698","0.000","Not Available","0.000","10 out of 10","Not Available","10 out of 10","0.799","0.000","1.466","2.029","0 out of 10","0 out of 9","0 out of 10","0.750","0.000","1.042","1.314","0 out of 10","0 out of 9","0 out of 10"
"040036","BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK","3333 SPRINGHILL DRIVE","North Little Rock","AR","72117","PULASKI","0.777936","0.547889","0.807351","0.377780","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","2.245","0.634","0 out of 10","7 out of 9","7 out of 10","0.845","0.000","1.141","0.772","1 out of 10","3 out of 9","3 out of 10","0 out of 10","0.751","0.000","0.585","0.908","0 out of 10","0 out of 9","0 out of 10","0.698","0.000","0.000","Not Available","Not Available","Not Available","Not Available","0.799","0.000","1.843","0.551","3 out of 10","7 out of 9","7 out of 10","0.750","0.000","0.819","0.793","0 out of 10","0 out of 9","0 out of 10"
"040039","ARKANSAS METHODIST MEDICAL CENTER","900 WEST KINGSHIGHWAY","Paragould","AR","72451","GREENE","0.777936","0.547889","0.835243","0.572135","9 out of 10","9 out of 9","9 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","0.000","0.602","3 out of 10","0 out of 9","3 out of 10","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","0.848","0 out of 10","Not Available","0 out of 10","0.750","0.000","1.340","0.289","6 out of 10","7 out of 9","7 out of 10"
"040041","ST MARYS REGIONAL MEDICAL CENTER","1808 WEST MAIN STREET","Russellville","AR","72801","POPE","0.777936","0.547889","0.646708","0.510331","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","Not Available","0.000","10 out of 10","Not Available","10 out of 10","0.845","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10","0 out of 10","0.751","0.000","1.102","2.079","0 out of 10","0 out of 9","0 out of 10","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","0.873","1.903","0 out of 10","0 out of 9","0 out of 10","0.750","0.000","0.443","0.341","5 out of 10","2 out of 9","5 out of 10"
"040051","DREW MEMORIAL HOSPITAL","778 SCOGIN DRIVE","Monticello","AR","71655","DREW","0.777936","0.547889","0.744596","0.512800","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","1.604","0.663","2 out of 10","5 out of 9","5 out of 10"
"040055","SPARKS REGIONAL MEDICAL CENTER","1001 TOWSON AVENUE","Fort Smith","AR","72901","SEBASTIAN","0.777936","0.547889","1.053773","0.605084","7 out of 10","8 out of 9","8 out of 10","0.457","0.000","0.578","1.202","0 out of 10","0 out of 9","0 out of 10","0.845","0.000","0.599","0.152","8 out of 10","7 out of 9","8 out of 10","5 out of 10","0.751","0.000","1.481","0.678","1 out of 10","5 out of 9","5 out of 10","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","1.507","2.582","0 out of 10","0 out of 9","0 out of 10","0.750","0.000","0.643","0.482","4 out of 10","2 out of 9","4 out of 10"
"040062","MERCY HOSPITAL FORT SMITH","7301 ROGERS AVE","Fort Smith","AR","72903","SEBASTIAN","0.777936","0.547889","0.685475","0.455301","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","0.629","0.000","10 out of 10","9 out of 9","10 out of 10","0.845","0.000","2.027","0.000","10 out of 10","9 out of 9","10 out of 10","0 out of 10","0.751","0.000","0.878","0.898","0 out of 10","0 out of 9","0 out of 10","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","0.703","0.314","6 out of 10","5 out of 9","6 out of 10","0.750","0.000","0.313","0.776","0 out of 10","0 out of 9","0 out of 10"
"040067","MAGNOLIA HOSPITAL","101 HOSPITAL DRIVE","Magnolia ","AR","71754","COLUMBIA","0.777936","0.547889","0.784474","0.620404","7 out of 10","6 out of 9","7 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.456","0.356","5 out of 10","2 out of 9","5 out of 10"
"040069","GREAT RIVER MEDICAL CENTER","1520 N DIVISION STREET","Blytheville","AR","72315","MISSISSIPPI","0.777936","0.547889","0.735930","0.593912","8 out of 10","7 out of 9","8 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.000","1.576","0 out of 10","0 out of 9","0 out of 10"
"040071","JEFFERSON REGIONAL MEDICAL CENTER","1600 WEST 40TH AVENUE","Pine Bluff","AR","71603","JEFFERSON","0.777936","0.547889","0.891144","0.400550","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","0.188","0.319","3 out of 10","0 out of 9","3 out of 10","0.845","0.000","0.249","0.324","6 out of 10","0 out of 9","6 out of 10","10 out of 10","0.751","0.000","0.345","0.000","10 out of 10","9 out of 9","10 out of 10","0.698","0.000","0.925","0.000","10 out of 10","9 out of 9","10 out of 10","0.799","0.000","0.361","0.000","10 out of 10","9 out of 9","10 out of 10","0.750","0.000","0.841","0.755","0 out of 10","1 out of 9","1 out of 10"
"040072","BAPTIST HEALTH MEDICAL CENTER-STUTTGART","1703 NORTH BUERKLE ST","Stuttgart","AR","72160","ARKANSAS","0.777936","0.547889","0.829837","0.526837","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10"
"040074","NORTH METRO MEDICAL CENTER","1400 BRADEN STREET","Jacksonville","AR","72076","PULASKI","0.777936","0.547889","0.665716","0.632911","6 out of 10","2 out of 9","6 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","0.817","0.000","10 out of 10","9 out of 9","10 out of 10","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.000","0.955","0 out of 10","0 out of 9","0 out of 10"
"040076","BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY","1001 SCHNEIDER DRIVE","Malvern","AR","72104","HOT SPRING","0.777936","0.547889","0.700876","0.509777","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.965","0.000","10 out of 10","9 out of 9","10 out of 10"
"040078","NATIONAL PARK MEDICAL CENTER","1910 MALVERN AVENUE","Hot Springs","AR","71901","GARLAND","0.777936","0.547889","0.780745","0.683976","4 out of 10","4 out of 9","4 out of 10","0.457","0.000","1.662","1.401","0 out of 10","1 out of 9","1 out of 10","0.845","0.000","1.728","0.807","1 out of 10","5 out of 9","5 out of 10","0 out of 10","0.751","0.000","2.108","2.558","0 out of 10","0 out of 9","0 out of 10","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","0.673","1.447","0 out of 10","0 out of 9","0 out of 10","0.750","0.000","1.343","0.963","0 out of 10","2 out of 9","2 out of 10"
"040084","SALINE MEMORIAL HOSPITAL","#1 MEDICAL PARK DRIVE","Benton","AR","72015","SALINE","0.777936","0.547889","0.672703","0.313531","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","0.545","0.000","10 out of 10","9 out of 9","10 out of 10","0.845","0.000","1.045","0.000","10 out of 10","9 out of 9","10 out of 10","Not Available","0.751","0.000","0.926","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","1.296","0.928","0 out of 10","2 out of 9","2 out of 10","0.750","0.000","0.324","0.475","4 out of 10","0 out of 9","4 out of 10"
"040085","HELENA REGIONAL MEDICAL CENTER","1801 MARTIN LUTHER KING JR DRIVE","Helena","AR","72342","PHILLIPS","0.777936","0.547889","0.724882","0.530594","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10"
"040088","MEDICAL CENTER SOUTH ARKANSAS","700 WEST GROVE STREET","El Dorado","AR","71731","UNION","0.777936","0.547889","0.693456","0.532674","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","0.638","Not Available","Not Available","Not Available","Not Available","0.845","0.000","0.207","0.613","3 out of 10","0 out of 9","3 out of 10","10 out of 10","0.751","0.000","2.424","0.000","10 out of 10","9 out of 9","10 out of 10","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","0.000","10 out of 10","Not Available","10 out of 10","0.750","0.000","0.249","1.016","0 out of 10","0 out of 9","0 out of 10"
"040114","BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK","9601 INTERSTATE 630, EXIT 7","Little Rock","AR","72205","PULASKI","0.777936","0.547889","0.693776","0.514092","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","0.422","0.664","0 out of 10","0 out of 9","0 out of 10","0.845","0.000","1.527","1.240","0 out of 10","1 out of 9","1 out of 10","1 out of 10","0.751","0.000","0.886","1.176","0 out of 10","0 out of 9","0 out of 10","0.698","0.000","1.398","0.922","0 out of 10","3 out of 9","3 out of 10","0.799","0.000","1.256","1.325","0 out of 10","0 out of 9","0 out of 10","0.750","0.000","0.855","0.701","1 out of 10","1 out of 9","1 out of 10"
"040118","NEA BAPTIST MEMORIAL HOSPITAL","4800 EAST JOHNSON AVENUE","Jonesboro","AR","72401","CRAIGHEAD","0.777936","0.547889","0.772926","0.377862","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","1.323","0.000","10 out of 10","9 out of 9","10 out of 10","0.845","0.000","0.664","0.000","10 out of 10","9 out of 9","10 out of 10","5 out of 10","0.751","0.000","0.479","0.343","5 out of 10","2 out of 9","5 out of 10","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","1.553","1.980","0 out of 10","0 out of 9","0 out of 10","0.750","0.000","1.278","0.778","0 out of 10","3 out of 9","3 out of 10"
"040119","WHITE RIVER MEDICAL CENTER","1710 HARRISON STREET","Batesville","AR","72503","INDEPENDENCE","0.777936","0.547889","0.883918","0.652039","5 out of 10","6 out of 9","6 out of 10","0.457","0.000","1.012","0.000","10 out of 10","9 out of 9","10 out of 10","0.845","0.000","1.579","0.000","10 out of 10","9 out of 9","10 out of 10","0 out of 10","0.751","0.000","0.716","3.953","0 out of 10","0 out of 9","0 out of 10","0.698","0.000","2.899","Not Available","Not Available","Not Available","Not Available","0.799","0.000","0.603","2.182","0 out of 10","0 out of 9","0 out of 10","0.750","0.000","0.603","0.360","5 out of 10","4 out of 9","5 out of 10"
"040134","ARKANSAS HEART HOSPITAL, LLC","1701 S SHACKLEFORD ROAD","Little Rock","AR","72211","PULASKI","0.777936","0.547889","0.399923","0.515661","10 out of 10","0 out of 9","10 out of 10","0.457","0.000","0.386","0.439","1 out of 10","0 out of 9","1 out of 10","0.845","0.000","0.958","2.612","0 out of 10","0 out of 9","0 out of 10","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.283","0.592","2 out of 10","0 out of 9","2 out of 10"
"040137","ST VINCENT MEDICAL CENTER/NORTH","2215 WILDWOOD AVENUE","Sherwood","AR","72120","PULASKI","0.777936","0.547889","0.955793","0.581277","8 out of 10","9 out of 9","9 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10"
"040147","ARKANSAS SURGICAL HOSPITAL","5201 NORTH SHORE DRIVE","North Little Rock","AR","72118","PULASKI","0.777936","0.547889","0.518167","0.397603","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.000","0.000","10 out of 10","0 out of 9","10 out of 10"
"040152","NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL","3873 NORTH PARKVIEW DRIVE","Fayetteville","AR","72703","WASHINGTON","0.777936","0.547889","0.809741","0.650370","5 out of 10","6 out of 9","6 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","Not Available","0.000","10 out of 10","Not Available","10 out of 10"
"040153","WADLEY REGIONAL MEDICAL CENTER AT HOPE","2001 SOUTH MAIN","Hope","AR","71801","HEMPSTEAD","0.777936","0.547889","Not Available","0.548522","9 out of 10","Not Available","9 out of 10","0.457","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.845","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0.751","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.750","0.000","0.346","0.505","3 out of 10","0 out of 9","3 out of 10"
"050002","ST ROSE HOSPITAL","27200 CALAROGA AVE","Hayward","CA","94545","ALAMEDA","0.777936","0.547889","1.001386","0.606206","7 out of 10","8 out of 9","8 out of 10","0.457","0.000","0.363","0.950","0 out of 10","0 out of 9","0 out of 10","0.845","0.000","1.102","0.725","2 out of 10","3 out of 9","3 out of 10","0 out of 10","0.751","0.000","0.698","0.855","0 out of 10","0 out of 9","0 out of 10","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","0.000","0.728","1 out of 10","0 out of 9","1 out of 10","0.750","0.000","0.724","1.564","0 out of 10","0 out of 9","0 out of 10"
"050006","ST JOSEPH HOSPITAL","2700 DOLBEER ST","Eureka","CA","95501","HUMBOLDT","0.777936","0.547889","0.730149","0.465000","10 out of 10","9 out of 9","10 out of 10","0.457","0.000","0.503","0.000","10 out of 10","9 out of 9","10 out of 10","0.845","0.000","0.966","2.789","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0.751","0.000","1.334","2.718","0 out of 10","0 out of 9","0 out of 10","0.698","0.000","Not Available","Not Available","Not Available","Not Available","Not Available","0.799","0.000","0.564","3.256","0 out of 10","0 out of 9","0 out of 10","0.750","0.000","1.002","1.434","0 out of 10","0 out of 9","0 out of 10"
"050007","MILLS-PENINSULA MEDICAL CENTER","1501 TROUSDALE DRIVE","Burlingame","CA","94010","SAN MATEO","0.777936","0.547889","0.950128","0.567441","9 out of 10","9 out of 9","9 out of 10","0.457","0.000","0.274","0.260","4 out of 10","0 out of 9","4 out of 10","0.845","0.000","1.168","1.222","0 out of 10","0 out of 9","0 out of 10","10 out of 10","0.751","0.000","0.581","0.000","10 out of 10","9 out of 9","10 out of 10","0.698","0.000","0.822","Not Available","Not Available","Not Available","Not Available","0.799","0.000","0.000","2.444","0 out of 10","0 out of 9","0 out of 10","0.750","0.000","0.731","1.206","0 out of 10","0 out of 9","0 out of 10"
