Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,MORT-30-AMI Achievement Threshold,MORT-30-AMI Benchmark,MORT-30-AMI Baseline Rate,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Achievement Threshold,MORT-30-HF Benchmark,MORT-30-HF Baseline Rate,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Achievement Threshold,MORT-30-PN Benchmark,MORT-30-PN Baseline Rate,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score
"050308","EL CAMINO HOSPITAL","2500 GRANT ROAD","Mountain View","CA","94040","SANTA CLARA","0.851458","0.871669","0.853873","0.869427","9 out of 10","8 out of 9","9 out of 10","0.881794","0.903985","0.892708","0.886994","3 out of 10","0 out of 9","3 out of 10","0.882986","0.908124","0.905460","0.895964","5 out of 10","0 out of 9","5 out of 10"
"050309","SUTTER ROSEVILLE MEDICAL CENTER","ONE MEDICAL PLAZA","Roseville","CA","95661","PLACER","0.851458","0.871669","0.861589","0.868828","8 out of 10","7 out of 9","8 out of 10","0.881794","0.903985","0.886416","0.860082","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.878717","0.904002","8 out of 10","8 out of 9","8 out of 10"
"050313","SUTTER TRACY COMMUNITY HOSPITAL","1420 N TRACY BLVD","Tracy","CA","95376","SAN JOAQUIN","0.851458","0.871669","0.853946","0.865473","7 out of 10","Not Available","7 out of 10","0.881794","0.903985","0.893510","0.885598","2 out of 10","0 out of 9","2 out of 10","0.882986","0.908124","0.864495","0.896362","5 out of 10","7 out of 9","7 out of 10"
"050315","KERN MEDICAL CENTER","1700 MOUNT VERNON AVENUE","Bakersfield","CA","93306","KERN","0.851458","0.871669","0.847484","0.859680","Not Available","Not Available","Not Available","0.881794","0.903985","0.886891","0.873804","Not Available","Not Available","Not Available","0.882986","0.908124","0.882195","0.889365","Not Available","Not Available","Not Available"
"050320","HIGHLAND HOSPITAL","1411 E 31ST STREET","Oakland","CA","94602","ALAMEDA","0.851458","0.871669","0.847913","0.865295","7 out of 10","Not Available","7 out of 10","0.881794","0.903985","0.883574","0.888158","3 out of 10","2 out of 9","3 out of 10","0.882986","0.908124","0.873135","0.877421","0 out of 10","Not Available","0 out of 10"
"050324","SCRIPPS MEMORIAL HOSPITAL LA JOLLA","9888 GENESEE AVENUE","La Jolla","CA","92037","SAN DIEGO","0.851458","0.871669","0.865568","0.865662","7 out of 10","0 out of 9","7 out of 10","0.881794","0.903985","0.878206","0.858310","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.885815","0.903470","8 out of 10","7 out of 9","8 out of 10"
"050327","LOMA LINDA UNIVERSITY MEDICAL CENTER","11234 ANDERSON ST","Loma Linda","CA","92354","SAN BERNARDINO","0.851458","0.871669","0.860412","0.866108","7 out of 10","5 out of 9","7 out of 10","0.881794","0.903985","0.879317","0.889626","4 out of 10","4 out of 9","4 out of 10","0.882986","0.908124","0.886032","0.897465","6 out of 10","5 out of 9","6 out of 10"
"050329","CORONA REGIONAL MEDICAL CENTER","800 SOUTH MAIN STREET","Corona","CA","92882","RIVERSIDE","0.851458","0.871669","0.856556","0.851222","0 out of 10","0 out of 9","0 out of 10","0.881794","0.903985","0.887278","0.895718","6 out of 10","5 out of 9","6 out of 10","0.882986","0.908124","0.887555","0.895709","5 out of 10","3 out of 9","5 out of 10"
"050334","SALINAS VALLEY MEMORIAL HOSPITAL","450 EAST ROMIE LANE","Salinas","CA","93901","MONTEREY","0.851458","0.871669","0.849824","0.863047","6 out of 10","6 out of 9","6 out of 10","0.881794","0.903985","0.884639","0.880830","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.853003","0.864265","0 out of 10","2 out of 9","2 out of 10"
"050335","SONORA REGIONAL MEDICAL CENTER","1000 GREENLEY ROAD","Sonora","CA","95370","TUOLUMNE","0.851458","0.871669","0.837879","0.872647","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.872000","0.864608","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.890576","0.893327","4 out of 10","1 out of 9","4 out of 10"
"050336","LODI MEMORIAL HOSPITAL","975 S FAIRMONT AVENUE","Lodi","CA","95240","SAN JOAQUIN","0.851458","0.871669","0.824852","0.882666","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.871377","0.881826","1 out of 10","3 out of 9","3 out of 10","0.882986","0.908124","0.871639","0.886343","2 out of 10","4 out of 9","4 out of 10"
"050342","PIONEERS MEMORIAL HEALTHCARE DISTRICT","207 WEST LEGION ROAD","Brawley","CA","92227","IMPERIAL","0.851458","0.871669","0.856657","0.849772","0 out of 10","0 out of 9","0 out of 10","0.881794","0.903985","0.889520","0.866086","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.889410","0.883510","1 out of 10","0 out of 9","1 out of 10"
"050348","UNIVERSITY OF CALIFORNIA IRVINE MED CENTER","101 CITY DRIVE SOUTH","Orange","CA","92868","ORANGE","0.851458","0.871669","0.857573","0.854100","2 out of 10","0 out of 9","2 out of 10","0.881794","0.903985","0.884908","0.870006","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.881342","0.887110","2 out of 10","2 out of 9","2 out of 10"
"050350","BEVERLY HOSPITAL","309 W BEVERLY BLVD","Montebello","CA","90640","LOS ANGELES","0.851458","0.871669","0.857185","0.849823","0 out of 10","0 out of 9","0 out of 10","0.881794","0.903985","0.915167","0.886107","2 out of 10","0 out of 9","2 out of 10","0.882986","0.908124","0.895516","0.915701","10 out of 10","9 out of 9","10 out of 10"
"050351","TORRANCE MEMORIAL MEDICAL CENTER","3330 LOMITA BLVD","Torrance","CA","90509","LOS ANGELES","0.851458","0.871669","0.856165","0.885378","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.899190","0.893756","5 out of 10","0 out of 9","5 out of 10","0.882986","0.908124","0.864667","0.899741","6 out of 10","8 out of 9","8 out of 10"
"050352","BARTON MEMORIAL HOSPITAL","2170 SOUTH AVENUE","South Lake Tahoe","CA","96150","ELDORADO","0.851458","0.871669","0.843696","0.863914","Not Available","Not Available","Not Available","0.881794","0.903985","0.896576","0.885922","2 out of 10","0 out of 9","2 out of 10","0.882986","0.908124","0.872823","0.904705","8 out of 10","9 out of 9","9 out of 10"
"050353","PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE","4101 TORRANCE BLVD","Torrance","CA","90503","LOS ANGELES","0.851458","0.871669","0.837268","0.870761","9 out of 10","9 out of 9","9 out of 10","0.881794","0.903985","0.904281","0.899739","8 out of 10","0 out of 9","8 out of 10","0.882986","0.908124","0.911949","0.904164","8 out of 10","0 out of 9","8 out of 10"
"050357","GOLETA VALLEY COTTAGE HOSPITAL","351 S PATTERSON AVE","Santa Barbara","CA","93111","SANTA BARBARA","0.851458","0.871669","0.848939","Not Available","Not Available","Not Available","Not Available","0.881794","0.903985","0.886800","0.881236","Not Available","Not Available","Not Available","0.882986","0.908124","0.874895","0.897721","Not Available","Not Available","Not Available"
"050359","TULARE REGIONAL MEDICAL CENTER","869 CHERRY AVENUE","Tulare","CA","93274","TULARE","0.851458","0.871669","0.842395","0.861118","5 out of 10","6 out of 9","6 out of 10","0.881794","0.903985","0.851295","0.870132","0 out of 10","3 out of 9","3 out of 10","0.882986","0.908124","0.868282","0.843711","0 out of 10","0 out of 9","0 out of 10"
"050360","MARIN GENERAL HOSPITAL","250 BON AIR ROAD, PO BOX 8010","Greenbrae","CA","94904","MARIN","0.851458","0.871669","0.856491","0.872281","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.864386","0.894363","6 out of 10","7 out of 9","7 out of 10","0.882986","0.908124","0.888147","0.889777","3 out of 10","0 out of 9","3 out of 10"
"050367","NORTHBAY MEDICAL CENTER","1200 B  GALE WILSON BLVD","Fairfield","CA","94533","SOLANO","0.851458","0.871669","0.840395","0.864984","7 out of 10","7 out of 9","7 out of 10","0.881794","0.903985","0.872738","0.877259","0 out of 10","1 out of 9","1 out of 10","0.882986","0.908124","0.863629","0.864634","0 out of 10","0 out of 9","0 out of 10"
"050373","LAC+USC MEDICAL CENTER","1200 N STATE ST, ROOM C2K100","Los Angeles","CA","90033","LOS ANGELES","0.851458","0.871669","0.834913","0.864580","Not Available","Not Available","Not Available","0.881794","0.903985","0.874821","0.879576","0 out of 10","1 out of 9","1 out of 10","0.882986","0.908124","0.890801","0.886193","Not Available","Not Available","Not Available"
"050376","LAC/HARBOR-UCLA MED CENTER","1000 W CARSON ST","Torrance","CA","90509","LOS ANGELES","0.851458","0.871669","0.857510","0.864521","Not Available","Not Available","Not Available","0.881794","0.903985","0.882644","0.884459","Not Available","Not Available","Not Available","0.882986","0.908124","0.884068","0.887325","Not Available","Not Available","Not Available"
"050380","GOOD SAMARITAN HOSPITAL","2425 SAMARITAN DRIVE","San Jose","CA","95124","SANTA CLARA","0.851458","0.871669","0.865949","0.868066","8 out of 10","3 out of 9","8 out of 10","0.881794","0.903985","0.880256","0.882063","1 out of 10","0 out of 9","1 out of 10","0.882986","0.908124","0.852758","0.872767","0 out of 10","3 out of 9","3 out of 10"
"050382","CITRUS VALLEY MEDICAL CENTER-IC CAMPUS","210 W  SAN BERNARDINO ROAD","Covina","CA","91723","LOS ANGELES","0.851458","0.871669","0.861558","0.874317","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.895021","0.899007","7 out of 10","4 out of 9","7 out of 10","0.882986","0.908124","0.904603","0.894734","5 out of 10","0 out of 9","5 out of 10"
"050390","HEMET VALLEY MEDICAL CENTER","1117 EAST DEVONSHIRE","Hemet","CA","92543","RIVERSIDE","0.851458","0.871669","0.845002","0.850203","0 out of 10","1 out of 9","1 out of 10","0.881794","0.903985","0.881466","0.883095","1 out of 10","0 out of 9","1 out of 10","0.882986","0.908124","0.862092","0.888545","2 out of 10","5 out of 9","5 out of 10"
"050393","PIH HOSPITAL - DOWNEY","11500 BROOKSHIRE AVENUE","Downey","CA","90241","LOS ANGELES","0.851458","0.871669","0.857500","0.871334","9 out of 10","9 out of 9","9 out of 10","0.881794","0.903985","0.896716","0.902840","9 out of 10","8 out of 9","9 out of 10","0.882986","0.908124","0.890567","0.900242","7 out of 10","5 out of 9","7 out of 10"
"050394","COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA","147 N BRENT ST","Ventura","CA","93003","VENTURA","0.851458","0.871669","0.858073","0.862063","5 out of 10","2 out of 9","5 out of 10","0.881794","0.903985","0.885695","0.879168","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.876957","0.868986","0 out of 10","0 out of 9","0 out of 10"
"050396","SANTA BARBARA COTTAGE HOSPITAL","400 WEST PUEBLO","Santa Barbara","CA","93105","SANTA BARBARA","0.851458","0.871669","0.846753","0.868120","8 out of 10","8 out of 9","8 out of 10","0.881794","0.903985","0.882987","0.898820","7 out of 10","7 out of 9","7 out of 10","0.882986","0.908124","0.892733","0.901484","7 out of 10","5 out of 9","7 out of 10"
"050407","CHINESE HOSPITAL","845 JACKSON ST","San Francisco","CA","94133","SAN FRANCISCO","0.851458","0.871669","0.854334","0.862486","Not Available","Not Available","Not Available","0.881794","0.903985","0.902671","0.893092","5 out of 10","0 out of 9","5 out of 10","0.882986","0.908124","0.898772","0.898899","6 out of 10","0 out of 9","6 out of 10"
"050411","KAISER FOUNDATION HOSPITAL - SOUTH BAY","25825 SOUTH VERMONT AVENUE","Harbor City","CA","90710","LOS ANGELES","0.851458","0.871669","0.848784","0.852422","Not Available","Not Available","Not Available","0.881794","0.903985","0.882666","0.881922","Not Available","Not Available","Not Available","0.882986","0.908124","0.886793","0.888929","Not Available","Not Available","Not Available"
"050414","MERCY HOSPITAL OF FOLSOM","1650 CREEKSIDE DRIVE","Folsom","CA","95630","SACRAMENTO","0.851458","0.871669","0.844853","0.854351","Not Available","Not Available","Not Available","0.881794","0.903985","0.891526","0.873741","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.881909","0.896198","5 out of 10","5 out of 9","5 out of 10"
"050417","SUTTER COAST HOSPITAL","800 E WASHINGTON BLVD","Crescent City","CA","95531","DEL NORTE","0.851458","0.871669","0.840530","0.873004","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.877921","0.874435","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.882189","0.898976","6 out of 10","6 out of 9","6 out of 10"
"050423","PALO VERDE HOSPITAL","250 NORTH FIRST STREET","Blythe","CA","92225","RIVERSIDE","0.851458","0.871669","0.848587","0.866838","Not Available","Not Available","Not Available","0.881794","0.903985","0.890389","0.884208","Not Available","Not Available","Not Available","0.882986","0.908124","0.843107","0.889457","3 out of 10","7 out of 9","7 out of 10"
"050424","SCRIPPS GREEN HOSPITAL","10666 NORTH TORREY PINES ROAD","La Jolla","CA","92037","SAN DIEGO","0.851458","0.871669","0.863984","0.874206","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.905734","0.905492","10 out of 10","0 out of 9","10 out of 10","0.882986","0.908124","0.882266","0.897585","6 out of 10","5 out of 9","6 out of 10"
"050425","KAISER FOUNDATION HOSPITAL - SACRAMENTO","2025 MORSE AVENUE","Sacramento","CA","95825","SACRAMENTO","0.851458","0.871669","0.841858","0.863293","Not Available","Not Available","Not Available","0.881794","0.903985","0.867511","0.886233","Not Available","Not Available","Not Available","0.882986","0.908124","0.877351","0.891492","Not Available","Not Available","Not Available"
"050426","WEST ANAHEIM MEDICAL CENTER","3033 W ORANGE AVENUE","Anaheim","CA","92804","ORANGE","0.851458","0.871669","0.864216","0.854592","2 out of 10","0 out of 9","2 out of 10","0.881794","0.903985","0.889780","0.894584","6 out of 10","3 out of 9","6 out of 10","0.882986","0.908124","0.902767","0.897008","6 out of 10","0 out of 9","6 out of 10"
"050438","HUNTINGTON MEMORIAL HOSPITAL","100 W  CALIFORNIA BLVD","Pasadena","CA","91109","LOS ANGELES","0.851458","0.871669","0.867993","0.876374","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.898311","0.899482","8 out of 10","2 out of 9","8 out of 10","0.882986","0.908124","0.920209","0.914801","10 out of 10","0 out of 9","10 out of 10"
"050441","STANFORD HEALTH CARE","300 PASTEUR DRIVE","Stanford","CA","94305","SANTA CLARA","0.851458","0.871669","0.866546","0.874037","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.889221","0.870373","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.884929","0.896369","5 out of 10","4 out of 9","5 out of 10"
"050444","MERCY MEDICAL CENTER","333 MERCY AVENUE","Merced","CA","95340","MERCED","0.851458","0.871669","0.837928","0.846105","0 out of 10","2 out of 9","2 out of 10","0.881794","0.903985","0.856148","0.864532","0 out of 10","1 out of 9","1 out of 10","0.882986","0.908124","0.833218","0.888126","2 out of 10","7 out of 9","7 out of 10"
"050454","UCSF MEDICAL CENTER","505 PARNASSUS AVE, BOX 0296","San Francisco","CA","94143","SAN FRANCISCO","0.851458","0.871669","0.855063","0.868324","8 out of 10","7 out of 9","8 out of 10","0.881794","0.903985","0.888297","0.902904","9 out of 10","9 out of 9","9 out of 10","0.882986","0.908124","0.878528","0.906130","9 out of 10","9 out of 9","9 out of 10"
"050455","SAN JOAQUIN COMMUNITY HOSPITAL","2615 CHESTER AVENUE","Bakersfield","CA","93301","KERN","0.851458","0.871669","0.848253","0.851695","1 out of 10","1 out of 9","1 out of 10","0.881794","0.903985","0.881089","0.892865","5 out of 10","5 out of 9","5 out of 10","0.882986","0.908124","0.887935","0.890760","3 out of 10","1 out of 9","3 out of 10"
"050457","ST MARY'S MEDICAL CENTER","450 STANYAN ST","San Francisco","CA","94117","SAN FRANCISCO","0.851458","0.871669","0.856830","0.870897","9 out of 10","9 out of 9","9 out of 10","0.881794","0.903985","0.889142","0.878688","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.871454","0.875689","0 out of 10","1 out of 9","1 out of 10"
"050464","DOCTORS MEDICAL CENTER","1441 FLORIDA AVENUE","Modesto","CA","95350","STANISLAUS","0.851458","0.871669","0.855295","0.862994","6 out of 10","4 out of 9","6 out of 10","0.881794","0.903985","0.873043","0.865302","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.833770","0.862432","0 out of 10","3 out of 9","3 out of 10"
"050468","MEMORIAL HOSPITAL OF GARDENA","1145 W REDONDO BEACH BLVD","Gardena","CA","90247","LOS ANGELES","0.851458","0.871669","0.853203","0.870730","Not Available","Not Available","Not Available","0.881794","0.903985","0.901303","0.895221","6 out of 10","0 out of 9","6 out of 10","0.882986","0.908124","0.898628","0.894274","5 out of 10","0 out of 9","5 out of 10"
"050471","GOOD SAMARITAN HOSPITAL","1225 WILSHIRE BOULEVARD","Los Angeles","CA","90017","LOS ANGELES","0.851458","0.871669","0.852445","0.873991","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.900148","0.899015","7 out of 10","0 out of 9","7 out of 10","0.882986","0.908124","0.896451","0.894573","5 out of 10","0 out of 9","5 out of 10"
"050481","WEST HILLS HOSPITAL & MEDICAL CENTER","7300 MEDICAL CENTER DR","West Hills","CA","91307","LOS ANGELES","0.851458","0.871669","0.851252","0.878237","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.907565","0.896530","6 out of 10","0 out of 9","6 out of 10","0.882986","0.908124","0.889015","0.897796","6 out of 10","4 out of 9","6 out of 10"
"050485","LONG BEACH MEMORIAL MEDICAL CENTER","2801 ATLANTIC AVE","Long Beach","CA","90806","LOS ANGELES","0.851458","0.871669","0.839459","0.861644","5 out of 10","6 out of 9","6 out of 10","0.881794","0.903985","0.905665","0.897417","7 out of 10","0 out of 9","7 out of 10","0.882986","0.908124","0.888566","0.895589","5 out of 10","3 out of 9","5 out of 10"
"050488","EDEN MEDICAL CENTER","20103 LAKE CHABOT ROAD","Castro Valley","CA","94546","ALAMEDA","0.851458","0.871669","0.861718","0.869367","8 out of 10","7 out of 9","8 out of 10","0.881794","0.903985","0.877416","0.882950","1 out of 10","2 out of 9","2 out of 10","0.882986","0.908124","0.893363","0.869313","0 out of 10","0 out of 9","0 out of 10"
"050492","CLOVIS COMMUNITY MEDICAL CENTER","2755 HERNDON AVE","Clovis","CA","93611","FRESNO","0.851458","0.871669","0.850101","0.859129","4 out of 10","4 out of 9","4 out of 10","0.881794","0.903985","0.848929","0.844418","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.838794","0.883439","1 out of 10","6 out of 9","6 out of 10"
"050496","JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS","2540 EAST ST","Concord","CA","94520","CONTRA COSTA","0.851458","0.871669","0.857042","0.855502","2 out of 10","0 out of 9","2 out of 10","0.881794","0.903985","0.877468","0.885887","2 out of 10","3 out of 9","3 out of 10","0.882986","0.908124","0.883112","0.910446","10 out of 10","9 out of 9","10 out of 10"
"050498","SUTTER AUBURN FAITH HOSPITAL","11815 EDUCATION STREET","Auburn","CA","95602","PLACER","0.851458","0.871669","0.847844","0.846374","0 out of 10","0 out of 9","0 out of 10","0.881794","0.903985","0.877492","0.873542","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.887171","0.893755","4 out of 10","3 out of 9","4 out of 10"
"050502","SAINT VINCENT MEDICAL CENTER","2131 W 3RD ST","Los Angeles","CA","90057","LOS ANGELES","0.851458","0.871669","0.850967","0.861130","5 out of 10","4 out of 9","5 out of 10","0.881794","0.903985","0.922992","0.891693","5 out of 10","0 out of 9","5 out of 10","0.882986","0.908124","0.918616","0.915952","10 out of 10","0 out of 9","10 out of 10"
"050503","SCRIPPS MEMORIAL HOSPITAL - ENCINITAS","354 SANTA FE DRIVE","Encinitas","CA","92024","SAN DIEGO","0.851458","0.871669","0.855916","0.885881","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.889339","0.893525","5 out of 10","2 out of 9","5 out of 10","0.882986","0.908124","0.865901","0.910751","10 out of 10","9 out of 9","10 out of 10"
"050506","SIERRA VISTA REGIONAL MEDICAL CENTER","1010 MURRAY ST","San Luis Obispo","CA","93405","SAN LUIS OBISPO","0.851458","0.871669","0.838571","0.852803","Not Available","Not Available","Not Available","0.881794","0.903985","0.876933","0.878154","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.873032","0.891181","3 out of 10","5 out of 9","5 out of 10"
"050510","KAISER FOUNDATION HOSPITAL","99 MONTECILLO RD","San Rafael","CA","94903","MARIN","0.851458","0.871669","0.848666","0.863951","Not Available","Not Available","Not Available","0.881794","0.903985","0.870245","0.877178","Not Available","Not Available","Not Available","0.882986","0.908124","0.879042","0.891504","Not Available","Not Available","Not Available"
"050512","KAISER FOUNDATION HOSPITAL - FREMONT","39400 PASEO PADRE PKWY","Hayward","CA","94545","ALAMEDA","0.851458","0.871669","0.852247","0.862876","Not Available","Not Available","Not Available","0.881794","0.903985","0.872468","0.875907","Not Available","Not Available","Not Available","0.882986","0.908124","0.881106","0.888908","Not Available","Not Available","Not Available"
"050515","KAISER FOUNDATION HOSPITAL - SAN DIEGO","4647 ZION AVE","San Diego","CA","92120","SAN DIEGO","0.851458","0.871669","0.851440","0.864713","Not Available","Not Available","Not Available","0.881794","0.903985","0.879206","0.882580","Not Available","Not Available","Not Available","0.882986","0.908124","0.889145","0.884024","Not Available","Not Available","Not Available"
"050516","MERCY SAN JUAN MEDICAL CENTER","6501 COYLE AVE","Carmichael","CA","95608","SACRAMENTO","0.851458","0.871669","0.835584","0.866920","7 out of 10","8 out of 9","8 out of 10","0.881794","0.903985","0.879812","0.865625","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.888797","0.908761","10 out of 10","9 out of 9","10 out of 10"
"050517","VICTOR VALLEY GLOBAL MEDICAL CENTER","15248 11TH ST","Victorville","CA","92395","SAN BERNARDINO","0.851458","0.871669","0.855558","0.860234","Not Available","Not Available","Not Available","0.881794","0.903985","0.866545","0.889103","3 out of 10","6 out of 9","6 out of 10","0.882986","0.908124","0.880812","0.884294","1 out of 10","1 out of 9","1 out of 10"
"050523","SUTTER DELTA MEDICAL CENTER","3901 LONE TREE WAY","Antioch","CA","94509","CONTRA COSTA","0.851458","0.871669","0.852024","0.856220","3 out of 10","2 out of 9","3 out of 10","0.881794","0.903985","0.885010","0.881824","1 out of 10","0 out of 9","1 out of 10","0.882986","0.908124","0.879927","0.889529","3 out of 10","3 out of 9","3 out of 10"
"050526","HUNTINGTON BEACH HOSPITAL","17772 BEACH BLVD","Huntington Beach","CA","92647","ORANGE","0.851458","0.871669","0.857173","0.876954","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.890719","0.892886","5 out of 10","1 out of 9","5 out of 10","0.882986","0.908124","0.915794","0.897506","6 out of 10","0 out of 9","6 out of 10"
"050528","MEMORIAL HOSPITAL LOS BANOS","520 WEST I ST","Los Banos","CA","93635","MERCED","0.851458","0.871669","0.843943","0.859634","Not Available","Not Available","Not Available","0.881794","0.903985","0.885429","0.870876","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.860292","0.894988","5 out of 10","7 out of 9","7 out of 10"
"050534","JOHN F KENNEDY MEMORIAL HOSPITAL","47111 MONROE STREET","Indio","CA","92201","RIVERSIDE","0.851458","0.871669","0.850787","0.853211","1 out of 10","1 out of 9","1 out of 10","0.881794","0.903985","0.887610","0.878683","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.882514","0.886704","2 out of 10","1 out of 9","2 out of 10"
"050537","SUTTER DAVIS HOSPITAL","2000 SUTTER PLACE","Davis","CA","95616","YOLO","0.851458","0.871669","0.852338","0.865044","Not Available","Not Available","Not Available","0.881794","0.903985","0.865334","0.887083","3 out of 10","5 out of 9","5 out of 10","0.882986","0.908124","0.883053","0.872489","0 out of 10","0 out of 9","0 out of 10"
"050541","KAISER FOUNDATION HOSPITAL - REDWOOD CITY","1100 VETERANS BOULEVARD","Redwood City","CA","94063","SAN MATEO","0.851458","0.871669","0.851028","0.863053","Not Available","Not Available","Not Available","0.881794","0.903985","0.882625","0.882131","Not Available","Not Available","Not Available","0.882986","0.908124","Not Available","0.889327","Not Available","Not Available","Not Available"
"050543","COLLEGE HOSPITAL COSTA MESA","301 VICTORIA STREET","Costa Mesa","CA","92627","ORANGE","0.851458","0.871669","Not Available","Not Available","Not Available","Not Available","Not Available","0.881794","0.903985","Not Available","Not Available","Not Available","Not Available","Not Available","0.882986","0.908124","Not Available","Not Available","Not Available","Not Available","Not Available"
"050549","LOS ROBLES HOSPITAL & MEDICAL CENTER","215 W JANSS RD","Thousand Oaks","CA","91360","VENTURA","0.851458","0.871669","0.860715","0.862858","6 out of 10","1 out of 9","6 out of 10","0.881794","0.903985","0.888283","0.896425","6 out of 10","5 out of 9","6 out of 10","0.882986","0.908124","0.901654","0.882752","0 out of 10","0 out of 9","0 out of 10"
"050551","LOS ALAMITOS MEDICAL CENTER","3751 KATELLA AVENUE","Los Alamitos","CA","90720","ORANGE","0.851458","0.871669","0.853058","0.868112","8 out of 10","8 out of 9","8 out of 10","0.881794","0.903985","0.865100","0.873669","0 out of 10","2 out of 9","2 out of 10","0.882986","0.908124","0.885876","0.872708","0 out of 10","0 out of 9","0 out of 10"
"050557","MEMORIAL MEDICAL CENTER","1700 COFFEE RD","Modesto","CA","95355","STANISLAUS","0.851458","0.871669","0.835450","0.876272","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.874941","0.882123","1 out of 10","2 out of 9","2 out of 10","0.882986","0.908124","0.869836","0.872032","0 out of 10","0 out of 9","0 out of 10"
"050561","KAISER FOUNDATION HOSPITAL - WEST LA","6041 CADILLAC AVE","Los Angeles","CA","90034","LOS ANGELES","0.851458","0.871669","0.847981","0.859493","Not Available","Not Available","Not Available","0.881794","0.903985","0.877919","0.884374","Not Available","Not Available","Not Available","0.882986","0.908124","0.880517","0.889533","Not Available","Not Available","Not Available"
"050567","MISSION HOSPITAL REGIONAL MED CENTER","27700 MEDICAL CENTER RD","Mission Viejo","CA","92691","ORANGE","0.851458","0.871669","0.857224","0.878468","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.909598","0.887798","3 out of 10","0 out of 9","3 out of 10","0.882986","0.908124","0.891798","0.903998","8 out of 10","7 out of 9","8 out of 10"
"050568","MADERA COMMUNITY HOSPITAL","1250 E ALMOND AVE","Madera","CA","93637","MADERA","0.851458","0.871669","0.844423","0.870225","9 out of 10","9 out of 9","9 out of 10","0.881794","0.903985","0.862467","0.876632","0 out of 10","3 out of 9","3 out of 10","0.882986","0.908124","0.863556","0.876213","0 out of 10","2 out of 9","2 out of 10"
"050570","FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER","17100 EUCLID STREET","Fountain Valley","CA","92708","ORANGE","0.851458","0.871669","0.856373","0.851134","0 out of 10","0 out of 9","0 out of 10","0.881794","0.903985","0.894679","0.879191","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.907078","0.898406","6 out of 10","0 out of 9","6 out of 10"
"050573","EISENHOWER MEDICAL CENTER","39-000 BOB HOPE DRIVE","Rancho Mirage","CA","92270","RIVERSIDE","0.851458","0.871669","0.866730","0.878658","10 out of 10","9 out of 9","10 out of 10","0.881794","0.903985","0.887363","0.876631","0 out of 10","0 out of 9","0 out of 10","0.882986","0.908124","0.902611","0.881376","0 out of 10","0 out of 9","0 out of 10"
