"State","Measure Name","Measure ID","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Measure Start Date","Measure End Date"
"CT","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","27","0","1","","07/01/2013","06/30/2015"
"DC","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","7","0","0","","07/01/2013","06/30/2015"
"DE","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","6","0","0","","07/01/2013","06/30/2015"
"FL","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","156","0","9","","07/01/2013","06/30/2015"
"GA","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","77","0","19","","07/01/2013","06/30/2015"
"GU","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"HI","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","10","0","2","","07/01/2013","06/30/2015"
"IA","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","31","0","3","","07/01/2013","06/30/2015"
"ID","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","12","0","0","","07/01/2013","06/30/2015"
"IL","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","116","0","6","","07/01/2013","06/30/2015"
"IN","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","68","0","14","","07/01/2013","06/30/2015"
"KS","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","32","0","11","","07/01/2013","06/30/2015"
"KY","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","48","0","14","","07/01/2013","06/30/2015"
"LA","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","59","0","18","","07/01/2013","06/30/2015"
"MA","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","52","0","5","","07/01/2013","06/30/2015"
"MD","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","Not Available","Not Available","Not Available","Not Available","4 - Data suppressed by CMS for one or more quarters.","07/01/2013","06/30/2015"
"ME","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","16","0","4","","07/01/2013","06/30/2015"
"MI","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","83","0","7","","07/01/2013","06/30/2015"
"MN","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","36","0","13","","07/01/2013","06/30/2015"
"MO","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","58","0","12","","07/01/2013","06/30/2015"
"MP","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"MS","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","35","0","9","","07/01/2013","06/30/2015"
"MT","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","9","0","3","","07/01/2013","06/30/2015"
"NC","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","77","0","4","","07/01/2013","06/30/2015"
"ND","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","6","0","0","","07/01/2013","06/30/2015"
"NE","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","19","0","1","","07/01/2013","06/30/2015"
"NH","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","13","0","0","","07/01/2013","06/30/2015"
"NJ","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","62","0","2","","07/01/2013","06/30/2015"
"NM","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","21","0","4","","07/01/2013","06/30/2015"
"NV","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","21","0","0","","07/01/2013","06/30/2015"
"NY","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","128","0","15","","07/01/2013","06/30/2015"
"OH","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","110","0","12","","07/01/2013","06/30/2015"
"OK","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","46","0","22","","07/01/2013","06/30/2015"
"OR","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","32","0","1","","07/01/2013","06/30/2015"
"PA","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","123","0","17","","07/01/2013","06/30/2015"
"PR","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"RI","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","11","0","0","","07/01/2013","06/30/2015"
"SC","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","45","0","5","","07/01/2013","06/30/2015"
"SD","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","10","0","6","","07/01/2013","06/30/2015"
"TN","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","62","0","22","","07/01/2013","06/30/2015"
"TX","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","1","198","0","56","","07/01/2013","06/30/2015"
"UT","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","21","0","8","","07/01/2013","06/30/2015"
"VA","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","65","0","5","","07/01/2013","06/30/2015"
"VI","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"VT","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","6","0","0","","07/01/2013","06/30/2015"
"WA","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","46","0","1","","07/01/2013","06/30/2015"
"WI","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","58","0","4","","07/01/2013","06/30/2015"
"WV","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","25","0","2","","07/01/2013","06/30/2015"
"WY","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","8","0","3","","07/01/2013","06/30/2015"
"AK","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","2","7","0","0","","07/01/2013","06/30/2015"
"AL","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","4","80","2","0","","07/01/2013","06/30/2015"
"AR","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","3","42","0","0","","07/01/2013","06/30/2015"
"AS","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"AZ","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","5","56","0","1","","07/01/2013","06/30/2015"
"CA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","10","284","6","2","","07/01/2013","06/30/2015"
"CO","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","5","41","0","1","","07/01/2013","06/30/2015"
"CT","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","29","0","1","","07/01/2013","06/30/2015"
"DC","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","6","0","0","","07/01/2013","06/30/2015"
"DE","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","0","5","1","0","","07/01/2013","06/30/2015"
"FL","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","6","156","9","2","","07/01/2013","06/30/2015"
"GA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","8","94","3","0","","07/01/2013","06/30/2015"
"GU","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"HI","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","0","12","0","0","","07/01/2013","06/30/2015"
"IA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","2","31","1","1","","07/01/2013","06/30/2015"
"ID","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","0","12","1","1","","07/01/2013","06/30/2015"
"IL","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","5","114","8","0","","07/01/2013","06/30/2015"
"IN","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","6","85","0","0","","07/01/2013","06/30/2015"
"KS","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","0","52","1","0","","07/01/2013","06/30/2015"
"KY","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","4","59","2","0","","07/01/2013","06/30/2015"
"LA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","4","90","2","3","","07/01/2013","06/30/2015"
"MA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","55","5","0","","07/01/2013","06/30/2015"
"MD","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","Not Available","Not Available","Not Available","Not Available","4 - Data suppressed by CMS for one or more quarters.","07/01/2013","06/30/2015"
"ME","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","2","18","0","0","","07/01/2013","06/30/2015"
"MI","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","12","76","7","1","","07/01/2013","06/30/2015"
"MN","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","49","1","0","","07/01/2013","06/30/2015"
"MO","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","3","74","0","0","","07/01/2013","06/30/2015"
"MP","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"MS","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","3","56","3","3","","07/01/2013","06/30/2015"
"MT","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","4","9","0","0","","07/01/2013","06/30/2015"
"NC","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","4","78","4","1","","07/01/2013","06/30/2015"
"ND","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","2","5","0","1","","07/01/2013","06/30/2015"
"NE","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","2","24","0","1","","07/01/2013","06/30/2015"
"NH","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","12","0","0","","07/01/2013","06/30/2015"
"NJ","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","3","54","7","0","","07/01/2013","06/30/2015"
"NM","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","3","28","0","1","","07/01/2013","06/30/2015"
"NV","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","22","0","1","","07/01/2013","06/30/2015"
"NY","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","10","139","5","1","","07/01/2013","06/30/2015"
"OH","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","10","117","4","1","","07/01/2013","06/30/2015"
"OK","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","5","82","2","2","","07/01/2013","06/30/2015"
"OR","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","4","29","1","0","","07/01/2013","06/30/2015"
"PA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","10","138","3","2","","07/01/2013","06/30/2015"
"PR","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"RI","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","10","0","0","","07/01/2013","06/30/2015"
"SC","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","52","3","0","","07/01/2013","06/30/2015"
"SD","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","0","21","0","2","","07/01/2013","06/30/2015"
"TN","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","1","98","0","0","","07/01/2013","06/30/2015"
"TX","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","9","300","10","9","","07/01/2013","06/30/2015"
"UT","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","4","28","0","2","","07/01/2013","06/30/2015"
"VA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","3","69","3","3","","07/01/2013","06/30/2015"
"VI","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"VT","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","0","6","0","0","","07/01/2013","06/30/2015"
"WA","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","9","39","0","0","","07/01/2013","06/30/2015"
"WI","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","5","60","0","0","","07/01/2013","06/30/2015"
"WV","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","0","29","0","0","","07/01/2013","06/30/2015"
"WY","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","0","11","0","0","","07/01/2013","06/30/2015"
"AK","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","3","0","4","","07/01/2013","06/30/2015"
"AL","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","6","27","0","24","","07/01/2013","06/30/2015"
"AR","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","20","1","13","","07/01/2013","06/30/2015"
"AS","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"AZ","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","36","3","13","","07/01/2013","06/30/2015"
"CA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","2","158","2","107","","07/01/2013","06/30/2015"
"CO","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","27","0","15","","07/01/2013","06/30/2015"
"CT","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","20","0","8","","07/01/2013","06/30/2015"
"DC","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","6","0","1","","07/01/2013","06/30/2015"
"DE","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","6","0","0","","07/01/2013","06/30/2015"
"FL","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","2","120","3","37","","07/01/2013","06/30/2015"
"GA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","3","51","1","30","","07/01/2013","06/30/2015"
"GU","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"HI","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","6","0","6","","07/01/2013","06/30/2015"
"IA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","22","0","11","","07/01/2013","06/30/2015"
"ID","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","7","0","4","","07/01/2013","06/30/2015"
"IL","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","88","4","30","","07/01/2013","06/30/2015"
"IN","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","53","0","23","","07/01/2013","06/30/2015"
"KS","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","21","1","16","","07/01/2013","06/30/2015"
"KY","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","2","30","0","28","","07/01/2013","06/30/2015"
"LA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","36","0","28","","07/01/2013","06/30/2015"
"MA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","40","0","17","","07/01/2013","06/30/2015"
"MD","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","Not Available","Not Available","Not Available","Not Available","4 - Data suppressed by CMS for one or more quarters.","07/01/2013","06/30/2015"
"ME","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","9","0","9","","07/01/2013","06/30/2015"
"MI","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","56","1","30","","07/01/2013","06/30/2015"
"MN","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","19","1","22","","07/01/2013","06/30/2015"
"MO","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","44","0","20","","07/01/2013","06/30/2015"
"MP","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"MS","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","22","0","15","","07/01/2013","06/30/2015"
"MT","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","9","0","1","","07/01/2013","06/30/2015"
"NC","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","54","0","26","","07/01/2013","06/30/2015"
"ND","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","6","0","0","","07/01/2013","06/30/2015"
"NE","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","17","0","6","","07/01/2013","06/30/2015"
"NH","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","11","0","2","","07/01/2013","06/30/2015"
"NJ","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","55","0","8","","07/01/2013","06/30/2015"
"NM","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","9","0","15","","07/01/2013","06/30/2015"
"NV","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","2","14","0","5","","07/01/2013","06/30/2015"
"NY","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","3","79","2","57","","07/01/2013","06/30/2015"
"OH","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","75","1","43","","07/01/2013","06/30/2015"
"OK","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","2","30","0","20","","07/01/2013","06/30/2015"
"OR","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","18","0","14","","07/01/2013","06/30/2015"
"PA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","80","1","52","","07/01/2013","06/30/2015"
"PR","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"RI","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","6","0","5","","07/01/2013","06/30/2015"
"SC","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","31","0","19","","07/01/2013","06/30/2015"
"SD","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","7","0","8","","07/01/2013","06/30/2015"
"TN","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","2","42","0","30","","07/01/2013","06/30/2015"
"TX","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","3","140","1","90","","07/01/2013","06/30/2015"
"UT","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","12","0","15","","07/01/2013","06/30/2015"
"VA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","2","42","1","25","","07/01/2013","06/30/2015"
"VI","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"VT","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","2","0","4","","07/01/2013","06/30/2015"
"WA","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","39","1","5","","07/01/2013","06/30/2015"
"WI","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","33","1","31","","07/01/2013","06/30/2015"
"WV","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","17","0","9","","07/01/2013","06/30/2015"
"WY","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","2","0","8","","07/01/2013","06/30/2015"
"AK","Pressure sores","PSI_3_ULCER","0","9","0","0","","07/01/2013","06/30/2015"
"AL","Pressure sores","PSI_3_ULCER","3","81","0","1","","07/01/2013","06/30/2015"
"AR","Pressure sores","PSI_3_ULCER","2","42","0","1","","07/01/2013","06/30/2015"
"AS","Pressure sores","PSI_3_ULCER","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"AZ","Pressure sores","PSI_3_ULCER","0","57","0","2","","07/01/2013","06/30/2015"
"CA","Pressure sores","PSI_3_ULCER","15","277","0","7","","07/01/2013","06/30/2015"
"CO","Pressure sores","PSI_3_ULCER","1","42","0","3","","07/01/2013","06/30/2015"
"CT","Pressure sores","PSI_3_ULCER","3","27","0","1","","07/01/2013","06/30/2015"
"DC","Pressure sores","PSI_3_ULCER","1","6","0","0","","07/01/2013","06/30/2015"
"DE","Pressure sores","PSI_3_ULCER","1","5","0","0","","07/01/2013","06/30/2015"
"FL","Pressure sores","PSI_3_ULCER","8","160","0","2","","07/01/2013","06/30/2015"
"GA","Pressure sores","PSI_3_ULCER","1","101","0","2","","07/01/2013","06/30/2015"
"GU","Pressure sores","PSI_3_ULCER","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"HI","Pressure sores","PSI_3_ULCER","0","12","0","0","","07/01/2013","06/30/2015"
"IA","Pressure sores","PSI_3_ULCER","0","34","0","0","","07/01/2013","06/30/2015"
"ID","Pressure sores","PSI_3_ULCER","0","11","0","1","","07/01/2013","06/30/2015"
"IL","Pressure sores","PSI_3_ULCER","0","126","1","0","","07/01/2013","06/30/2015"
"IN","Pressure sores","PSI_3_ULCER","0","86","0","4","","07/01/2013","06/30/2015"
"KS","Pressure sores","PSI_3_ULCER","0","46","0","2","","07/01/2013","06/30/2015"
"KY","Pressure sores","PSI_3_ULCER","3","62","0","0","","07/01/2013","06/30/2015"
"LA","Pressure sores","PSI_3_ULCER","5","78","0","8","","07/01/2013","06/30/2015"
"MA","Pressure sores","PSI_3_ULCER","3","58","0","0","","07/01/2013","06/30/2015"
"MD","Pressure sores","PSI_3_ULCER","Not Available","Not Available","Not Available","Not Available","4 - Data suppressed by CMS for one or more quarters.","07/01/2013","06/30/2015"
"ME","Pressure sores","PSI_3_ULCER","2","18","0","0","","07/01/2013","06/30/2015"
"MI","Pressure sores","PSI_3_ULCER","4","89","0","3","","07/01/2013","06/30/2015"
"MN","Pressure sores","PSI_3_ULCER","0","50","0","0","","07/01/2013","06/30/2015"
"MO","Pressure sores","PSI_3_ULCER","1","73","0","2","","07/01/2013","06/30/2015"
"MP","Pressure sores","PSI_3_ULCER","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"MS","Pressure sores","PSI_3_ULCER","1","59","0","3","","07/01/2013","06/30/2015"
"MT","Pressure sores","PSI_3_ULCER","0","13","0","0","","07/01/2013","06/30/2015"
"NC","Pressure sores","PSI_3_ULCER","1","84","1","0","","07/01/2013","06/30/2015"
"ND","Pressure sores","PSI_3_ULCER","0","7","0","0","","07/01/2013","06/30/2015"
"NE","Pressure sores","PSI_3_ULCER","1","20","0","3","","07/01/2013","06/30/2015"
"NH","Pressure sores","PSI_3_ULCER","0","13","0","0","","07/01/2013","06/30/2015"
"NJ","Pressure sores","PSI_3_ULCER","4","60","0","0","","07/01/2013","06/30/2015"
"NM","Pressure sores","PSI_3_ULCER","0","30","0","2","","07/01/2013","06/30/2015"
"NV","Pressure sores","PSI_3_ULCER","3","19","0","1","","07/01/2013","06/30/2015"
"NY","Pressure sores","PSI_3_ULCER","21","128","0","3","","07/01/2013","06/30/2015"
"OH","Pressure sores","PSI_3_ULCER","4","122","0","1","","07/01/2013","06/30/2015"
"OK","Pressure sores","PSI_3_ULCER","4","78","0","5","","07/01/2013","06/30/2015"
"OR","Pressure sores","PSI_3_ULCER","0","34","0","0","","07/01/2013","06/30/2015"
"PA","Pressure sores","PSI_3_ULCER","8","134","0","6","","07/01/2013","06/30/2015"
"PR","Pressure sores","PSI_3_ULCER","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"RI","Pressure sores","PSI_3_ULCER","2","9","0","0","","07/01/2013","06/30/2015"
"SC","Pressure sores","PSI_3_ULCER","4","52","0","0","","07/01/2013","06/30/2015"
"SD","Pressure sores","PSI_3_ULCER","0","16","0","3","","07/01/2013","06/30/2015"
"TN","Pressure sores","PSI_3_ULCER","2","91","0","5","","07/01/2013","06/30/2015"
"TX","Pressure sores","PSI_3_ULCER","10","266","1","36","","07/01/2013","06/30/2015"
"UT","Pressure sores","PSI_3_ULCER","0","30","0","2","","07/01/2013","06/30/2015"
"VA","Pressure sores","PSI_3_ULCER","0","73","1","3","","07/01/2013","06/30/2015"
"VI","Pressure sores","PSI_3_ULCER","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","07/01/2013","06/30/2015"
"VT","Pressure sores","PSI_3_ULCER","0","6","0","0","","07/01/2013","06/30/2015"
"WA","Pressure sores","PSI_3_ULCER","3","44","0","1","","07/01/2013","06/30/2015"
"WI","Pressure sores","PSI_3_ULCER","4","59","0","2","","07/01/2013","06/30/2015"
"WV","Pressure sores","PSI_3_ULCER","2","27","0","0","","07/01/2013","06/30/2015"
"WY","Pressure sores","PSI_3_ULCER","0","11","0","0","","07/01/2013","06/30/2015"
"AK","Infections from a large venous catheter","PSI_7_CVCBI","0","9","0","0","","07/01/2013","06/30/2015"
"AL","Infections from a large venous catheter","PSI_7_CVCBI","0","86","0","0","","07/01/2013","06/30/2015"
"AR","Infections from a large venous catheter","PSI_7_CVCBI","2","43","0","0","","07/01/2013","06/30/2015"
