Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
"LAWRENCE & MEMORIAL HOSPITAL","070007","CT","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"LAWRENCE & MEMORIAL HOSPITAL","070007","CT","READM-30-COPD-HRRP","714"," ","1.0385","20.3733","19.6172","148","01-JUL-12","30-JUN-15"
"LAWRENCE & MEMORIAL HOSPITAL","070007","CT","READM-30-HF-HRRP","746"," ","0.8297","18.1281","21.8478","124","01-JUL-12","30-JUN-15"
"LAWRENCE & MEMORIAL HOSPITAL","070007","CT","READM-30-HIP-KNEE-HRRP","735"," ","0.9276","4.5537","4.9092","32","01-JUL-12","30-JUN-15"
"LAWRENCE & MEMORIAL HOSPITAL","070007","CT","READM-30-PN-HRRP","848"," ","0.9384","15.7137","16.7447","130","01-JUL-12","30-JUN-15"
"JOHNSON MEMORIAL HOSPITAL","070008","CT","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"JOHNSON MEMORIAL HOSPITAL","070008","CT","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"JOHNSON MEMORIAL HOSPITAL","070008","CT","READM-30-COPD-HRRP","207"," ","1.1136","22.5528","20.2522","54","01-JUL-12","30-JUN-15"
"JOHNSON MEMORIAL HOSPITAL","070008","CT","READM-30-HF-HRRP","211"," ","1.0478","22.7933","21.7535","51","01-JUL-12","30-JUN-15"
"JOHNSON MEMORIAL HOSPITAL","070008","CT","READM-30-HIP-KNEE-HRRP","Not Available"," ","1.2002","7.2956","6.0784","Too Few to Report","01-JUL-12","30-JUN-15"
"JOHNSON MEMORIAL HOSPITAL","070008","CT","READM-30-PN-HRRP","313"," ","0.9522","16.4611","17.2868","49","01-JUL-12","30-JUN-15"
"BRIDGEPORT HOSPITAL","070010","CT","READM-30-AMI-HRRP","359"," ","0.9954","16.7884","16.8656","60","01-JUL-12","30-JUN-15"
"BRIDGEPORT HOSPITAL","070010","CT","READM-30-CABG-HRRP","Not Available"," ","0.8869","12.5285","14.1262","Too Few to Report","01-JUL-12","30-JUN-15"
"BRIDGEPORT HOSPITAL","070010","CT","READM-30-COPD-HRRP","268"," ","1.1378","20.6978","18.1914","64","01-JUL-12","30-JUN-15"
"BRIDGEPORT HOSPITAL","070010","CT","READM-30-HF-HRRP","636"," ","1.1053","23.7039","21.4452","157","01-JUL-12","30-JUN-15"
"BRIDGEPORT HOSPITAL","070010","CT","READM-30-HIP-KNEE-HRRP","Not Available"," ","0.7723","3.7856","4.9017","Too Few to Report","01-JUL-12","30-JUN-15"
"BRIDGEPORT HOSPITAL","070010","CT","READM-30-PN-HRRP","693"," ","1.0346","16.6310","16.0742","117","01-JUL-12","30-JUN-15"
"CHARLOTTE HUNGERFORD HOSPITAL","070011","CT","READM-30-AMI-HRRP","92"," ","1.1084","23.4070","21.1181","28","01-JUL-12","30-JUN-15"
"CHARLOTTE HUNGERFORD HOSPITAL","070011","CT","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"CHARLOTTE HUNGERFORD HOSPITAL","070011","CT","READM-30-COPD-HRRP","499"," ","1.1390","26.1800","22.9860","140","01-JUL-12","30-JUN-15"
"CHARLOTTE HUNGERFORD HOSPITAL","070011","CT","READM-30-HF-HRRP","336"," ","0.9587","21.3066","22.2240","69","01-JUL-12","30-JUN-15"
"CHARLOTTE HUNGERFORD HOSPITAL","070011","CT","READM-30-HIP-KNEE-HRRP","176"," ","1.0611","5.5836","5.2619","11","01-JUL-12","30-JUN-15"
"CHARLOTTE HUNGERFORD HOSPITAL","070011","CT","READM-30-PN-HRRP","625"," ","1.0159","17.6288","17.3528","111","01-JUL-12","30-JUN-15"
"ROCKVILLE GENERAL HOSPITAL","070012","CT","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"ROCKVILLE GENERAL HOSPITAL","070012","CT","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"ROCKVILLE GENERAL HOSPITAL","070012","CT","READM-30-COPD-HRRP","143"," ","0.9798","18.4139","18.7926","25","01-JUL-12","30-JUN-15"
"ROCKVILLE GENERAL HOSPITAL","070012","CT","READM-30-HF-HRRP","212"," ","0.9996","21.2381","21.2468","45","01-JUL-12","30-JUN-15"
"ROCKVILLE GENERAL HOSPITAL","070012","CT","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"ROCKVILLE GENERAL HOSPITAL","070012","CT","READM-30-PN-HRRP","303"," ","1.2264","19.9243","16.2465","71","01-JUL-12","30-JUN-15"
"SAINT MARYS HOSPITAL","070016","CT","READM-30-AMI-HRRP","170"," ","1.0402","18.6074","17.8887","34","01-JUL-12","30-JUN-15"
"SAINT MARYS HOSPITAL","070016","CT","READM-30-CABG-HRRP","Not Available"," ","1.0101","14.8556","14.7069","Too Few to Report","01-JUL-12","30-JUN-15"
"SAINT MARYS HOSPITAL","070016","CT","READM-30-COPD-HRRP","394"," ","0.9936","21.6855","21.8247","85","01-JUL-12","30-JUN-15"
"SAINT MARYS HOSPITAL","070016","CT","READM-30-HF-HRRP","450"," ","0.9828","21.5721","21.9500","96","01-JUL-12","30-JUN-15"
"SAINT MARYS HOSPITAL","070016","CT","READM-30-HIP-KNEE-HRRP","Not Available"," ","1.0583","5.3799","5.0837","Too Few to Report","01-JUL-12","30-JUN-15"
"SAINT MARYS HOSPITAL","070016","CT","READM-30-PN-HRRP","571"," ","0.9348","15.8400","16.9440","87","01-JUL-12","30-JUN-15"
"MIDSTATE MEDICAL CENTER","070017","CT","READM-30-AMI-HRRP","105"," ","1.0137","19.2209","18.9608","21","01-JUL-12","30-JUN-15"
"MIDSTATE MEDICAL CENTER","070017","CT","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"MIDSTATE MEDICAL CENTER","070017","CT","READM-30-COPD-HRRP","366"," ","0.8773","18.2262","20.7745","58","01-JUL-12","30-JUN-15"
"MIDSTATE MEDICAL CENTER","070017","CT","READM-30-HF-HRRP","490"," ","1.1144","23.9242","21.4677","124","01-JUL-12","30-JUN-15"
"MIDSTATE MEDICAL CENTER","070017","CT","READM-30-HIP-KNEE-HRRP","Not Available"," ","0.9078","4.4720","4.9264","Too Few to Report","01-JUL-12","30-JUN-15"
"MIDSTATE MEDICAL CENTER","070017","CT","READM-30-PN-HRRP","638"," ","1.1009","19.2639","17.4980","128","01-JUL-12","30-JUN-15"
"GREENWICH HOSPITAL ASSOCIATION","070018","CT","READM-30-AMI-HRRP","89"," ","1.1043","20.1801","18.2735","24","01-JUL-12","30-JUN-15"
"GREENWICH HOSPITAL ASSOCIATION","070018","CT","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"GREENWICH HOSPITAL ASSOCIATION","070018","CT","READM-30-COPD-HRRP","334"," ","1.1006","20.8358","18.9312","76","01-JUL-12","30-JUN-15"
"GREENWICH HOSPITAL ASSOCIATION","070018","CT","READM-30-HF-HRRP","548"," ","1.0504","21.1710","20.1552","119","01-JUL-12","30-JUN-15"
"GREENWICH HOSPITAL ASSOCIATION","070018","CT","READM-30-HIP-KNEE-HRRP","736"," ","0.6951","3.2645","4.6964","17","01-JUL-12","30-JUN-15"
"GREENWICH HOSPITAL ASSOCIATION","070018","CT","READM-30-PN-HRRP","893"," ","1.0549","16.2695","15.4227","148","01-JUL-12","30-JUN-15"
"MILFORD HOSPITAL, INC","070019","CT","READM-30-AMI-HRRP","Not Available"," ","0.9839","18.3921","18.6923","Too Few to Report","01-JUL-12","30-JUN-15"
"MILFORD HOSPITAL, INC","070019","CT","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"MILFORD HOSPITAL, INC","070019","CT","READM-30-COPD-HRRP","208"," ","1.1323","20.5457","18.1443","51","01-JUL-12","30-JUN-15"
"MILFORD HOSPITAL, INC","070019","CT","READM-30-HF-HRRP","239"," ","1.0808","22.6802","20.9848","59","01-JUL-12","30-JUN-15"
"MILFORD HOSPITAL, INC","070019","CT","READM-30-HIP-KNEE-HRRP","Not Available"," ","0.7711","3.6171","4.6907","Too Few to Report","01-JUL-12","30-JUN-15"
"MILFORD HOSPITAL, INC","070019","CT","READM-30-PN-HRRP","319"," ","1.0856","17.4842","16.1062","60","01-JUL-12","30-JUN-15"
"MIDDLESEX HOSPITAL","070020","CT","READM-30-AMI-HRRP","143"," ","1.0153","18.2499","17.9744","27","01-JUL-12","30-JUN-15"
"MIDDLESEX HOSPITAL","070020","CT","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"MIDDLESEX HOSPITAL","070020","CT","READM-30-COPD-HRRP","598"," ","0.9925","19.4822","19.6300","116","01-JUL-12","30-JUN-15"
"MIDDLESEX HOSPITAL","070020","CT","READM-30-HF-HRRP","802"," ","1.0313","20.9642","20.3287","170","01-JUL-12","30-JUN-15"
"MIDDLESEX HOSPITAL","070020","CT","READM-30-HIP-KNEE-HRRP","503"," ","1.0260","4.8701","4.7466","25","01-JUL-12","30-JUN-15"
"MIDDLESEX HOSPITAL","070020","CT","READM-30-PN-HRRP","1271"," ","0.9967","15.9061","15.9584","202","01-JUL-12","30-JUN-15"
"WINDHAM COMM MEM HOSP & HATCH HOSP","070021","CT","READM-30-AMI-HRRP","37"," ","1.1006","21.6874","19.7049","14","01-JUL-12","30-JUN-15"
"WINDHAM COMM MEM HOSP & HATCH HOSP","070021","CT","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"WINDHAM COMM MEM HOSP & HATCH HOSP","070021","CT","READM-30-COPD-HRRP","219"," ","1.0898","20.2266","18.5595","50","01-JUL-12","30-JUN-15"
"WINDHAM COMM MEM HOSP & HATCH HOSP","070021","CT","READM-30-HF-HRRP","244"," ","0.9650","20.9796","21.7407","49","01-JUL-12","30-JUN-15"
"WINDHAM COMM MEM HOSP & HATCH HOSP","070021","CT","READM-30-HIP-KNEE-HRRP","Not Available"," ","0.9604","3.0692","3.1959","Too Few to Report","01-JUL-12","30-JUN-15"
"WINDHAM COMM MEM HOSP & HATCH HOSP","070021","CT","READM-30-PN-HRRP","352"," ","0.9431","15.9121","16.8715","53","01-JUL-12","30-JUN-15"
"YALE-NEW HAVEN HOSPITAL","070022","CT","READM-30-AMI-HRRP","1094"," ","1.1171","18.6852","16.7258","211","01-JUL-12","30-JUN-15"
"YALE-NEW HAVEN HOSPITAL","070022","CT","READM-30-CABG-HRRP","358"," ","1.1368","17.6769","15.5492","68","01-JUL-12","30-JUN-15"
"YALE-NEW HAVEN HOSPITAL","070022","CT","READM-30-COPD-HRRP","1160"," ","1.0920","22.7537","20.8360","270","01-JUL-12","30-JUN-15"
"YALE-NEW HAVEN HOSPITAL","070022","CT","READM-30-HF-HRRP","2262"," ","0.9859","21.5240","21.8313","486","01-JUL-12","30-JUN-15"
"YALE-NEW HAVEN HOSPITAL","070022","CT","READM-30-HIP-KNEE-HRRP","1157"," ","1.3195","6.4385","4.8794","80","01-JUL-12","30-JUN-15"
"YALE-NEW HAVEN HOSPITAL","070022","CT","READM-30-PN-HRRP","2649"," ","1.1872","21.1706","17.8327","570","01-JUL-12","30-JUN-15"
"WILLIAM W BACKUS HOSPITAL","070024","CT","READM-30-AMI-HRRP","89"," ","1.0284","20.5327","19.9649","20","01-JUL-12","30-JUN-15"
"WILLIAM W BACKUS HOSPITAL","070024","CT","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"WILLIAM W BACKUS HOSPITAL","070024","CT","READM-30-COPD-HRRP","531"," ","1.0444","20.7303","19.8492","113","01-JUL-12","30-JUN-15"
"WILLIAM W BACKUS HOSPITAL","070024","CT","READM-30-HF-HRRP","463"," ","0.9267","20.6658","22.3012","91","01-JUL-12","30-JUN-15"
"WILLIAM W BACKUS HOSPITAL","070024","CT","READM-30-HIP-KNEE-HRRP","319"," ","1.0905","6.0413","5.5398","21","01-JUL-12","30-JUN-15"
"WILLIAM W BACKUS HOSPITAL","070024","CT","READM-30-PN-HRRP","946"," ","1.0336","18.5265","17.9238","177","01-JUL-12","30-JUN-15"
"HARTFORD HOSPITAL","070025","CT","READM-30-AMI-HRRP","967"," ","1.0203","16.5273","16.1980","161","01-JUL-12","30-JUN-15"
"HARTFORD HOSPITAL","070025","CT","READM-30-CABG-HRRP","327"," ","0.9239","13.0914","14.1697","40","01-JUL-12","30-JUN-15"
"HARTFORD HOSPITAL","070025","CT","READM-30-COPD-HRRP","613"," ","1.0861","20.9574","19.2965","134","01-JUL-12","30-JUN-15"
"HARTFORD HOSPITAL","070025","CT","READM-30-HF-HRRP","1547"," ","1.0702","22.7408","21.2488","356","01-JUL-12","30-JUN-15"
"HARTFORD HOSPITAL","070025","CT","READM-30-HIP-KNEE-HRRP","1070"," ","0.9831","4.5170","4.5946","48","01-JUL-12","30-JUN-15"
"HARTFORD HOSPITAL","070025","CT","READM-30-PN-HRRP","1285"," ","1.0409","17.1153","16.4429","222","01-JUL-12","30-JUN-15"
"MANCHESTER MEMORIAL HOSPITAL","070027","CT","READM-30-AMI-HRRP","Not Available"," ","0.9316","16.3449","17.5455","Too Few to Report","01-JUL-12","30-JUN-15"
"MANCHESTER MEMORIAL HOSPITAL","070027","CT","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"MANCHESTER MEMORIAL HOSPITAL","070027","CT","READM-30-COPD-HRRP","214"," ","0.9591","18.5763","19.3678","37","01-JUL-12","30-JUN-15"
"MANCHESTER MEMORIAL HOSPITAL","070027","CT","READM-30-HF-HRRP","363"," ","1.0103","21.3155","21.0988","78","01-JUL-12","30-JUN-15"
"MANCHESTER MEMORIAL HOSPITAL","070027","CT","READM-30-HIP-KNEE-HRRP","248"," ","1.1310","5.4655","4.8326","16","01-JUL-12","30-JUN-15"
"MANCHESTER MEMORIAL HOSPITAL","070027","CT","READM-30-PN-HRRP","639"," ","1.0502","17.2894","16.4635","113","01-JUL-12","30-JUN-15"
"ST VINCENT'S MEDICAL CENTER","070028","CT","READM-30-AMI-HRRP","431"," ","1.0244","17.3034","16.8914","76","01-JUL-12","30-JUN-15"
"ST VINCENT'S MEDICAL CENTER","070028","CT","READM-30-CABG-HRRP","Not Available"," ","0.9672","14.3503","14.8366","Too Few to Report","01-JUL-12","30-JUN-15"
"ST VINCENT'S MEDICAL CENTER","070028","CT","READM-30-COPD-HRRP","498"," ","1.1030","22.1500","20.0809","117","01-JUL-12","30-JUN-15"
"ST VINCENT'S MEDICAL CENTER","070028","CT","READM-30-HF-HRRP","667"," ","1.0051","20.9433","20.8377","140","01-JUL-12","30-JUN-15"
"ST VINCENT'S MEDICAL CENTER","070028","CT","READM-30-HIP-KNEE-HRRP","250"," ","0.9977","4.8180","4.8292","12","01-JUL-12","30-JUN-15"
"ST VINCENT'S MEDICAL CENTER","070028","CT","READM-30-PN-HRRP","551"," ","1.0960","17.8325","16.2701","103","01-JUL-12","30-JUN-15"
"BRISTOL HOSPITAL","070029","CT","READM-30-AMI-HRRP","64"," ","1.0207","19.9333","19.5286","14","01-JUL-12","30-JUN-15"
"BRISTOL HOSPITAL","070029","CT","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"BRISTOL HOSPITAL","070029","CT","READM-30-COPD-HRRP","321"," ","1.0266","20.6332","20.0985","68","01-JUL-12","30-JUN-15"
"BRISTOL HOSPITAL","070029","CT","READM-30-HF-HRRP","308"," ","1.0634","23.1085","21.7300","75","01-JUL-12","30-JUN-15"
"BRISTOL HOSPITAL","070029","CT","READM-30-HIP-KNEE-HRRP","Not Available"," ","1.0754","4.8739","4.5323","Too Few to Report","01-JUL-12","30-JUN-15"
"BRISTOL HOSPITAL","070029","CT","READM-30-PN-HRRP","379"," ","1.0806","17.6827","16.3643","71","01-JUL-12","30-JUN-15"
"GRIFFIN HOSPITAL","070031","CT","READM-30-AMI-HRRP","78"," ","1.0092","19.8047","19.6251","16","01-JUL-12","30-JUN-15"
"GRIFFIN HOSPITAL","070031","CT","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"GRIFFIN HOSPITAL","070031","CT","READM-30-COPD-HRRP","243"," ","0.9601","18.7996","19.5804","43","01-JUL-12","30-JUN-15"
"GRIFFIN HOSPITAL","070031","CT","READM-30-HF-HRRP","307"," ","1.1063","23.3635","21.1187","78","01-JUL-12","30-JUN-15"
"GRIFFIN HOSPITAL","070031","CT","READM-30-HIP-KNEE-HRRP","Not Available"," ","1.0577","4.4883","4.2433","Too Few to Report","01-JUL-12","30-JUN-15"
"GRIFFIN HOSPITAL","070031","CT","READM-30-PN-HRRP","492"," ","0.9781","16.4929","16.8623","80","01-JUL-12","30-JUN-15"
"DANBURY HOSPITAL","070033","CT","READM-30-AMI-HRRP","462"," ","1.0038","15.9697","15.9094","74","01-JUL-12","30-JUN-15"
"DANBURY HOSPITAL","070033","CT","READM-30-CABG-HRRP","Not Available"," ","0.8875","12.5260","14.1137","Too Few to Report","01-JUL-12","30-JUN-15"
"DANBURY HOSPITAL","070033","CT","READM-30-COPD-HRRP","658"," ","1.0197","20.1654","19.7750","134","01-JUL-12","30-JUN-15"
"DANBURY HOSPITAL","070033","CT","READM-30-HF-HRRP","987"," ","1.0322","21.9908","21.3042","219","01-JUL-12","30-JUN-15"
"DANBURY HOSPITAL","070033","CT","READM-30-HIP-KNEE-HRRP","887"," ","0.9363","4.7677","5.0919","41","01-JUL-12","30-JUN-15"
"DANBURY HOSPITAL","070033","CT","READM-30-PN-HRRP","1248"," ","1.0760","17.9654","16.6967","228","01-JUL-12","30-JUN-15"
"NORWALK HOSPITAL ASSOCIATION","070034","CT","READM-30-AMI-HRRP","156"," ","1.0597","17.0560","16.0957","30","01-JUL-12","30-JUN-15"
"NORWALK HOSPITAL ASSOCIATION","070034","CT","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"NORWALK HOSPITAL ASSOCIATION","070034","CT","READM-30-COPD-HRRP","325"," ","1.0196","19.9077","19.5245","66","01-JUL-12","30-JUN-15"
"NORWALK HOSPITAL ASSOCIATION","070034","CT","READM-30-HF-HRRP","672"," ","0.9193","18.9063","20.5656","122","01-JUL-12","30-JUN-15"
"NORWALK HOSPITAL ASSOCIATION","070034","CT","READM-30-HIP-KNEE-HRRP","376"," ","1.0791","4.9249","4.5640","20","01-JUL-12","30-JUN-15"
"NORWALK HOSPITAL ASSOCIATION","070034","CT","READM-30-PN-HRRP","1011"," ","0.8852","13.5606","15.3197","131","01-JUL-12","30-JUN-15"
"HOSPITAL OF CENTRAL CONNECTICUT, THE","070035","CT","READM-30-AMI-HRRP","267"," ","1.0752","19.3428","17.9900","56","01-JUL-12","30-JUN-15"
"HOSPITAL OF CENTRAL CONNECTICUT, THE","070035","CT","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"HOSPITAL OF CENTRAL CONNECTICUT, THE","070035","CT","READM-30-COPD-HRRP","461"," ","1.0459","21.2477","20.3159","101","01-JUL-12","30-JUN-15"
"HOSPITAL OF CENTRAL CONNECTICUT, THE","070035","CT","READM-30-HF-HRRP","853"," ","0.9736","20.5892","21.1465","174","01-JUL-12","30-JUN-15"
"HOSPITAL OF CENTRAL CONNECTICUT, THE","070035","CT","READM-30-HIP-KNEE-HRRP","406"," ","1.0872","5.5057","5.0644","24","01-JUL-12","30-JUN-15"
"HOSPITAL OF CENTRAL CONNECTICUT, THE","070035","CT","READM-30-PN-HRRP","979"," ","0.9069","15.3217","16.8955","145","01-JUL-12","30-JUN-15"
"JOHN DEMPSEY HOSPITAL","070036","CT","READM-30-AMI-HRRP","204"," ","0.8789","14.4323","16.4215","22","01-JUL-12","30-JUN-15"
"JOHN DEMPSEY HOSPITAL","070036","CT","READM-30-CABG-HRRP","Not Available"," ","0.9218","13.5436","14.6923","Too Few to Report","01-JUL-12","30-JUN-15"
"JOHN DEMPSEY HOSPITAL","070036","CT","READM-30-COPD-HRRP","185"," ","1.0036","19.8703","19.7986","37","01-JUL-12","30-JUN-15"
"JOHN DEMPSEY HOSPITAL","070036","CT","READM-30-HF-HRRP","403"," ","0.8866","17.9030","20.1919","65","01-JUL-12","30-JUN-15"
"JOHN DEMPSEY HOSPITAL","070036","CT","READM-30-HIP-KNEE-HRRP","Not Available"," ","1.0830","5.4902","5.0693","Too Few to Report","01-JUL-12","30-JUN-15"
"JOHN DEMPSEY HOSPITAL","070036","CT","READM-30-PN-HRRP","450"," ","1.0363","16.2613","15.6914","75","01-JUL-12","30-JUN-15"
"CONNECTICUT HOSPICE INC,THE","070038","CT","READM-30-AMI-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"CONNECTICUT HOSPICE INC,THE","070038","CT","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"CONNECTICUT HOSPICE INC,THE","070038","CT","READM-30-COPD-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"CONNECTICUT HOSPICE INC,THE","070038","CT","READM-30-HF-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"CONNECTICUT HOSPICE INC,THE","070038","CT","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"CONNECTICUT HOSPICE INC,THE","070038","CT","READM-30-PN-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"MASONICARE HEALTH CENTER","070039","CT","READM-30-AMI-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"MASONICARE HEALTH CENTER","070039","CT","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"MASONICARE HEALTH CENTER","070039","CT","READM-30-COPD-HRRP","38"," ","1.0284","26.2811","25.5557","12","01-JUL-12","30-JUN-15"
"MASONICARE HEALTH CENTER","070039","CT","READM-30-HF-HRRP","60"," ","1.0564","24.2457","22.9523","18","01-JUL-12","30-JUN-15"
"MASONICARE HEALTH CENTER","070039","CT","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"MASONICARE HEALTH CENTER","070039","CT","READM-30-PN-HRRP","168"," ","0.9678","17.0762","17.6452","27","01-JUL-12","30-JUN-15"
"HEBREW HOME AND HOSPITAL INC","070040","CT","READM-30-AMI-HRRP","0","7","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"HEBREW HOME AND HOSPITAL INC","070040","CT","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"HEBREW HOME AND HOSPITAL INC","070040","CT","READM-30-COPD-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"HEBREW HOME AND HOSPITAL INC","070040","CT","READM-30-HF-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"HEBREW HOME AND HOSPITAL INC","070040","CT","READM-30-HIP-KNEE-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"HEBREW HOME AND HOSPITAL INC","070040","CT","READM-30-PN-HRRP","Not Available"," ","0.9305","14.0847","15.1363","Too Few to Report","01-JUL-12","30-JUN-15"
"CHRISTIANA CARE HEALTH SERVICES, INC.","080001","DE","READM-30-AMI-HRRP","942"," ","1.0135","16.0526","15.8383","152","01-JUL-12","30-JUN-15"
"CHRISTIANA CARE HEALTH SERVICES, INC.","080001","DE","READM-30-CABG-HRRP","394"," ","1.0576","15.7313","14.8739","64","01-JUL-12","30-JUN-15"
"CHRISTIANA CARE HEALTH SERVICES, INC.","080001","DE","READM-30-COPD-HRRP","1754"," ","1.0135","20.9286","20.6497","368","01-JUL-12","30-JUN-15"
"CHRISTIANA CARE HEALTH SERVICES, INC.","080001","DE","READM-30-HF-HRRP","2679"," ","0.9568","21.0419","21.9909","561","01-JUL-12","30-JUN-15"
"CHRISTIANA CARE HEALTH SERVICES, INC.","080001","DE","READM-30-HIP-KNEE-HRRP","2740"," ","0.8720","4.0388","4.6314","108","01-JUL-12","30-JUN-15"
"CHRISTIANA CARE HEALTH SERVICES, INC.","080001","DE","READM-30-PN-HRRP","2785"," ","0.9280","15.7572","16.9794","435","01-JUL-12","30-JUN-15"
"ST FRANCIS HOSPITAL","080003","DE","READM-30-AMI-HRRP","133"," ","1.0431","16.9275","16.2284","25","01-JUL-12","30-JUN-15"
"ST FRANCIS HOSPITAL","080003","DE","READM-30-CABG-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"ST FRANCIS HOSPITAL","080003","DE","READM-30-COPD-HRRP","182"," ","0.9872","19.1465","19.3939","34","01-JUL-12","30-JUN-15"
"ST FRANCIS HOSPITAL","080003","DE","READM-30-HF-HRRP","236"," ","1.0705","24.0260","22.4427","61","01-JUL-12","30-JUN-15"
"ST FRANCIS HOSPITAL","080003","DE","READM-30-HIP-KNEE-HRRP","Not Available","1","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
"ST FRANCIS HOSPITAL","080003","DE","READM-30-PN-HRRP","252"," ","0.9476","15.7786","16.6511","37","01-JUL-12","30-JUN-15"
"BAYHEALTH - KENT GENERAL HOSPITAL","080004","DE","READM-30-AMI-HRRP","444"," ","1.0751","17.2840","16.0760","81","01-JUL-12","30-JUN-15"
"BAYHEALTH - KENT GENERAL HOSPITAL","080004","DE","READM-30-CABG-HRRP","116"," ","0.9177","12.9330","14.0925","12","01-JUL-12","30-JUN-15"
"BAYHEALTH - KENT GENERAL HOSPITAL","080004","DE","READM-30-COPD-HRRP","894"," ","1.0712","21.7369","20.2929","199","01-JUL-12","30-JUN-15"
"BAYHEALTH - KENT GENERAL HOSPITAL","080004","DE","READM-30-HF-HRRP","669"," ","1.0538","23.8725","22.6531","163","01-JUL-12","30-JUN-15"
"BAYHEALTH - KENT GENERAL HOSPITAL","080004","DE","READM-30-HIP-KNEE-HRRP","478"," ","1.2866","6.0752","4.7218","34","01-JUL-12","30-JUN-15"
"BAYHEALTH - KENT GENERAL HOSPITAL","080004","DE","READM-30-PN-HRRP","1261"," ","1.0349","18.0969","17.4862","230","01-JUL-12","30-JUN-15"
"NANTICOKE MEMORIAL HOSPITAL","080006","DE","READM-30-AMI-HRRP","143"," ","0.9529","16.7012","17.5271","21","01-JUL-12","30-JUN-15"
"NANTICOKE MEMORIAL HOSPITAL","080006","DE","READM-30-CABG-HRRP","Not Available","5","Not Available","Not Available","Not Available","Not Available","01-JUL-12","30-JUN-15"
