State,Measure ID,Measure Name,Score,Footnote,Measure Start Date,Measure End Date
TX,OP_8,MRI Lumbar Spine for Low Back Pain,43.3,,07/01/2014,06/30/2015
TX,OP_9,Mammography Follow-up Rates,7.8,,07/01/2014,06/30/2015
UT,OP_10,Abdomen CT Use of Contrast Material,4.3,,07/01/2014,06/30/2015
UT,OP_11,Thorax CT Use of Contrast Material,1.0,,07/01/2014,06/30/2015
UT,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.2,,07/01/2014,06/30/2015
UT,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.8,,07/01/2014,06/30/2015
UT,OP_8,MRI Lumbar Spine for Low Back Pain,47.5,,07/01/2014,06/30/2015
UT,OP_9,Mammography Follow-up Rates,8.0,,07/01/2014,06/30/2015
VA,OP_10,Abdomen CT Use of Contrast Material,6.7,,07/01/2014,06/30/2015
VA,OP_11,Thorax CT Use of Contrast Material,1.1,,07/01/2014,06/30/2015
VA,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.2,,07/01/2014,06/30/2015
VA,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.2,,07/01/2014,06/30/2015
VA,OP_8,MRI Lumbar Spine for Low Back Pain,37.2,,07/01/2014,06/30/2015
VA,OP_9,Mammography Follow-up Rates,7.3,,07/01/2014,06/30/2015
VI,OP_10,Abdomen CT Use of Contrast Material,2.8,,07/01/2014,06/30/2015
VI,OP_11,Thorax CT Use of Contrast Material,3.4,,07/01/2014,06/30/2015
VI,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,2.8,,07/01/2014,06/30/2015
VI,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.7,,07/01/2014,06/30/2015
VI,OP_8,MRI Lumbar Spine for Low Back Pain,Not Available,5 - Results are not available for this reporting period.,07/01/2014,06/30/2015
VI,OP_9,Mammography Follow-up Rates,7.9,,07/01/2014,06/30/2015
VT,OP_10,Abdomen CT Use of Contrast Material,3.6,,07/01/2014,06/30/2015
VT,OP_11,Thorax CT Use of Contrast Material,0.5,,07/01/2014,06/30/2015
VT,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.2,,07/01/2014,06/30/2015
VT,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.1,,07/01/2014,06/30/2015
VT,OP_8,MRI Lumbar Spine for Low Back Pain,32.6,,07/01/2014,06/30/2015
VT,OP_9,Mammography Follow-up Rates,8.2,,07/01/2014,06/30/2015
WA,OP_10,Abdomen CT Use of Contrast Material,5.3,,07/01/2014,06/30/2015
WA,OP_11,Thorax CT Use of Contrast Material,0.8,,07/01/2014,06/30/2015
WA,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,3.9,,07/01/2014,06/30/2015
WA,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.5,,07/01/2014,06/30/2015
WA,OP_8,MRI Lumbar Spine for Low Back Pain,41.1,,07/01/2014,06/30/2015
WA,OP_9,Mammography Follow-up Rates,8.0,,07/01/2014,06/30/2015
WI,OP_10,Abdomen CT Use of Contrast Material,5.6,,07/01/2014,06/30/2015
WI,OP_11,Thorax CT Use of Contrast Material,0.7,,07/01/2014,06/30/2015
WI,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.1,,07/01/2014,06/30/2015
WI,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.3,,07/01/2014,06/30/2015
WI,OP_8,MRI Lumbar Spine for Low Back Pain,36.3,,07/01/2014,06/30/2015
WI,OP_9,Mammography Follow-up Rates,7.1,,07/01/2014,06/30/2015
WV,OP_10,Abdomen CT Use of Contrast Material,12.8,,07/01/2014,06/30/2015
WV,OP_11,Thorax CT Use of Contrast Material,3.0,,07/01/2014,06/30/2015
WV,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.8,,07/01/2014,06/30/2015
WV,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.9,,07/01/2014,06/30/2015
WV,OP_8,MRI Lumbar Spine for Low Back Pain,40.6,,07/01/2014,06/30/2015
WV,OP_9,Mammography Follow-up Rates,8.9,,07/01/2014,06/30/2015
WY,OP_10,Abdomen CT Use of Contrast Material,10.4,,07/01/2014,06/30/2015
WY,OP_11,Thorax CT Use of Contrast Material,4.4,,07/01/2014,06/30/2015
WY,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.2,,07/01/2014,06/30/2015
WY,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.4,,07/01/2014,06/30/2015
WY,OP_8,MRI Lumbar Spine for Low Back Pain,44.8,,07/01/2014,06/30/2015
WY,OP_9,Mammography Follow-up Rates,9.3,,07/01/2014,06/30/2015
