Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,IMM-2 Achievement Threshold,IMM-2 Benchmark,IMM-2 Baseline Rate,IMM-2 Performance Rate,IMM-2 Achievement Points,IMM-2 Improvement Points,IMM-2 Measure Score,IMM-2 Preventive Condition/Procedure Score
"500044","DEACONESS HOSPITAL","W 800 FIFTH AVENUE","Spokane","WA","99210","SPOKANE","0.951607","0.997739","0.979167","0.989362","8 out of 10","5 out of 9","8 out of 10","8"
"260064","SSM HEALTH ST. MARY'S HOSPITAL-AUDRAIN","620 E MONROE","Mexico","MO","65265","AUDRAIN","0.951607","0.997739","0.978022","0.992453","8 out of 10","7 out of 9","8 out of 10","8"
"330132","TLC HEALTH NETWORK","845 ROUTES 5 AND 20","Irving","NY","14081","CHAUTAUQUA","0.951607","0.997739","0.608150","0.688963","0 out of 10","2 out of 9","2 out of 10","2"
"390174","THOMAS JEFFERSON UNIVERSITY HOSPITAL","111 SOUTH 11TH STREET","Philadelphia","PA","19107","PHILADELPHIA","0.951607","0.997739","0.984071","0.984375","7 out of 10","0 out of 9","7 out of 10","7"
"420089","EAST COOPER MEDICAL CENTER","2000 HOSPITAL DR","Mount Pleasant","SC","29464","CHARLESTON","0.951607","0.997739","0.966135","0.986408","7 out of 10","6 out of 9","7 out of 10","7"
"390043","SOLDIERS AND SAILORS MEMORIAL HOSPITAL","32-36 CENTRAL AVENUE","Wellsboro","PA","16901","TIOGA","0.951607","0.997739","0.983740","0.982014","6 out of 10","0 out of 9","6 out of 10","6"
"050301","UKIAH VALLEY MEDICAL CENTER","275 HOSPITAL DRIVE","Ukiah","CA","95482","MENDOCINO","0.951607","0.997739","0.739496","0.811502","0 out of 10","2 out of 9","2 out of 10","2"
"300023","EXETER HOSPITAL INC","5 ALUMNI DRIVE","Exeter","NH","03833","ROCKINGHAM","0.951607","0.997739","0.895492","0.917184","0 out of 10","2 out of 9","2 out of 10","2"
"460041","DAVIS HOSPITAL AND MEDICAL CENTER","1600 WEST ANTELOPE DRIVE","Layton","UT","84041","DAVIS","0.951607","0.997739","0.972184","0.994003","9 out of 10","8 out of 9","9 out of 10","9"
"050017","MERCY GENERAL HOSPITAL","4001 J ST","Sacramento","CA","95819","SACRAMENTO","0.951607","0.997739","0.988971","0.994633","9 out of 10","6 out of 9","9 out of 10","9"
"250095","SOUTH SUNFLOWER COUNTY HOSPITAL","121 E BAKER ST","Indianola","MS","38751","SUNFLOWER","0.951607","0.997739","0.464646","0.282700","0 out of 10","0 out of 9","0 out of 10","0"
"180132","LAKE CUMBERLAND REGIONAL HOSPITAL","305 LANGDON STREET","Somerset","KY","42503","PULASKI","0.951607","0.997739","0.993988","0.989957","8 out of 10","0 out of 9","8 out of 10","8"
"340166","CAROLINAS MED CTR-UNIVERSITY","8800 NORTH TYRON STREET","Charlotte","NC","28256","MECKLENBURG","0.951607","0.997739","0.977035","0.980306","6 out of 10","1 out of 9","6 out of 10","6"
"080003","ST FRANCIS HOSPITAL","7TH AND CLAYTON STS","Wilmington","DE","19805","NEW CASTLE","0.951607","0.997739","0.976000","0.987952","8 out of 10","5 out of 9","8 out of 10","8"
"390199","PUNXSUTAWNEY AREA HOSPITAL","81 HILLCREST DRIVE","Punxsutawney","PA","15767","JEFFERSON","0.951607","0.997739","0.920000","0.944262","0 out of 10","3 out of 9","3 out of 10","3"
"150059","RIVERVIEW HEALTH","395 WESTFIELD RD","Noblesville","IN","46060","HAMILTON","0.951607","0.997739","0.991323","0.995434","9 out of 10","6 out of 9","9 out of 10","9"
"010149","BAPTIST MEDICAL CENTER EAST","400 TAYLOR ROAD","Montgomery","AL","36117","MONTGOMERY","0.951607","0.997739","0.958537","0.944862","0 out of 10","0 out of 9","0 out of 10","0"
"330214","NYU HOSPITALS CENTER","550 FIRST AVENUE","New York","NY","10016","NEW YORK","0.951607","0.997739","0.784530","0.994286","9 out of 10","9 out of 9","9 out of 10","9"
"330240","HARLEM HOSPITAL CENTER","506 LENOX AVENUE","New York","NY","10037","NEW YORK","0.951607","0.997739","0.947059","0.982558","7 out of 10","7 out of 9","7 out of 10","7"
"360270","MERCY HOSPITAL OF DEFIANCE","1404 EAST SECOND STREET","Defiance","OH","43512","DEFIANCE","0.951607","0.997739","0.993080","0.989831","8 out of 10","0 out of 9","8 out of 10","8"
"100128","TAMPA GENERAL HOSPITAL","1 TAMPA GENERAL CIR","Tampa","FL","33606","HILLSBOROUGH","0.951607","0.997739","0.802281","0.885135","0 out of 10","4 out of 9","4 out of 10","4"
"410012","MIRIAM HOSPITAL","164 SUMMIT AVENUE","Providence","RI","02906","PROVIDENCE","0.951607","0.997739","0.838509","0.870968","0 out of 10","2 out of 9","2 out of 10","2"
"110177","DOCTORS HOSPITAL","3651 WHEELER ROAD","Augusta","GA","30909","RICHMOND","0.951607","0.997739","0.986644","0.996795","9 out of 10","9 out of 9","9 out of 10","9"
"100243","BRANDON REGIONAL HOSPITAL","119 OAKFIELD DR","Brandon","FL","33511","HILLSBOROUGH","0.951607","0.997739","0.981697","0.991511","8 out of 10","6 out of 9","8 out of 10","8"
"330205","ST ANTHONY COMMUNITY HOSPITAL","15 - 19  MAPLE AVENUE","Warwick","NY","10990","ORANGE","0.951607","0.997739","0.978903","0.941176","0 out of 10","0 out of 9","0 out of 10","0"
"390080","JEANES HOSPITAL","7600 CENTRAL AVENUE","Philadelphia","PA","19111","PHILADELPHIA","0.951607","0.997739","0.933786","0.964974","3 out of 10","4 out of 9","4 out of 10","4"
"450801","CHRISTUS ST MICHAEL HEALTH SYSTEM","2600 ST MICHAEL DR","Texarkana","TX","75504","BOWIE","0.951607","0.997739","0.959927","0.967213","4 out of 10","1 out of 9","4 out of 10","4"
"280111","COLUMBUS COMMUNITY HOSPITAL","4600 38TH ST","Columbus","NE","68602","PLATTE","0.951607","0.997739","0.984277","0.980892","6 out of 10","0 out of 9","6 out of 10","6"
"100275","WELLINGTON REGIONAL MEDICAL CENTER","10101 FOREST HILL BLVD","Wellington","FL","33414","PALM BEACH","0.951607","0.997739","0.917004","0.986056","7 out of 10","8 out of 9","8 out of 10","8"
"240210","HEALTHEAST ST JOHN'S HOSPITAL","1575 BEAM AVENUE","Maplewood","MN","55109","RAMSEY","0.951607","0.997739","0.929860","0.975510","5 out of 10","6 out of 9","6 out of 10","6"
"440006","TRISTAR SKYLINE MEDICAL CENTER","3441 DICKERSON PIKE","Nashville","TN","37207","DAVIDSON","0.951607","0.997739","0.980614","0.998503","10 out of 10","9 out of 9","10 out of 10","10"
"310001","HACKENSACK UNIVERSITY MEDICAL CENTER","30 PROSPECT AVE","Hackensack","NJ","07601","BERGEN","0.951607","0.997739","0.856275","0.946058","0 out of 10","6 out of 9","6 out of 10","6"
"260057","CAMERON REGIONAL MEDICAL CENTER","1600 E EVERGREEN","Cameron","MO","64429","CLINTON","0.951607","0.997739","0.867508","0.965409","3 out of 10","7 out of 9","7 out of 10","7"
"140034","SSM HEALTH ST MARY'S HOSPITAL -CENTRALIA","400 NORTH PLEASANT AVENUE","Centralia","IL","62801","MARION","0.951607","0.997739","0.991266","0.995215","9 out of 10","6 out of 9","9 out of 10","9"
"230046","UNIVERSITY OF MICHIGAN HEALTH SYSTEM","1500 E MEDICAL CENTER DRIVE, SPC 5474","Ann Arbor","MI","48109","WASHTENAW","0.951607","0.997739","0.882771","0.978984","6 out of 10","8 out of 9","8 out of 10","8"
"450280","BAYLOR SCOTT & WHITE MEDICAL CENTER GARLAND","2300 MARIE CURIE DRIVE","Garland","TX","75042","DALLAS","0.951607","0.997739","0.974359","0.998358","10 out of 10","9 out of 9","10 out of 10","10"
"450162","GRACE MEDICAL CENTER","2412 50TH ST","Lubbock","TX","79412","LUBBOCK","0.951607","0.997739","0.982759","0.934625","0 out of 10","0 out of 9","0 out of 10","0"
"380014","GOOD SAMARITAN REGIONAL MEDICAL CENTER","3600 NW SAMARITAN DRIVE","Corvallis","OR","97339","BENTON","0.951607","0.997739","0.826248","0.886894","0 out of 10","3 out of 9","3 out of 10","3"
"320009","LOVELACE MEDICAL CENTER","601 DR MARTIN LUTHER KING JR AVE NE","Albuquerque","NM","87102","BERNALILLO","0.951607","0.997739","0.980231","0.996694","9 out of 10","9 out of 9","9 out of 10","9"
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","Ozark","AL","36360","DALE","0.951607","0.997739","1.000000","1.000000","10 out of 10","0 out of 9","10 out of 10","10"
"390236","GUTHRIE TOWANDA MEMORIAL HOSPITAL","91 HOSPITAL DRIVE","Towanda","PA","18848","BRADFORD","0.951607","0.997739","0.968992","0.925926","0 out of 10","0 out of 9","0 out of 10","0"
"390071","LOCK HAVEN HOSPITAL","24 CREE DRIVE","Lock Haven","PA","17745","CLINTON","0.951607","0.997739","1.000000","0.928571","0 out of 10","0 out of 9","0 out of 10","0"
"010120","MONROE COUNTY HOSPITAL","2016 SOUTH ALABAMA AVENUE, BOX 886","Monroeville","AL","36460","MONROE","0.951607","0.997739","0.861224","0.991870","8 out of 10","9 out of 9","9 out of 10","9"
"450670","TOMBALL REGIONAL MEDICAL CENTER","605 HOLDERRIETH","Tomball","TX","77375","HARRIS","0.951607","0.997739","0.895035","0.983526","7 out of 10","8 out of 9","8 out of 10","8"
"330239","WOMAN'S CHRISTIAN ASSOCIATION","207 FOOTE AVENUE","Jamestown","NY","14701","CHAUTAUQUA","0.951607","0.997739","0.731006","0.715536","0 out of 10","0 out of 9","0 out of 10","0"
"100023","CITRUS MEMORIAL HOSPITAL","502 W HIGHLAND BLVD","Inverness","FL","34452","CITRUS","0.951607","0.997739","0.836220","0.974790","5 out of 10","8 out of 9","8 out of 10","8"
"160110","ALLEN HOSPITAL","1825 LOGAN AVENUE","Waterloo","IA","50703","BLACK HAWK","0.951607","0.997739","0.951807","0.976608","5 out of 10","5 out of 9","5 out of 10","5"
"140067","SAINT FRANCIS MEDICAL CENTER","530 NE GLEN OAK AVE","Peoria","IL","61637","PEORIA","0.951607","0.997739","0.868794","0.984733","7 out of 10","8 out of 9","8 out of 10","8"
"520021","UNITED HOSPITAL SYSTEM","6308 EIGHTH AVE","Kenosha","WI","53143","KENOSHA","0.951607","0.997739","0.989708","0.992806","9 out of 10","3 out of 9","9 out of 10","9"
"450809","NORTH AUSTIN MEDICAL CENTER","12221 MOPAC EXPRESSWAY NORTH","Austin","TX","78758","TRAVIS","0.951607","0.997739","0.966102","0.990758","8 out of 10","7 out of 9","8 out of 10","8"
"050633","TWIN CITIES COMMUNITY HOSPITAL","1100 LAS TABLAS RD","Templeton","CA","93465","SAN LUIS OBISPO","0.951607","0.997739","0.991786","0.993776","9 out of 10","3 out of 9","9 out of 10","9"
"150097","MAJOR HOSPITAL","150 W WASHINGTON ST","Shelbyville","IN","46176","SHELBY","0.951607","0.997739","0.987013","0.986842","7 out of 10","0 out of 9","7 out of 10","7"
"390006","GEISINGER MEDICAL CENTER","100 NORTH ACADEMY AVENUE","Danville","PA","17822","MONTOUR","0.951607","0.997739","0.913562","0.946454","0 out of 10","3 out of 9","3 out of 10","3"
"390063","UPMC HAMOT","201 STATE STREET","Erie","PA","16550","ERIE","0.951607","0.997739","0.961353","0.977124","5 out of 10","4 out of 9","5 out of 10","5"
"450340","SAN ANGELO COMMUNITY MEDICAL CENTER","3501 KNICKERBOCKER ROAD","San Angelo","TX","76904","TOM GREEN","0.951607","0.997739","0.994208","1.000000","10 out of 10","9 out of 9","10 out of 10","10"
"370215","OKLAHOMA HEART HOSPITAL, LLC","4050 WEST MEMORIAL ROAD","Oklahoma City","OK","73120","OKLAHOMA","0.951607","0.997739","0.991582","0.993432","9 out of 10","3 out of 9","9 out of 10","9"
"310108","JFK MEDICAL CTR - ANTHONY M. YELENCSICS COMMUNITY","65 JAMES STREET","Edison","NJ","08818","MIDDLESEX","0.951607","0.997739","0.926692","0.959507","2 out of 10","4 out of 9","4 out of 10","4"
"520103","COMMUNITY MEMORIAL HOSPITAL","W180 N8085 TOWN HALL RD","Menomonee Falls","WI","53051","WAUKESHA","0.951607","0.997739","0.901079","1.000000","10 out of 10","9 out of 9","10 out of 10","10"
"340004","HIGH POINT REGIONAL HOSPITAL","601 N ELM ST","High Point","NC","27261","GUILFORD","0.951607","0.997739","0.985102","0.981949","6 out of 10","0 out of 9","6 out of 10","6"
"390329","EINSTEIN MEDICAL CENTER MONTGOMERY","559 WEST GERMANTOWN PIKE","East Norriton","PA","19403","MONTGOMERY","0.951607","0.997739","0.953488","0.926778","0 out of 10","0 out of 9","0 out of 10","0"
"140012","KATHERINE SHAW BETHEA HOSPITAL","403 E 1ST ST","Dixon","IL","61021","LEE","0.951607","0.997739","0.984000","0.978261","6 out of 10","0 out of 9","6 out of 10","6"
"100040","ST VINCENT'S MEDICAL CENTER RIVERSIDE","1 SHIRCLIFF WAY","Jacksonville","FL","32204","DUVAL","0.951607","0.997739","0.983108","1.000000","10 out of 10","9 out of 9","10 out of 10","10"
"290001","RENOWN REGIONAL MEDICAL CENTER","1155 MILL STREET","Reno","NV","89502","WASHOE","0.951607","0.997739","0.985185","0.978431","6 out of 10","0 out of 9","6 out of 10","6"
"050189","GEORGE L MEE MEMORIAL HOSPITAL","300 CANAL STREET","King City","CA","93930","MONTEREY","0.951607","0.997739","0.610577","0.800000","0 out of 10","4 out of 9","4 out of 10","4"
"030105","BANNER HEART HOSPITAL","6750 EAST BAYWOOD AVENUE","Mesa","AZ","85206","MARICOPA","0.951607","0.997739","0.941839","0.976331","5 out of 10","6 out of 9","6 out of 10","6"
"140053","ST JOHNS HOSPITAL","800 E CARPENTER ST","Springfield","IL","62769","SANGAMON","0.951607","0.997739","0.963028","0.996289","9 out of 10","9 out of 9","9 out of 10","9"
"450518","THE MEDICAL CENTER OF SOUTHEAST TEXAS","2555 JIMMY JOHNSON BLVD","Port Arthur","TX","77640","JEFFERSON","0.951607","0.997739","0.856712","0.950213","0 out of 10","6 out of 9","6 out of 10","6"
"380021","TUALITY COMMUNITY HOSPITAL","335 SE 8TH AVENUE","Hillsboro","OR","97123","WASHINGTON","0.951607","0.997739","0.808756","0.955614","1 out of 10","7 out of 9","7 out of 10","7"
"340148","NOVANT HEALTH MEDICAL PARK HOSPITAL","1950 S HAWTHORNE RD","Winston-Salem","NC","27103","FORSYTH","0.951607","0.997739","0.994638","1.000000","10 out of 10","9 out of 9","10 out of 10","10"
"010148","EVERGREEN MEDICAL CENTER","101 CRESTVIEW AVENUE","Evergreen","AL","36401","CONECUH","0.951607","0.997739","0.526882","0.615385","0 out of 10","1 out of 9","1 out of 10","1"
"140281","NORTHWESTERN MEMORIAL HOSPITAL","251 E HURON ST","Chicago","IL","60611","COOK","0.951607","0.997739","0.987755","0.969027","4 out of 10","0 out of 9","4 out of 10","4"
"450379","DALLAS MEDICAL CENTER","7 MEDICAL PARKWAY","Dallas","TX","75234","DALLAS","0.951607","0.997739","0.901695","0.885442","0 out of 10","0 out of 9","0 out of 10","0"
"260102","TRUMAN MEDICAL CENTER LAKEWOOD","7900 LEE'S SUMMIT RD","Kansas City","MO","64139","JACKSON","0.951607","0.997739","0.972973","0.977961","6 out of 10","2 out of 9","6 out of 10","6"
"440002","JACKSON-MADISON COUNTY GENERAL HOSPITAL","620 SKYLINE DRIVE","Jackson","TN","38301","MADISON","0.951607","0.997739","0.960993","0.927007","0 out of 10","0 out of 9","0 out of 10","0"
"490053","JOHNSTON MEMORIAL HOSPITAL","16000 JOHNSTON MEMORIAL DRIVE","Abingdon","VA","24211","WASHINGTON","0.951607","0.997739","0.963100","0.984127","7 out of 10","6 out of 9","7 out of 10","7"
"100067","ST ANTHONYS HOSPITAL","1200 SEVENTH AVE N","Saint Petersburg","FL","33705","PINELLAS","0.951607","0.997739","0.968144","0.978402","6 out of 10","3 out of 9","6 out of 10","6"
"340097","HUGH CHATHAM MEMORIAL HOSPITAL","180 PARKWOOD DR","Elkin","NC","28621","SURRY","0.951607","0.997739","0.968675","0.943966","0 out of 10","0 out of 9","0 out of 10","0"
"100071","BAYFRONT HEALTH BROOKSVILLE","17240 CORTEZ BLVD","Brooksville","FL","34601","HERNANDO","0.951607","0.997739","0.972973","0.944762","0 out of 10","0 out of 9","0 out of 10","0"
"220116","TUFTS MEDICAL CENTER","800 WASHINGTON STREET","Boston","MA","02111","SUFFOLK","0.951607","0.997739","0.948052","0.939279","0 out of 10","0 out of 9","0 out of 10","0"
"450209","NORTHWEST TEXAS HOSPITAL","1501 COULTER ROAD","Amarillo","TX","79106","POTTER","0.951607","0.997739","0.889980","0.936255","0 out of 10","4 out of 9","4 out of 10","4"
"010101","CITIZENS BAPTIST MEDICAL CENTER","604 STONE AVENUE","Talladega","AL","35160","TALLADEGA","0.951607","0.997739","0.863799","0.996032","9 out of 10","9 out of 9","9 out of 10","9"
"520075","ST VINCENT HOSPITAL","835 S VAN BUREN ST","Green Bay","WI","54301","BROWN","0.951607","0.997739","0.920000","0.975472","5 out of 10","7 out of 9","7 out of 10","7"
"390220","JENNERSVILLE REGIONAL HOSPITAL","1015 WEST BALTIMORE PIKE","West Grove","PA","19390","CHESTER","0.951607","0.997739","0.989691","0.977199","5 out of 10","0 out of 9","5 out of 10","5"
"450690","UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT TYLER","11937 US HIGHWAY 271","Tyler","TX","75708","SMITH","0.951607","0.997739","0.925081","0.930380","0 out of 10","0 out of 9","0 out of 10","0"
"500058","KADLEC REGIONAL MEDICAL CENTER","888 SWIFT BLVD","Richland","WA","99352","BENTON","0.951607","0.997739","0.989940","1.000000","10 out of 10","9 out of 9","10 out of 10","10"
"140252","NORTHWEST COMMUNITY HOSPITAL 1","800 W CENTRAL ROAD","Arlington Heights","IL","60005","COOK","0.951607","0.997739","0.950382","0.901670","0 out of 10","0 out of 9","0 out of 10","0"
"110051","UNION GENERAL HOSPITAL","35 HOSPITAL ROAD","Blairsville","GA","30512","UNION","0.951607","0.997739","0.961390","0.996390","9 out of 10","9 out of 9","9 out of 10","9"
"110115","WELLSTAR ATLANTA MEDICAL CENTER","303 PARKWAY DRIVE, NE","Atlanta","GA","30312","FULTON","0.951607","0.997739","0.920477","0.951526","0 out of 10","4 out of 9","4 out of 10","4"
"100035","MANATEE MEMORIAL HOSPITAL","206 2ND ST E","Bradenton","FL","34208","MANATEE","0.951607","0.997739","0.941284","0.933078","0 out of 10","0 out of 9","0 out of 10","0"
"520206","AURORA MEDICAL CENTER","36500 AURORA DRIVE","Summit","WI","53066","WAUKESHA","0.951607","0.997739","0.938776","0.936909","0 out of 10","0 out of 9","0 out of 10","0"
"330229","BROOKS MEMORIAL HOSPITAL","529 CENTRAL AVENUE","Dunkirk","NY","14048","CHAUTAUQUA","0.951607","0.997739","0.908714","0.964706","3 out of 10","6 out of 9","6 out of 10","6"
"360001","MERCY HOSPITAL ANDERSON","7500 STATE ROAD","Cincinnati","OH","45255","HAMILTON","0.951607","0.997739","0.955595","0.964286","3 out of 10","2 out of 9","3 out of 10","3"
"100132","SOUTH FLORIDA BAPTIST HOSPITAL","301 N ALEXANDER ST","Plant City","FL","33563","HILLSBOROUGH","0.951607","0.997739","0.971326","0.968491","4 out of 10","0 out of 9","4 out of 10","4"
"050580","LA PALMA INTERCOMMUNITY HOSPITAL","7901 WALKER STREET","La Palma","CA","90623","ORANGE","0.951607","0.997739","0.993355","0.891975","0 out of 10","0 out of 9","0 out of 10","0"
"390114","MAGEE WOMENS HOSPITAL OF UPMC HEALTH SYSTEM","300 HALKET STREET","Pittsburgh","PA","15213","ALLEGHENY","0.951607","0.997739","0.957717","1.000000","10 out of 10","9 out of 9","10 out of 10","10"
"050136","PETALUMA VALLEY HOSPITAL","400 N MCDOWELL BLVD","Petaluma","CA","94954","SONOMA","0.951607","0.997739","0.852459","0.924603","0 out of 10","4 out of 9","4 out of 10","4"
"110121","GRADY GENERAL HOSPITAL","1155 5TH STREET, SE","Cairo","GA","39828","GRADY","0.951607","0.997739","0.895349","0.976096","5 out of 10","7 out of 9","7 out of 10","7"
"100296","DOCTORS HOSPITAL","5000 UNIVERSITY DR","Coral Gables","FL","33146","DADE","0.951607","0.997739","0.985401","0.991304","8 out of 10","4 out of 9","8 out of 10","8"
"100087","SARASOTA MEMORIAL HOSPITAL","1700 S TAMIAMI TRL","Sarasota","FL","34239","SARASOTA","0.951607","0.997739","0.961326","0.979890","6 out of 10","5 out of 9","6 out of 10","6"
"050624","HENRY MAYO NEWHALL  HOSPITAL","23845  MCBEAN PKWY","Valencia","CA","91355","LOS ANGELES","0.951607","0.997739","0.971910","0.942639","0 out of 10","0 out of 9","0 out of 10","0"
"110124","WAYNE MEMORIAL HOSPITAL","865 SOUTH FIRST STREET","Jesup","GA","31545","WAYNE","0.951607","0.997739","0.449405","0.877256","0 out of 10","7 out of 9","7 out of 10","7"
"190050","BEAUREGARD MEMORIAL HOSPITAL","600 S PINE STREET","Deridder","LA","70634","BEAUREGARD","0.951607","0.997739","0.969811","0.968992","4 out of 10","0 out of 9","4 out of 10","4"
"370166","WAGONER COMMUNITY HOSPITAL","1200 WEST CHEROKEE STREET","Wagoner","OK","74467","WAGONER","0.951607","0.997739","0.540636","0.996599","9 out of 10","9 out of 9","9 out of 10","9"
"370206","OKLAHOMA SPINE HOSPITAL","14101 PARKWAY COMMONS DRIVE","Oklahoma City","OK","73134","OKLAHOMA","0.951607","0.997739","0.707921","0.908046","0 out of 10","6 out of 9","6 out of 10","6"
"490004","SENTARA RMH MEDICAL CENTER","2010 HEALTH CAMPUS DRIVE","Harrisonburg","VA","22801","HARRISONBURG CITY","0.951607","0.997739","0.935368","0.948718","0 out of 10","2 out of 9","2 out of 10","2"
"240001","NORTH MEMORIAL MEDICAL CENTER","3300 OAKDALE NORTH","Robbinsdale","MN","55422","HENNEPIN","0.951607","0.997739","0.851064","0.920635","0 out of 10","4 out of 9","4 out of 10","4"
"170027","PRATT REGIONAL MEDICAL CENTER","200 COMMODORE ST","Pratt","KS","67124","PRATT","0.951607","0.997739","0.880137","0.874419","0 out of 10","0 out of 9","0 out of 10","0"
"390197","SACRED HEART HOSPITAL","421 CHEW STREET","Allentown","PA","18102","LEHIGH","0.951607","0.997739","0.960560","0.947059","0 out of 10","0 out of 9","0 out of 10","0"
"450827","KELL WEST REGIONAL HOSPITAL","5402 KELL WEST BOULEVARD","Wichita Falls","TX","76310","WICHITA","0.951607","0.997739","0.981982","0.945455","0 out of 10","0 out of 9","0 out of 10","0"
"160082","IOWA METHODIST MEDICAL CENTER","1200 PLEASANT STREET","West Des Moines","IA","50265","POLK","0.951607","0.997739","0.879276","0.869739","0 out of 10","0 out of 9","0 out of 10","0"
"370199","LAKESIDE WOMEN'S HOSPITAL, A MEMBER OF INTEGRIS HE","11200 NORTH PORTLAND AVENUE","Oklahoma City","OK","73120","OKLAHOMA","0.951607","0.997739","0.830816","0.974576","5 out of 10","8 out of 9","8 out of 10","8"
"450108","CONNALLY MEMORIAL MEDICAL CENTER","499 10TH STREET","Floresville","TX","78114","WILSON","0.951607","0.997739","0.976027","0.940984","0 out of 10","0 out of 9","0 out of 10","0"
"360203","SOUTHEASTERN OHIO REGIONAL MEDICAL CENTER","1341 NORTH CLARK STREET","Cambridge","OH","43725","GUERNSEY","0.951607","0.997739","0.941772","0.844687","0 out of 10","0 out of 9","0 out of 10","0"
"440183","ST FRANCIS HOSPITAL","5959 PARK AVE","Memphis","TN","38119","SHELBY","0.951607","0.997739","0.992832","0.966499","3 out of 10","0 out of 9","3 out of 10","3"
"310047","SHORE MEDICAL CENTER","100 MEDICAL CENTER WAY","Somers Point","NJ","08244","ATLANTIC","0.951607","0.997739","0.932171","0.940499","0 out of 10","1 out of 9","1 out of 10","1"
"190303","CYPRESS POINTE SURGICAL HOSPITAL","42570 SOUTH AIRPORT RD","Hammond","LA","70403","TANGIPAHOA","0.951607","0.997739","0.886986","0.933824","0 out of 10","4 out of 9","4 out of 10","4"
"230030","MIDMICHIGAN MEDICAL CENTER-GRATIOT","300 E WARWICK DR","Alma","MI","48801","GRATIOT","0.951607","0.997739","0.805621","0.973134","5 out of 10","8 out of 9","8 out of 10","8"
"420009","GHS OCONEE MEMORIAL  HOSPITAL","298 MEMORIAL DRIVE","Seneca","SC","29672","OCONEE","0.951607","0.997739","0.974855","0.971429","4 out of 10","0 out of 9","4 out of 10","4"
"460049","THE ORTHOPEDIC SPECIALTY HOSPITAL","5848 SOUTH 300 EAST","Murray","UT","84107","SALT LAKE","0.951607","0.997739","0.952532","0.987302","7 out of 10","7 out of 9","7 out of 10","7"
"170094","COFFEY COUNTY HOSPITAL","801 NORTH 4TH STREET","Burlington","KS","66839","COFFEY","0.951607","0.997739","0.854962","0.906574","0 out of 10","3 out of 9","3 out of 10","3"
"180036","OUR LADY OF BELLEFONTE HOSPITAL","1000 SAINT CHRISTOPHER DRIVE","Ashland","KY","41101","BOYD","0.951607","0.997739","0.929032","0.976860","5 out of 10","6 out of 9","6 out of 10","6"
"140148","MEMORIAL MEDICAL CENTER","701 N FIRST ST","Springfield","IL","62781","SANGAMON","0.951607","0.997739","0.961806","0.937833","0 out of 10","0 out of 9","0 out of 10","0"
"330219","ERIE COUNTY MEDICAL CENTER","462 GRIDER STREET","Buffalo","NY","14215","ERIE","0.951607","0.997739","0.888496","0.975369","5 out of 10","7 out of 9","7 out of 10","7"
"140202","ADVOCATE CONDELL MEDICAL CENTER","801 S MILWAUKEE AVE","Libertyville","IL","60048","LAKE","0.951607","0.997739","0.963478","0.992565","8 out of 10","8 out of 9","8 out of 10","8"
"430012","AVERA SACRED HEART HOSPITAL","501 SUMMIT ST","Yankton","SD","57078","YANKTON","0.951607","0.997739","0.957216","0.993647","9 out of 10","8 out of 9","9 out of 10","9"
"150022","FRANCISCAN HEALTH CRAWFORDSVILLE","1710 LAFAYETTE RD","Crawfordsville","IN","47933","MONTGOMERY","0.951607","0.997739","0.854785","0.869281","0 out of 10","1 out of 9","1 out of 10","1"
"100092","WUESTHOFF MEDICAL CENTER-ROCKLEDGE","110 LONGWOOD AVE","Rockledge","FL","32955","BREVARD","0.951607","0.997739","0.976378","0.988430","8 out of 10","5 out of 9","8 out of 10","8"
"440072","TENNOVA HEALTHCARE-DYERSBURG REGIONAL","400 TICKLE ST","Dyersburg","TN","38024","DYER","0.951607","0.997739","0.997305","0.985542","7 out of 10","0 out of 9","7 out of 10","7"
"360189","MADISON COUNTY HOSPITAL INC","210 NORTH MAIN STREET","London","OH","43140","MADISON","0.951607","0.997739","0.827004","0.948936","0 out of 10","7 out of 9","7 out of 10","7"
"100034","MOUNT SINAI MEDICAL CENTER","4300 ALTON RD","Miami Beach","FL","33140","DADE","0.951607","0.997739","0.925344","0.974000","5 out of 10","6 out of 9","6 out of 10","6"
"050018","PACIFIC ALLIANCE MEDICAL CENTER","531 W COLLEGE ST","Los Angeles","CA","90012","LOS ANGELES","0.951607","0.997739","0.926014","0.962264","3 out of 10","5 out of 9","5 out of 10","5"
"250040","SINGING RIVER HOSPITAL","2809 DENNY AV","Pascagoula","MS","39567","JACKSON","0.951607","0.997739","0.924399","0.976311","5 out of 10","7 out of 9","7 out of 10","7"
"140100","MIDWESTERN REGION MED CENTER","2520 ELISHA AVENUE","Zion","IL","60099","LAKE","0.951607","0.997739","0.907850","0.955882","1 out of 10","5 out of 9","5 out of 10","5"
"330259","MERCY MEDICAL CENTER","1000 NORTH VILLAGE AVENUE","Rockville Centre","NY","11571","NASSAU","0.951607","0.997739","0.978261","0.977597","6 out of 10","0 out of 9","6 out of 10","6"
"250025","MERIT HEALTH GILMORE MEMORIAL","1105 EARL FRYE BLVD / PO BOX 459","Amory","MS","38821","MONROE","0.951607","0.997739","0.960265","0.988327","8 out of 10","7 out of 9","8 out of 10","8"
