"State","Condition","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"MD","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","139","","04/01/2015","03/31/2016"
"ME","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","106","","04/01/2015","03/31/2016"
"MI","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","100","","04/01/2015","03/31/2016"
"MN","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","67","","04/01/2015","03/31/2016"
"MO","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","79","","04/01/2015","03/31/2016"
"MP","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","Not Available","5 - Results are not available for this reporting period.","04/01/2015","03/31/2016"
"MS","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","64","","04/01/2015","03/31/2016"
"MT","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","82","","04/01/2015","03/31/2016"
"NC","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","96","","04/01/2015","03/31/2016"
"ND","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","75","","04/01/2015","03/31/2016"
"NE","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","74","","04/01/2015","03/31/2016"
"NH","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","106","","04/01/2015","03/31/2016"
"NJ","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","150","","04/01/2015","03/31/2016"
"NM","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","98","","04/01/2015","03/31/2016"
"NV","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","161","","04/01/2015","03/31/2016"
"NY","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","158","","04/01/2015","03/31/2016"
"OH","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","87","","04/01/2015","03/31/2016"
"OK","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","64","","04/01/2015","03/31/2016"
"OR","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","82","","04/01/2015","03/31/2016"
"PA","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","101","","04/01/2015","03/31/2016"
"PR","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","181","","04/01/2015","03/31/2016"
"RI","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","124","","04/01/2015","03/31/2016"
"SC","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","91","","04/01/2015","03/31/2016"
"SD","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","46","","04/01/2015","03/31/2016"
"TN","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","82","","04/01/2015","03/31/2016"
"TX","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","99","","04/01/2015","03/31/2016"
"UT","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","62","","04/01/2015","03/31/2016"
"VA","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","91","","04/01/2015","03/31/2016"
"VI","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","140","","04/01/2015","03/31/2016"
"VT","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","125","","04/01/2015","03/31/2016"
"WA","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","108","","04/01/2015","03/31/2016"
"WI","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","58","","04/01/2015","03/31/2016"
"WV","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","74","","04/01/2015","03/31/2016"
"WY","Emergency Department","Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","ED_2b","65","","04/01/2015","03/31/2016"
"AK","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","105","","04/01/2015","03/31/2016"
"AL","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","59","","04/01/2015","03/31/2016"
"AR","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","46","","04/01/2015","03/31/2016"
"AZ","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","71","","04/01/2015","03/31/2016"
"CA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","90","","04/01/2015","03/31/2016"
"CO","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","66","","04/01/2015","03/31/2016"
"CT","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","123","","04/01/2015","03/31/2016"
"DC","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","Not Available","13 - Results cannot be calculated for this reporting period.","04/01/2015","03/31/2016"
"DE","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","Not Available","13 - Results cannot be calculated for this reporting period.","04/01/2015","03/31/2016"
"FL","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","78","","04/01/2015","03/31/2016"
"GA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","50","","04/01/2015","03/31/2016"
"HI","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","117","","04/01/2015","03/31/2016"
"IA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","36","","04/01/2015","03/31/2016"
"ID","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","45","","04/01/2015","03/31/2016"
"IL","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","69","","04/01/2015","03/31/2016"
"IN","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","59","","04/01/2015","03/31/2016"
"KS","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","49","","04/01/2015","03/31/2016"
"KY","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","57","","04/01/2015","03/31/2016"
"LA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","52","","04/01/2015","03/31/2016"
"MA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","75","","04/01/2015","03/31/2016"
"MD","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","77","","04/01/2015","03/31/2016"
"ME","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","110","","04/01/2015","03/31/2016"
"MI","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","52","","04/01/2015","03/31/2016"
"MN","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","37","","04/01/2015","03/31/2016"
"MO","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","51","","04/01/2015","03/31/2016"
"MS","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","44","","04/01/2015","03/31/2016"
"MT","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","37","","04/01/2015","03/31/2016"
"NC","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","78","","04/01/2015","03/31/2016"
"ND","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","22","","04/01/2015","03/31/2016"
"NE","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","56","","04/01/2015","03/31/2016"
"NH","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","68","","04/01/2015","03/31/2016"
"NJ","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","120","","04/01/2015","03/31/2016"
"NM","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","63","","04/01/2015","03/31/2016"
"NV","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","89","","04/01/2015","03/31/2016"
"NY","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","80","","04/01/2015","03/31/2016"
"OH","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","58","","04/01/2015","03/31/2016"
"OK","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","50","","04/01/2015","03/31/2016"
"OR","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","58","","04/01/2015","03/31/2016"
"PA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","61","","04/01/2015","03/31/2016"
"PR","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","Not Available","13 - Results cannot be calculated for this reporting period.","04/01/2015","03/31/2016"
"RI","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","Not Available","13 - Results cannot be calculated for this reporting period.","04/01/2015","03/31/2016"
"SC","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","55","","04/01/2015","03/31/2016"
"SD","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","40","","04/01/2015","03/31/2016"
"TN","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","51","","04/01/2015","03/31/2016"
"TX","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","56","","04/01/2015","03/31/2016"
"UT","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","49","","04/01/2015","03/31/2016"
"VA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","56","","04/01/2015","03/31/2016"
"VI","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","Not Available","13 - Results cannot be calculated for this reporting period.","04/01/2015","03/31/2016"
"VT","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","130","","04/01/2015","03/31/2016"
"WA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","73","","04/01/2015","03/31/2016"
"WI","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","54","","04/01/2015","03/31/2016"
"WV","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","56","","04/01/2015","03/31/2016"
"WY","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)","ED_2b_LOW_MIN","50","","04/01/2015","03/31/2016"
"AK","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","119.5","","04/01/2015","03/31/2016"
"AL","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","75","","04/01/2015","03/31/2016"
"AR","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","61","","04/01/2015","03/31/2016"
"AZ","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","106","","04/01/2015","03/31/2016"
"CA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","124.5","","04/01/2015","03/31/2016"
"CO","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","79","","04/01/2015","03/31/2016"
"CT","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","142","","04/01/2015","03/31/2016"
"DC","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","184","","04/01/2015","03/31/2016"
"DE","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","183","","04/01/2015","03/31/2016"
"FL","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","100","","04/01/2015","03/31/2016"
"GA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","73","","04/01/2015","03/31/2016"
"HI","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","106","","04/01/2015","03/31/2016"
"IA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","68","","04/01/2015","03/31/2016"
"ID","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","86.5","","04/01/2015","03/31/2016"
"IL","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","87","","04/01/2015","03/31/2016"
"IN","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","69","","04/01/2015","03/31/2016"
"KS","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","74","","04/01/2015","03/31/2016"
"KY","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","82","","04/01/2015","03/31/2016"
"LA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","83","","04/01/2015","03/31/2016"
"MA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","109","","04/01/2015","03/31/2016"
"MD","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","163","","04/01/2015","03/31/2016"
"ME","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","126.5","","04/01/2015","03/31/2016"
"MI","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","95.5","","04/01/2015","03/31/2016"
"MN","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","78","","04/01/2015","03/31/2016"
"MO","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","72","","04/01/2015","03/31/2016"
"MS","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","67","","04/01/2015","03/31/2016"
"MT","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","119","","04/01/2015","03/31/2016"
"NC","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","85.5","","04/01/2015","03/31/2016"
"ND","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","84","","04/01/2015","03/31/2016"
"NE","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","79","","04/01/2015","03/31/2016"
"NH","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","119.5","","04/01/2015","03/31/2016"
"NJ","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","132.5","","04/01/2015","03/31/2016"
"NM","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","98.5","","04/01/2015","03/31/2016"
"NV","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","107","","04/01/2015","03/31/2016"
"NY","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","155","","04/01/2015","03/31/2016"
"OH","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","78","","04/01/2015","03/31/2016"
"OK","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","66","","04/01/2015","03/31/2016"
"OR","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","77.5","","04/01/2015","03/31/2016"
"PA","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","99","","04/01/2015","03/31/2016"
"PR","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","Not Available","13 - Results cannot be calculated for this reporting period.","04/01/2015","03/31/2016"
"RI","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","117.5","","04/01/2015","03/31/2016"
"SC","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","84","","04/01/2015","03/31/2016"
"SD","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","71","","04/01/2015","03/31/2016"
"TN","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","72","","04/01/2015","03/31/2016"
"TX","Emergency Department","Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)","ED_2b_MEDIUM_MIN","91","","04/01/2015","03/31/2016"
